"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","cond","targ","key_press"
"5313","{""Q0"":""""}","survey-text","0","5334","0.0-0.0","lang2","pi",""
"1149.52380952381","","single-audio","1","7596","0.0-1.0","lang2","pi","32"
"609.6598639455788","","single-audio","2","9303","0.0-2.0","lang2","pi","32"
"255.55555555555642","","single-audio","3","10664","0.0-3.0","lang2","pi","32"
"184.44444444444485","","single-audio","4","11956","0.0-4.0","lang2","pi","32"
"184.44444444444485","","single-audio","5","13268","0.0-5.0","lang2","pi","32"
"255.55555555555287","","single-audio","6","14625","0.0-6.0","lang2","pi","32"
"214.9206349206345","","single-audio","7","15934","0.0-7.0","lang2","pi","32"
"1799.6825396825393","","single-audio","8","18831","0.0-8.0","lang2","pi","32"
"326.66666666666447","","single-audio","9","20262","0.0-9.0","lang2","pi","32"
"377.4603174603151","","single-audio","10","21740","0.0-10.0","lang2","pi","32"
"225.0793650793632","","single-audio","11","23068","0.0-11.0","lang2","pi","32"
"204.76190476190226","","single-audio","12","24373","0.0-12.0","lang2","pi","32"
"-1000","","single-audio","13","25575","0.0-13.0-0.0","lang2","pi","-1"
"-1000","","single-audio","14","26238","0.0-13.0-1.0","lang2","pi","-1"
"-1000","","single-audio","15","26720","0.0-13.0-2.0","lang2","pi","-1"
"-1000","","single-audio","16","27202","0.0-13.0-3.0","lang2","pi","-1"
"-1000","","single-audio","17","28665","0.0-13.0-4.0","lang2","pi","-1"
"-1000","","single-audio","18","29221","0.0-13.0-5.0","lang2","pi","-1"
"-1000","","single-audio","19","29708","0.0-13.0-6.0","lang2","pi","-1"
"905.7142857142857","","single-audio","20","30745","0.0-13.0-7.0","lang2","pi","39"
"-1000","","single-audio","21","31408","0.0-13.0-8.0","lang2","pi","-1"
"-1000","","single-audio","22","31890","0.0-13.0-9.0","lang2","pi","-1"
"-1000","","single-audio","23","32373","0.0-13.0-10.0","lang2","pi","-1"
"-1000","","single-audio","24","33837","0.0-13.0-11.0","lang2","pi","-1"
"-1000","","single-audio","25","34319","0.0-13.0-12.0","lang2","pi","-1"
"-1000","","single-audio","26","34801","0.0-13.0-13.0","lang2","pi","-1"
"275.8730158730103","","single-audio","27","35204","0.0-13.0-14.0","lang2","pi","39"
"-1000","","single-audio","28","35866","0.0-13.0-15.0","lang2","pi","-1"
"-1000","","single-audio","29","36351","0.0-13.0-16.0","lang2","pi","-1"
"-1000","","single-audio","30","36859","0.0-13.0-17.0","lang2","pi","-1"
"-1000","","single-audio","31","38332","0.0-13.0-18.0","lang2","pi","-1"
"-1000","","single-audio","32","38814","0.0-13.0-19.0","lang2","pi","-1"
"194.60317460317356","","single-audio","33","39334","0.0-13.0-20.0","lang2","pi","39"
"32.06349206348591","","single-audio","34","39494","0.0-13.0-21.0","lang2","pi","39"
"-59.36507936507951","","single-audio","35","40156","0.0-13.0-22.0","lang2","pi","39"
"-1000","","single-audio","36","40639","0.0-13.0-23.0","lang2","pi","-1"
"-1000","","single-audio","37","41121","0.0-13.0-24.0","lang2","pi","-1"
"-1000","","single-audio","38","42594","0.0-13.0-25.0","lang2","pi","-1"
"-1000","","single-audio","39","43076","0.0-13.0-26.0","lang2","pi","-1"
"-1000","","single-audio","40","43569","0.0-13.0-27.0","lang2","pi","-1"
"235.23809523809547","","single-audio","41","43927","0.0-13.0-28.0","lang2","pi","39"
"-1000","","single-audio","42","44589","0.0-13.0-29.0","lang2","pi","-1"
"-1000","","single-audio","43","45093","0.0-13.0-30.0","lang2","pi","-1"
"-1000","","single-audio","44","45580","0.0-13.0-31.0","lang2","pi","-1"
"357.1428571428541","","single-audio","45","47070","0.0-13.0-32.0","lang2","pi","39"
"286.0317460317461","","single-audio","46","47552","0.0-13.0-33.0","lang2","pi","39"
"164.12698412698035","","single-audio","47","48036","0.0-13.0-34.0","lang2","pi","39"
"52.38095238095042","","single-audio","48","48211","0.0-13.0-35.0","lang2","pi","39"
"-1000","","single-audio","49","48874","0.0-13.0-36.0","lang2","pi","-1"
"62.539682539686225","","single-audio","50","49356","0.0-13.0-37.0","lang2","pi","39"
"-1000","","single-audio","51","49849","0.0-13.0-38.0","lang2","pi","-1"
"-1000","","single-audio","52","51315","0.0-13.0-39.0","lang2","pi","-1"
"52.380952380957524","","single-audio","53","51799","0.0-13.0-40.0","lang2","pi","39"
"-1000","","single-audio","54","52282","0.0-13.0-41.0","lang2","pi","-1"
"306.3492063492035","","single-audio","55","52713","0.0-13.0-42.0","lang2","pi","39"
"-1000","","single-audio","56","53377","0.0-13.0-43.0","lang2","pi","-1"
"-1000","","single-audio","57","53859","0.0-13.0-44.0","lang2","pi","-1"
"-1000","","single-audio","58","54346","0.0-13.0-45.0","lang2","pi","-1"
"-1000","","single-audio","59","55814","0.0-13.0-46.0","lang2","pi","-1"
"-1000","","single-audio","60","56301","0.0-13.0-47.0","lang2","pi","-1"
"-1000","","single-audio","61","56783","0.0-13.0-48.0","lang2","pi","-1"
"133.65079365078714","","single-audio","62","57037","0.0-13.0-49.0","lang2","pi","39"
"-1000","","single-audio","63","57700","0.0-13.0-50.0","lang2","pi","-1"
"-1000","","single-audio","64","58182","0.0-13.0-51.0","lang2","pi","-1"
"-1000","","single-audio","65","58672","0.0-13.0-52.0","lang2","pi","-1"
"-1000","","single-audio","66","60148","0.0-13.0-53.0","lang2","pi","-1"
"-1000","","single-audio","67","60635","0.0-13.0-54.0","lang2","pi","-1"
"-1000","","single-audio","68","61117","0.0-13.0-55.0","lang2","pi","-1"
"316.5079365079393","","single-audio","69","61548","0.0-13.0-56.0","lang2","pi","39"
"-1000","","single-audio","70","62210","0.0-13.0-57.0","lang2","pi","-1"
"-1000","","single-audio","71","62693","0.0-13.0-58.0","lang2","pi","-1"
"-1000","","single-audio","72","63177","0.0-13.0-59.0","lang2","pi","-1"
"-1000","","single-audio","73","64670","0.0-13.0-60.0","lang2","pi","-1"
"-1000","","single-audio","74","65155","0.0-13.0-61.0","lang2","pi","-1"
"-1000","","single-audio","75","65637","0.0-13.0-62.0","lang2","pi","-1"
"225.07936507936677","","single-audio","76","65998","0.0-13.0-63.0","lang2","pi","39"
"-1000","","single-audio","77","66685","0.0-13.0-64.0","lang2","pi","-1"
"-1000","","single-audio","78","67167","0.0-13.0-65.0","lang2","pi","-1"
"-1000","","single-audio","79","67671","0.0-13.0-66.0","lang2","pi","-1"
"-1000","","single-audio","80","69137","0.0-13.0-67.0","lang2","pi","-1"
"-1000","","single-audio","81","69619","0.0-13.0-68.0","lang2","pi","-1"
"-1000","","single-audio","82","70101","0.0-13.0-69.0","lang2","pi","-1"
"245.39682539683838","","single-audio","83","70467","0.0-13.0-70.0","lang2","pi","39"
"-1000","","single-audio","84","71144","0.0-13.0-71.0","lang2","pi","-1"
"-1000","","single-audio","85","71626","0.0-13.0-72.0","lang2","pi","-1"
"-1000","","single-audio","86","72112","0.0-13.0-73.0","lang2","pi","-1"
"-1000","","single-audio","87","73579","0.0-13.0-74.0","lang2","pi","-1"
"-1000","","single-audio","88","74063","0.0-13.0-75.0","lang2","pi","-1"
"-1000","","single-audio","89","74545","0.0-13.0-76.0","lang2","pi","-1"
"255.55555555555998","","single-audio","90","74919","0.0-13.0-77.0","lang2","pi","39"
"-1000","","single-audio","91","75581","0.0-13.0-78.0","lang2","pi","-1"
"-1000","","single-audio","92","76063","0.0-13.0-79.0","lang2","pi","-1"
