"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","cond","targ","key_press"
"2947","{""Q0"":""trial""}","survey-text","0","2971","0.0-0.0","lang2","pi",""
"29575.102040816324","","single-audio","1","34040","0.0-1.0","lang2","pi","32"
"1626.9841269841265","","single-audio","2","36792","0.0-2.0","lang2","pi","32"
"235.23809523809547","","single-audio","3","38135","0.0-3.0","lang2","pi","32"
"204.76190476190226","","single-audio","4","39442","0.0-4.0","lang2","pi","32"
"-8.571428571428896","","single-audio","5","40535","0.0-5.0","lang2","pi","32"
"1119.0476190476204","","single-audio","6","42816","0.0-6.0","lang2","pi","32"
"351.33786848072646","","single-audio","7","44282","0.0-7.0","lang2","pi","32"
"194.60317460317356","","single-audio","8","45579","0.0-8.0","lang2","pi","32"
"275.8730158730174","","single-audio","9","46967","0.0-9.0","lang2","pi","32"
"245.39682539682417","","single-audio","10","48316","0.0-10.0","lang2","pi","32"
"184.44444444444485","","single-audio","11","49600","0.0-11.0","lang2","pi","32"
"8533.469387755098","","single-audio","12","59499","0.0-12.0","lang2","pi","32"
"-1000","","single-audio","13","60702","0.0-13.0-0.0","lang2","pi","-1"
"286.0317460317461","","single-audio","14","61375","0.0-13.0-1.0","lang2","pi","32"
"255.55555555555287","","single-audio","15","61857","0.0-13.0-2.0","lang2","pi","32"
"-1000","","single-audio","16","62347","0.0-13.0-3.0","lang2","pi","-1"
"-1000","","single-audio","17","63809","0.0-13.0-4.0","lang2","pi","-1"
"-1000","","single-audio","18","64291","0.0-13.0-5.0","lang2","pi","-1"
"-1000","","single-audio","19","64774","0.0-13.0-6.0","lang2","pi","-1"
"2327.9365079365134","","single-audio","20","67338","0.0-13.0-7.0","lang2","pi","39"
"-1000","","single-audio","21","68013","0.0-13.0-8.0","lang2","pi","-1"
"-1000","","single-audio","22","68495","0.0-13.0-9.0","lang2","pi","-1"
"-1000","","single-audio","23","68978","0.0-13.0-10.0","lang2","pi","-1"
"-1000","","single-audio","24","70449","0.0-13.0-11.0","lang2","pi","-1"
"-1000","","single-audio","25","70968","0.0-13.0-12.0","lang2","pi","-1"
"-1000","","single-audio","26","71450","0.0-13.0-13.0","lang2","pi","-1"
"10353.33333333334","","single-audio","27","82077","0.0-13.0-14.0","lang2","pi","39"
"-1000","","single-audio","28","82740","0.0-13.0-15.0","lang2","pi","-1"
"-1000","","single-audio","29","83226","0.0-13.0-16.0","lang2","pi","-1"
"-1000","","single-audio","30","83713","0.0-13.0-17.0","lang2","pi","-1"
"-1000","","single-audio","31","85175","0.0-13.0-18.0","lang2","pi","-1"
"-1000","","single-audio","32","85657","0.0-13.0-19.0","lang2","pi","-1"
"-1000","","single-audio","33","86139","0.0-13.0-20.0","lang2","pi","-1"
"7077.868480725627","","single-audio","34","93491","0.0-13.0-21.0","lang2","pi","39"
"-8.571428571428896","","single-audio","35","94154","0.0-13.0-22.0","lang2","pi","39"
"-1000","","single-audio","36","94644","0.0-13.0-23.0","lang2","pi","-1"
"-1000","","single-audio","37","95129","0.0-13.0-24.0","lang2","pi","-1"
"-1000","","single-audio","38","96609","0.0-13.0-25.0","lang2","pi","-1"
"-1000","","single-audio","39","97091","0.0-13.0-26.0","lang2","pi","-1"
"-1000","","single-audio","40","97590","0.0-13.0-27.0","lang2","pi","-1"
"12039.682539682544","","single-audio","41","109920","0.0-13.0-28.0","lang2","pi","39"
"-1000","","single-audio","42","110588","0.0-13.0-29.0","lang2","pi","-1"
"-1000","","single-audio","43","111075","0.0-13.0-30.0","lang2","pi","-1"
"-1000","","single-audio","44","111558","0.0-13.0-31.0","lang2","pi","-1"
"-1000","","single-audio","45","113026","0.0-13.0-32.0","lang2","pi","-1"
"-1000","","single-audio","46","113508","0.0-13.0-33.0","lang2","pi","-1"
"-1000","","single-audio","47","113991","0.0-13.0-34.0","lang2","pi","-1"
"27826.349206349205","","single-audio","48","142252","0.0-13.0-35.0","lang2","pi","39"
"-1000","","single-audio","49","142918","0.0-13.0-36.0","lang2","pi","-1"
"-1000","","single-audio","50","143400","0.0-13.0-37.0","lang2","pi","-1"
"-1000","","single-audio","51","143882","0.0-13.0-38.0","lang2","pi","-1"
