"","key_resp.corr","Run","PartID","expName","modality","task"
"1",1,2,"f008","auditory","linguistic","SSL"
"2",0,2,"f008","auditory","linguistic","SSL"
"3",1,2,"f008","auditory","linguistic","SSL"
"4",1,2,"f008","auditory","linguistic","SSL"
"5",0,2,"f008","auditory","linguistic","SSL"
"6",1,2,"f008","auditory","linguistic","SSL"
"7",1,2,"f008","auditory","linguistic","SSL"
"8",1,2,"f008","auditory","linguistic","SSL"
"9",1,2,"f008","auditory","linguistic","SSL"
"10",0,2,"f008","auditory","linguistic","SSL"
"11",1,2,"f008","auditory","linguistic","SSL"
"12",1,2,"f008","auditory","linguistic","SSL"
"13",1,2,"f008","auditory","linguistic","SSL"
"14",0,2,"f008","auditory","linguistic","SSL"
"15",1,2,"f008","auditory","linguistic","SSL"
"16",1,2,"f008","auditory","linguistic","SSL"
