soundFile,word,location,repetition,trialnum,condition,practice_trials_1.thisRepN,practice_trials_1.thisTrialN,practice_trials_1.thisN,practice_trials_1.thisIndex,practice_trials_2.thisRepN,practice_trials_2.thisTrialN,practice_trials_2.thisN,practice_trials_2.thisIndex,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,practice_trial_1.keys,practice_trial_1.rt,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
2A.wav,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
4A.wav,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
3C.wav,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
2C.wav,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
1B.wav,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
4B.wav,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
2A.wav,,,,,,,,,,0,0,0,0,,,,,,,,,None,,,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
4A.wav,,,,,,,,,,0,1,1,1,,,,,,,,,None,,,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
3C.wav,,,,,,,,,,0,2,2,2,,,,,,,,,None,,,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
2C.wav,,,,,,,,,,0,3,3,3,,,,,,,,,None,,,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
1B.wav,,,,,,,,,,0,4,4,4,,,,,,,,,3,0.00856005400419,,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
4B.wav,,,,,,,,,,0,5,5,5,,,,,,,,,None,,,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
pi.wav,1,1,1,1,S,,,,,,,,,0,0,0,0,,,,,,,None,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
tu.wav,1,2,1,2,S,,,,,,,,,0,1,1,1,,,,,,,None,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
