soundFile,word,location,repetition,trialnum,condition,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
3A.wav,1,1,1,1,S,0,0,0,0,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3B.wav,1,2,1,2,S,0,1,1,1,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3C.wav,1,3,1,3,S,0,2,2,2,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
1A.wav,2,1,1,4,S,0,3,3,3,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
1B.wav,2,2,1,5,S,0,4,4,4,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
1C.wav,2,3,1,6,S,0,5,5,5,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
4A.wav,3,1,1,7,S,0,6,6,6,,,,,4,0.266880037496,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
4B.wav,3,2,1,8,S,0,7,7,7,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
4C.wav,3,3,1,9,S,0,8,8,8,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3A.wav,1,1,2,10,S,0,9,9,9,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3B.wav,1,2,2,11,S,0,10,10,10,,,,,4,0.216942501487,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3C.wav,1,3,2,12,S,0,11,11,11,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2A.wav,4,1,1,13,S,0,12,12,12,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2B.wav,4,2,1,14,S,0,13,13,13,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2C.wav,4,3,1,15,S,0,14,14,14,,,,,4,0.300229091197,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
1A.wav,2,1,2,16,S,0,15,15,15,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
1B.wav,2,2,2,17,S,0,16,16,16,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
1C.wav,2,3,2,18,S,0,17,17,17,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
4A.wav,3,1,2,19,S,0,18,18,18,,,,,3,0.0918099505361,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
4B.wav,3,2,2,20,S,0,19,19,19,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
4C.wav,3,3,2,21,S,0,20,20,20,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3A.wav,1,1,3,22,S,0,21,21,21,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3B.wav,1,2,3,23,S,0,22,22,22,,,,,3,0.191903759958,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3C.wav,1,3,3,24,S,0,23,23,23,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,0,24,24,24,,,,,3,0.391958259512,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,0,25,25,25,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,0,26,26,26,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,0,27,27,27,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,0,28,28,28,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,0,29,29,29,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
