"","part_id","task","domain","modality","accuracy"
"1",2,"SSL","auditory","linguistic",0.406
"2",2,"TSL","auditory","non-linguistic",0.258
"3",3,"SSL","auditory","linguistic",0.656
"4",3,"TSL","auditory","non-linguistic",0.71
"5",5,"SSL","auditory","linguistic",0.688
"6",5,"TSL","auditory","non-linguistic",0.419
"7",7,"SSL","auditory","linguistic",0.312
"8",7,"TSL","auditory","non-linguistic",0.097
"9",9,"SSL","auditory","linguistic",0.625
"10",9,"TSL","auditory","non-linguistic",0.581
"11",10,"SSL","auditory","linguistic",0.5
"12",10,"TSL","auditory","non-linguistic",0.484
"13",14,"SSL","auditory","linguistic",0.438
"14",14,"TSL","auditory","non-linguistic",0.935
"15",15,"SSL","auditory","linguistic",0.719
"16",15,"TSL","auditory","non-linguistic",0.71
"17",1,"LSL","visual","linguistic",0.75
"18",1,"VSL","visual","non-linguistic",0.656
"19",4,"LSL","visual","linguistic",0.625
"20",4,"VSL","visual","non-linguistic",0.531
"21",6,"LSL","visual","linguistic",0.375
"22",6,"VSL","visual","non-linguistic",0.812
"23",8,"LSL","visual","linguistic",0.812
"24",8,"VSL","visual","non-linguistic",0.844
"25",11,"LSL","visual","linguistic",0.656
"26",11,"VSL","visual","non-linguistic",0.656
"27",12,"LSL","visual","linguistic",0.188
"28",12,"VSL","visual","non-linguistic",0.938
"29",13,"LSL","visual","linguistic",0.531
"30",13,"VSL","visual","non-linguistic",0.5
"31",16,"LSL","visual","linguistic",0.938
"32",16,"VSL","visual","non-linguistic",0.875
