subject,Domain,Global,Local,Early,Late
blast_a_001,Syllable,High,Long,0.829,-0.009
blast_a_002,Syllable,High,Long,1.973,0.431
blast_a_003,Syllable,High,Long,0.268,1.589
blast_a_004,Syllable,High,Long,2.411,-0.97
blast_a_005,Syllable,High,Long,1.592,2.579
blast_a_006,Syllable,High,Long,1.241,-3.275
blast_a_007,Syllable,High,Long,0.396,-1.529
blast_a_008,Syllable,High,Long,0.071,-1.87
blast_a_009,Syllable,High,Long,0.236,0.585
blast_a_010,Syllable,High,Long,-0.332,-2.727
blast_a_011,Syllable,High,Long,4.035,1.396
blast_a_012,Syllable,High,Long,0.372,-2.204
blast_a_013,Syllable,High,Long,0.98,-1.152
blast_a_014,Syllable,High,Long,0.487,-2.332
blast_a_015,Syllable,High,Long,-2.257,-6.913
blast_a_016,Syllable,High,Long,1.162,4.01
blast_a_018,Syllable,High,Long,1.902,0.553
blast_a_019,Syllable,High,Long,-0.293,-2.649
blast_a_020,Syllable,High,Long,-0.621,-3.115
blast_a_021,Syllable,High,Long,1.49,-1.087
blast_a_022,Syllable,High,Long,1.617,-1.374
blast_a_023,Syllable,High,Long,-0.122,0.423
blast_a_024,Syllable,High,Long,0.915,-1.253
blast_a_025,Syllable,High,Long,-0.357,-3.044
blast_a_026,Syllable,High,Long,0.443,-0.574
blast_a_027,Syllable,High,Long,-0.129,0.555
blast_a_028,Syllable,High,Long,-0.745,-1.35
blast_a_029,Syllable,High,Long,0.483,-3.424
blast_a_030,Syllable,High,Long,-0.744,-1.12
blast_a_031,Syllable,High,Long,0.131,0.857
blast_a_036,Syllable,High,Long,-0.412,-4.236
blast_a_037,Syllable,High,Long,0.046,-1.38
blast_a_038,Syllable,High,Long,0.321,-1.469
blast_a_039,Syllable,High,Long,-0.256,0.197
blast_a_041,Syllable,High,Long,-0.677,-0.98
blast_a_042,Syllable,High,Long,0.587,-5.509
blast_a_043,Syllable,High,Long,0,0
blast_a_044,Syllable,High,Long,-0.179,-1.429
blast_a_045,Syllable,High,Long,-0.226,-1.385
blast_a_046,Syllable,High,Long,0.831,1.135
blast_a_047,Syllable,High,Long,-1.913,-1.974
blast_a_048,Syllable,High,Long,0.062,-0.602
blast_a_049,Syllable,High,Long,0.164,-1.219
blast_a_050,Syllable,High,Long,0.333,0.028
blast_a_051,Syllable,High,Long,-0.91,0.175
blast_a_001,Syllable,High,Short,2.068,-2.054
blast_a_002,Syllable,High,Short,1.642,-0.411
blast_a_003,Syllable,High,Short,0.457,-2.204
blast_a_004,Syllable,High,Short,1.021,-1.375
blast_a_005,Syllable,High,Short,3.018,4.464
blast_a_006,Syllable,High,Short,2.764,0.962
blast_a_007,Syllable,High,Short,0.312,-2.871
blast_a_008,Syllable,High,Short,1.973,-1.592
blast_a_009,Syllable,High,Short,-0.155,0.042
blast_a_010,Syllable,High,Short,-0.322,-0.497
blast_a_011,Syllable,High,Short,4.229,6.416
blast_a_012,Syllable,High,Short,-0.429,-1.144
blast_a_013,Syllable,High,Short,4.106,3.354
blast_a_014,Syllable,High,Short,0.42,-2.842
blast_a_015,Syllable,High,Short,4.564,5.966
blast_a_016,Syllable,High,Short,0.287,-1.674
blast_a_018,Syllable,High,Short,0.822,-0.816
blast_a_019,Syllable,High,Short,-0.607,-2.315
blast_a_020,Syllable,High,Short,0.748,0.558
blast_a_021,Syllable,High,Short,0.594,-1.291
blast_a_022,Syllable,High,Short,1.534,-1.264
blast_a_023,Syllable,High,Short,0.544,0.039
blast_a_024,Syllable,High,Short,0.642,-1.335
blast_a_025,Syllable,High,Short,2.741,-0.173
blast_a_026,Syllable,High,Short,-1.291,-1.982
blast_a_027,Syllable,High,Short,-0.024,1.065
blast_a_028,Syllable,High,Short,0.199,1.164
blast_a_029,Syllable,High,Short,-1.446,-1.704
blast_a_030,Syllable,High,Short,2.857,-2.328
blast_a_031,Syllable,High,Short,1.462,0.927
blast_a_036,Syllable,High,Short,1.04,-2.187
blast_a_037,Syllable,High,Short,0.743,-0.026
blast_a_038,Syllable,High,Short,-1.284,-6.239
blast_a_039,Syllable,High,Short,-0.527,0.327
blast_a_041,Syllable,High,Short,-0.366,-1.17
blast_a_042,Syllable,High,Short,1.874,-2.564
blast_a_043,Syllable,High,Short,0,0
blast_a_044,Syllable,High,Short,1.185,-2.5
blast_a_045,Syllable,High,Short,0.042,-0.842
blast_a_046,Syllable,High,Short,-0.118,-1.271
blast_a_047,Syllable,High,Short,0.059,0.329
blast_a_048,Syllable,High,Short,0.691,-0.57
blast_a_049,Syllable,High,Short,0.867,-0.566
blast_a_050,Syllable,High,Short,-0.522,-0.172
blast_a_051,Syllable,High,Short,-0.248,0.456
blast_a_001,Syllable,Low,Long,-0.008,-1.816
blast_a_002,Syllable,Low,Long,1.781,1.098
blast_a_003,Syllable,Low,Long,0.224,1.346
blast_a_004,Syllable,Low,Long,-0.792,0.286
blast_a_005,Syllable,Low,Long,-0.655,-0.345
blast_a_006,Syllable,Low,Long,2.455,-4.332
blast_a_007,Syllable,Low,Long,-0.329,-1.553
blast_a_008,Syllable,Low,Long,-0.149,-2.16
blast_a_009,Syllable,Low,Long,0.156,-1.316
blast_a_010,Syllable,Low,Long,-2.02,-1.153
blast_a_011,Syllable,Low,Long,4.211,7.373
blast_a_012,Syllable,Low,Long,-0.375,-1.91
blast_a_013,Syllable,Low,Long,1.526,-1.861
blast_a_014,Syllable,Low,Long,2.089,0.721
blast_a_015,Syllable,Low,Long,0.74,0.973
blast_a_016,Syllable,Low,Long,0.31,-3.265
blast_a_018,Syllable,Low,Long,3.082,1.285
blast_a_019,Syllable,Low,Long,0.154,-1.739
blast_a_020,Syllable,Low,Long,0.568,-0.457
blast_a_021,Syllable,Low,Long,2.857,-0.335
blast_a_022,Syllable,Low,Long,1.604,-1.304
blast_a_023,Syllable,Low,Long,-0.297,-1.97
blast_a_024,Syllable,Low,Long,0.659,-0.019
blast_a_025,Syllable,Low,Long,-1.07,-3.973
blast_a_026,Syllable,Low,Long,0.379,-0.428
blast_a_027,Syllable,Low,Long,0.114,-0.827
blast_a_028,Syllable,Low,Long,-3.473,-4.199
blast_a_029,Syllable,Low,Long,-0.187,-2.808
blast_a_030,Syllable,Low,Long,-1.079,-3.387
blast_a_031,Syllable,Low,Long,1.912,1.832
blast_a_036,Syllable,Low,Long,-0.36,-0.997
blast_a_037,Syllable,Low,Long,0.41,0.049
blast_a_038,Syllable,Low,Long,2.311,-0.585
blast_a_039,Syllable,Low,Long,0,0
blast_a_041,Syllable,Low,Long,-0.639,-1.81
blast_a_042,Syllable,Low,Long,0.954,-2.646
blast_a_043,Syllable,Low,Long,0.62,0.102
blast_a_044,Syllable,Low,Long,-0.68,-0.915
blast_a_045,Syllable,Low,Long,0.366,0.242
blast_a_046,Syllable,Low,Long,0.387,-0.469
blast_a_047,Syllable,Low,Long,4.029,-2.151
blast_a_048,Syllable,Low,Long,0.071,-1.283
blast_a_049,Syllable,Low,Long,0.724,0.47
blast_a_050,Syllable,Low,Long,0.37,0.198
blast_a_051,Syllable,Low,Long,-0.941,-0.117
blast_a_001,Syllable,Low,Short,0.785,-0.558
blast_a_002,Syllable,Low,Short,0.457,-0.792
blast_a_003,Syllable,Low,Short,-1.189,-0.364
blast_a_004,Syllable,Low,Short,0.613,-0.58
blast_a_005,Syllable,Low,Short,1.135,2.338
