subject,Group,Domain,Global,Local,Early,Late
blast_c_009,Child,Syllable,High,Long,2.821333333,-3.14125
blast_c_059,Child,Syllable,High,Long,0.061666667,-0.054
blast_c_072,Child,Syllable,High,Long,-0.839666667,-0.255
blast_c_123,Child,Syllable,High,Long,-1.003333333,0.208
blast_c_126,Child,Syllable,High,Long,1.577666667,-0.67125
blast_c_164,Child,Syllable,High,Long,3.808333333,-5.55125
blast_c_165,Child,Syllable,High,Long,5.959,-3.04075
blast_c_168,Child,Syllable,High,Long,1.360333333,-0.79325
blast_c_206,Child,Syllable,High,Long,4.146333333,-1.50525
blast_c_207,Child,Syllable,High,Long,5.755,-2.3425
blast_c_209,Child,Syllable,High,Long,5.607,-0.68475
blast_c_210,Child,Syllable,High,Long,-2.927666667,1.8865
blast_c_213,Child,Syllable,High,Long,3.957333333,-3.2335
blast_c_216,Child,Syllable,High,Long,0.752,-0.67825
blast_c_224,Child,Syllable,High,Long,-0.548666667,0.0675
blast_c_231,Child,Syllable,High,Long,3.411,-4.0945
blast_c_232,Child,Syllable,High,Long,2.616,-0.8835
blast_c_233,Child,Syllable,High,Long,2.783666667,-1.7855
blast_c_254,Child,Syllable,High,Long,-0.480666667,-1.39075
blast_c_265,Child,Syllable,High,Long,1.029333333,-0.51325
blast_c_268,Child,Syllable,High,Long,1.334,-1.835
blast_c_269,Child,Syllable,High,Long,0.144333333,-0.16325
blast_c_009,Child,Syllable,High,Short,1.930666667,-1.8645
blast_c_059,Child,Syllable,High,Short,2.01,-0.626
blast_c_072,Child,Syllable,High,Short,-0.377333333,0.1505
blast_c_123,Child,Syllable,High,Short,1.847666667,-0.11725
blast_c_126,Child,Syllable,High,Short,3.187,-2.82775
blast_c_164,Child,Syllable,High,Short,4.333333333,-6.32875
blast_c_165,Child,Syllable,High,Short,3.952666667,-3.67275
blast_c_168,Child,Syllable,High,Short,0.988333333,-0.227
blast_c_206,Child,Syllable,High,Short,4.009333333,-2.514
blast_c_207,Child,Syllable,High,Short,2.961666667,-1.55825
blast_c_209,Child,Syllable,High,Short,6.336666667,-4.578
blast_c_210,Child,Syllable,High,Short,-0.216,0.8045
blast_c_213,Child,Syllable,High,Short,3.724666667,-2.93175
blast_c_216,Child,Syllable,High,Short,0.061,-0.22325
blast_c_224,Child,Syllable,High,Short,2.162666667,-0.581
blast_c_231,Child,Syllable,High,Short,1.78,-1.837
blast_c_232,Child,Syllable,High,Short,1.438666667,-0.7895
blast_c_233,Child,Syllable,High,Short,2.179666667,-1.93475
blast_c_254,Child,Syllable,High,Short,1.649,-2.46125
blast_c_265,Child,Syllable,High,Short,1.598,-0.41275
blast_c_268,Child,Syllable,High,Short,0.942,-2.05675
blast_c_269,Child,Syllable,High,Short,-0.148666667,-0.2335
blast_c_009,Child,Syllable,Low,Long,2.240333333,-0.27975
blast_c_059,Child,Syllable,Low,Long,-0.068333333,-0.24825
blast_c_072,Child,Syllable,Low,Long,-0.532333333,-0.4545
blast_c_123,Child,Syllable,Low,Long,1.164666667,-0.07175
blast_c_126,Child,Syllable,Low,Long,0,0
blast_c_164,Child,Syllable,Low,Long,6.580333333,-5.1595
blast_c_165,Child,Syllable,Low,Long,4.677333333,-4.7865
blast_c_168,Child,Syllable,Low,Long,5.792,-6.208
blast_c_206,Child,Syllable,Low,Long,6.898666667,-2.9825
blast_c_207,Child,Syllable,Low,Long,7.355666667,-4.16575
blast_c_209,Child,Syllable,Low,Long,6.810666667,-4.35525
blast_c_210,Child,Syllable,Low,Long,3.615333333,-3.53275
blast_c_213,Child,Syllable,Low,Long,4.853333333,-1.50425
blast_c_216,Child,Syllable,Low,Long,-0.139333333,-0.296
blast_c_224,Child,Syllable,Low,Long,-2.453666667,-1.34125
blast_c_231,Child,Syllable,Low,Long,1.353666667,-1.77825
blast_c_232,Child,Syllable,Low,Long,1.181,0.0345
blast_c_233,Child,Syllable,Low,Long,0,0
blast_c_254,Child,Syllable,Low,Long,0.298,-1.065
blast_c_265,Child,Syllable,Low,Long,-0.567333333,0.832
blast_c_268,Child,Syllable,Low,Long,0.317666667,-3.26375
blast_c_269,Child,Syllable,Low,Long,0.223666667,-0.18875
blast_c_009,Child,Syllable,Low,Short,2.644333333,-0.99625
blast_c_059,Child,Syllable,Low,Short,2.444333333,-0.1485
blast_c_072,Child,Syllable,Low,Short,0.365333333,-0.21325
blast_c_123,Child,Syllable,Low,Short,-0.973333333,-1.838
blast_c_126,Child,Syllable,Low,Short,0,0
blast_c_164,Child,Syllable,Low,Short,5.114333333,-4.67625
blast_c_165,Child,Syllable,Low,Short,2.802,-3.261
blast_c_168,Child,Syllable,Low,Short,2.978666667,-3.65925
blast_c_206,Child,Syllable,Low,Short,3.664666667,-1.20825
blast_c_207,Child,Syllable,Low,Short,4.001333333,-3.02775
blast_c_209,Child,Syllable,Low,Short,15.31133333,-5.79125
blast_c_210,Child,Syllable,Low,Short,-0.484666667,-0.25625
blast_c_213,Child,Syllable,Low,Short,4.212666667,-3.95525
blast_c_216,Child,Syllable,Low,Short,-1.807333333,-0.154
blast_c_224,Child,Syllable,Low,Short,6.834666667,-2.461
blast_c_231,Child,Syllable,Low,Short,3.541,-3.6855
blast_c_232,Child,Syllable,Low,Short,0.766666667,-0.083
blast_c_233,Child,Syllable,Low,Short,0,0
