"","subject","ctopp_bw_raw","ctopp_bw_std","ctopp_el_raw","ctopp_el_std","ctopp_nwr_raw","ctopp_nwr_std","kbit_matrices_raw","kbit_matrices_std","nih_pvt_std","nih_flanker_raw","nih_flanker_std","srs_raw","srs_std","X","SSL_accuracy","mean_entropy","mean_rt","scaled_rt_slope","TSL_accuracy","total_tone_rts","total_syllable_rts","total_auditory_rts","random_syllable_mean_rt","random_tone_mean_rt","structured_syllable_mean_rt","structured_tone_mean_rt","random_ssl_rt_slope","random_tsl_rt_slope","structured_ssl_rt_slope","structured_tsl_rt_slope","random_ssl_rt_slope_scaled","random_tsl_rt_slope_scaled","structured_ssl_rt_slope_scaled","structured_tsl_rt_slope_scaled"
"1","blast_a_001","19","5",29,9,"16","6",38,100,114,20,91,8,39,1,0.531,0.964,603.228,"0.027",0.562,95,96,191,736.016545838924,322.429120239748,703.748695012676,619.200835114612,-3.852,"17.525","4.545",-10.11,-0.029,"0.045","0.016",-0.037
"2","blast_a_002","invalid","invalid",30,10,"invalid","invalid",38,100,103,20,96,66,59,2,0.594,0.342,428.235,"-0.02",0.75,97,96,193,644.827399739189,463.854506079157,544.236895953582,462.223644940791,-1.152,"-1.818","1.955",-4.449,-0.007,"-0.007","0.019",-0.018
"3","blast_a_004","26","11",32,11,"18","8",41,111,114,20,86,19,42,4,0.5,0.983,508.226,"0.007",0.594,97,96,193,690.850752488598,486.145578555903,739.378844188417,298.342674794683,1.683,"3.62","-0.253",1.96,0.008,"0.013","-0.004",0.005
"4","blast_a_005","32","16",32,11,"17","7",41,111,133,20,69,11,40,5,0.844,0.543,490.703,"0.006",0.719,96,96,192,693.105082926968,286.042022382488,640.555239864733,192.003862741755,-1.09,"9.014","-0.158",10.604,-0.01,"0.021","-0.002",0.022
"5","blast_a_006","29","13",27,8,"15","6",33,90,120,20,64,32,47,6,0.625,0.784,558.061,"0.042",0.812,96,96,192,671.268127225893,336.101021638951,628.23653506475,279.684249669558,-1.537,"9.179","-2.181",4.717,-0.013,"0.024","-0.019",0.012
"6","blast_a_007","24","9",28,9,"17","7",38,100,104,20,80,22,44,7,0.594,0.713,525.083,"0.007",0.5,96,96,192,638.73436564649,482.677862030494,630.758474328199,576.820478792199,1.108,"-1.796","-0.826",0.851,0.005,"-0.006","-0.011",0.011
"7","blast_a_010","30","14",30,10,"17","7",42,115,120,20,86,49,53,10,0.594,0.887,550.841,"0.014",0.594,96,96,192,726.745444219849,613.284368872147,685.41186532566,667.842624096854,3.109,"-0.033","1.01",0.926,0.029,"0","0.011",0.009
"8","blast_a_011","29","13",31,10,"15","6",45,130,127,20,102,20,43,11,0.531,0.905,528.846,"0.005",0.688,96,96,192,752.66698607353,641.414597614793,332.8786196652,663.689875484861,3.103,"1.656","17.589",-0.885,0.022,"0.014","0.041",-0.006
"9","blast_a_013","26","11",28,9,"17","7",36,96,121,20,85,22,44,12,0.594,0.895,540.245,"-0.003",0.656,96,96,192,702.524306682114,25.5533876773556,670.036523586905,95.5485792777056,6.378,"7.996","-1.047",12.696,0.029,"0.021","-0.012",0.025
"10","blast_a_017","25","10",31,10,"19","9",44,125,120,20,86,35,48,16,0.531,0.77,726.553,"-0.018",0.75,96,96,192,714.880356054128,401.598733713644,780.3455980118,614.146619292647,-0.563,"-0.438","1.335",2.129,-0.002,"-0.001","0.016",0.01
"11","blast_a_018","28","12",27,8,"18","8",33,90,108,20,91,29,46,17,0.438,0.801,521.666,"0.011",0.875,96,96,192,675.641035491919,328.892487157307,684.765763072453,575.736638934435,0.253,"3.899","2.597",-1.954,0.002,"0.009","0.035",-0.012
"12","blast_a_020","28","12",31,10,"18","8",44,125,108,20,91,41,50,NA,NA,NA,NA,NA,0.719,96,96,192,659.091514764562,615.929119983128,656.947686688376,613.507513273957,1.493,"-0.309","-0.603",1.144,0.013,"-0.001","-0.006",0.012
"13","blast_a_021","26","11",28,9,"16","6",36,96,120,20,75,27,45,19,0.688,0.747,505.212,"-0.02",0.719,96,96,192,655.064868789336,384.950085323958,643.930935554634,465.741176613671,-0.151,"-7.481","-1.435",-3.914,-0.001,"-0.019","-0.023",-0.012
"14","blast_a_022","22","8",14,4,"15","6",37,98,97,20,161,38,49,20,0.812,0.352,475.049,"0.006",0.688,96,96,192,524.674524307254,259.01095804961,458.863373500501,251.552106193934,0.069,"-0.537","-0.198",-2.386,0,"-0.002","-0.001",-0.014
"15","blast_a_023","30","14",33,12,"14","5",36,96,91,20,75,16,41,21,0.531,0.802,529.336,"0.014",0.562,96,96,192,736.697142275,406.715715088235,-163.890811304348,332.568292604651,-0.239,"1.092","-0.779",-10.318,-0.001,"0.003","-0.003",-0.024
"16","blast_a_024","29","13",32,11,"17","7",40,107,119,20,86,38,49,22,0.812,0.437,596.59,"-0.001",0.688,96,96,192,711.218927162827,478.163622029934,718.229167384125,258.767182309527,-0.861,"3.101","-1.997",-9.015,-0.005,"0.009","-0.017",-0.02
"17","blast_a_027","27","11",29,9,"15","6",34,93,110,20,85,18,42,NA,NA,NA,NA,NA,0.562,96,96,192,712.504786008154,484.92176349187,688.236326913251,384.514849615638,-2.736,"2.932","-0.973",2.792,-0.014,"0.013","-0.005",0.007
"18","blast_a_029","22","8",17,4,"10","2",29,84,96,20,64,54,55,NA,NA,NA,NA,NA,NA,96,96,192,713.495792790432,748.244752963,647.285083003974,270.36513729608,0.574,"-6.671","0.178",7.756,0.005,"-0.054","0.002",0.013
