soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,sound_block_key_resp.keys,sound_block_key_resp.rt,tone_block_key_resp.keys,tone_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
da.wav,0,1,1,193,R,0,0,0,0,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ba.wav,0,2,1,194,R,0,1,1,1,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
bi.wav,0,3,1,195,R,0,2,2,2,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ta.wav,0,1,1,196,R,0,3,3,3,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
pa.wav,0,2,1,197,R,0,4,4,4,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
du.wav,0,3,1,198,R,0,5,5,5,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
da.wav,0,1,1,199,R,0,6,6,6,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
tu.wav,0,2,1,200,R,0,7,7,7,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
bu.wav,0,3,1,201,R,0,8,8,8,,,,,4,0.438152074814,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
pu.wav,0,1,1,202,R,0,9,9,9,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ti.wav,0,2,1,203,R,0,10,10,10,,,,,4,0.154545068741,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
pi.wav,0,3,1,204,R,0,11,11,11,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
bu.wav,0,1,1,205,R,0,12,12,12,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
tu.wav,0,2,1,206,R,0,13,13,13,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ba.wav,0,3,1,207,R,0,14,14,14,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
pi.wav,0,1,1,208,R,0,15,15,15,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
di.wav,0,2,1,209,R,0,16,16,16,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
da.wav,0,3,1,210,R,0,17,17,17,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
du.wav,0,1,1,211,R,0,18,18,18,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
di.wav,0,2,1,212,R,0,19,19,19,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
pu.wav,0,3,1,213,R,0,20,20,20,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ti.wav,0,1,1,214,R,0,21,21,21,,,,,4,0.00616788864136,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
pa.wav,0,2,1,215,R,0,22,22,22,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ta.wav,0,3,1,216,R,0,23,23,23,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
bi.wav,0,1,1,217,R,0,24,24,24,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
du.wav,0,2,1,218,R,0,25,25,25,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ti.wav,0,3,1,219,R,0,26,26,26,,,,,4,0.00758004188538,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
du.wav,0,1,1,220,R,0,27,27,27,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
pi.wav,0,2,1,221,R,0,28,28,28,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ba.wav,0,3,1,222,R,0,29,29,29,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
