word,location,image,repetition,trialnum,condition,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,Run,vtarget,PartID,ltarget,frameRate,expName,date,
0,1,B.png,1,1,R,0,0,0,0,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,2,A.png,1,2,R,0,1,1,1,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,3,K.png,1,3,R,0,2,2,2,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,1,D.png,1,4,R,0,3,3,3,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,2,C.png,1,5,R,0,4,4,4,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,3,M.png,1,6,R,0,5,5,5,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,1,E.png,1,7,R,0,6,6,6,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,2,C.png,1,8,R,0,7,7,7,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,3,J.png,1,9,R,0,8,8,8,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,1,F.png,1,10,R,0,9,9,9,,,,,,,,,1,0.450073822372,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,2,J.png,1,11,R,0,10,10,10,,,,,,,,,1,0.709936376446,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,3,L.png,1,12,R,0,11,11,11,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,1,G.png,1,13,R,0,12,12,12,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,2,G.png,1,14,R,0,13,13,13,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,3,A.png,1,15,R,0,14,14,14,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,1,H.png,1,16,R,0,15,15,15,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,2,K.png,1,17,R,0,16,16,16,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,3,M.png,1,18,R,0,17,17,17,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,1,F.png,1,19,R,0,18,18,18,,,,,,,,,1,0.390109772801,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,2,K.png,1,20,R,0,19,19,19,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,3,B.png,1,21,R,0,20,20,20,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,1,M.png,1,22,R,0,21,21,21,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,2,D.png,1,23,R,0,22,22,22,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,3,B.png,1,24,R,0,23,23,23,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,1,K.png,1,25,R,0,24,24,24,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,2,L.png,1,26,R,0,25,25,25,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,3,B.png,1,27,R,0,26,26,26,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,1,G.png,1,28,R,0,27,27,27,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,2,D.png,1,29,R,0,28,28,28,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,3,J.png,1,30,R,0,29,29,29,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,1,H.png,1,31,R,0,30,30,30,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,2,B.png,1,32,R,0,31,31,31,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,3,C.png,1,33,R,0,32,32,32,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,1,M.png,1,34,R,0,33,33,33,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,2,K.png,1,35,R,0,34,34,34,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,3,L.png,1,36,R,0,35,35,35,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,1,E.png,1,37,R,0,36,36,36,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,2,F.png,1,38,R,0,37,37,37,,,,,,,,,1,0.440080293123,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,3,A.png,1,39,R,0,38,38,38,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,1,L.png,1,40,R,0,39,39,39,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,2,E.png,1,41,R,0,40,40,40,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,3,H.png,1,42,R,0,41,41,41,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,1,C.png,1,43,R,0,42,42,42,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,2,G.png,1,44,R,0,43,43,43,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,3,M.png,1,45,R,0,44,44,44,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,1,H.png,1,46,R,0,45,45,45,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,2,D.png,1,47,R,0,46,46,46,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,3,E.png,1,48,R,0,47,47,47,,,,,,,,,None,,,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,0,blank.png,0,0,B,,,,,0,0,0,0,,,,,,,None,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,0,blank.png,0,0,B,,,,,0,1,1,1,,,,,,,None,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,0,blank.png,0,0,B,,,,,0,2,2,2,,,,,,,None,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,0,blank.png,0,0,B,,,,,0,3,3,3,,,,,,,None,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,0,blank.png,0,0,B,,,,,0,4,4,4,,,,,,,None,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,0,blank.png,0,0,B,,,,,0,5,5,5,,,,,,,None,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,0,blank.png,0,0,B,,,,,0,6,6,6,,,,,,,None,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,0,blank.png,0,0,B,,,,,0,7,7,7,,,,,,,None,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,0,blank.png,0,0,B,,,,,0,8,8,8,,,,,,,None,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,0,blank.png,0,0,B,,,,,0,9,9,9,,,,,,,None,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,0,blank.png,0,0,B,,,,,0,10,10,10,,,,,,,None,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
0,0,blank.png,0,0,B,,,,,0,11,11,11,,,,,,,None,,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
1,1,Alien16.png,1.0,1,S,,,,,,,,,0,0,0,0,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
1,2,Alien17.png,1.0,2,S,,,,,,,,,0,1,1,1,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
1,3,Alien18.png,1.0,3,S,,,,,,,,,0,2,2,2,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
2,1,Alien13.png,1.0,4,S,,,,,,,,,0,3,3,3,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
2,2,Alien14.png,1.0,5,S,,,,,,,,,0,4,4,4,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
2,3,Alien15.png,1.0,6,S,,,,,,,,,0,5,5,5,,,,1,0.430058433816,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
3,1,Alien22.png,1.0,7,S,,,,,,,,,0,6,6,6,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
3,2,Alien23.png,1.0,8,S,,,,,,,,,0,7,7,7,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
3,3,Alien24.png,1.0,9,S,,,,,,,,,0,8,8,8,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
1,1,Alien16.png,2.0,10,S,,,,,,,,,0,9,9,9,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
1,2,Alien17.png,2.0,11,S,,,,,,,,,0,10,10,10,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
1,3,Alien18.png,2.0,12,S,,,,,,,,,0,11,11,11,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
4,1,Alien19.png,1.0,13,S,,,,,,,,,0,12,12,12,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
4,2,Alien20.png,1.0,14,S,,,,,,,,,0,13,13,13,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
4,3,Alien21.png,1.0,15,S,,,,,,,,,0,14,14,14,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
2,1,Alien13.png,2.0,16,S,,,,,,,,,0,15,15,15,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
2,2,Alien14.png,2.0,17,S,,,,,,,,,0,16,16,16,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
2,3,Alien15.png,2.0,18,S,,,,,,,,,0,17,17,17,,,,1,0.469929495117,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
3,1,Alien22.png,2.0,19,S,,,,,,,,,0,18,18,18,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
3,2,Alien23.png,2.0,20,S,,,,,,,,,0,19,19,19,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
3,3,Alien24.png,2.0,21,S,,,,,,,,,0,20,20,20,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
1,1,Alien16.png,3.0,22,S,,,,,,,,,0,21,21,21,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
1,2,Alien17.png,3.0,23,S,,,,,,,,,0,22,22,22,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
1,3,Alien18.png,3.0,24,S,,,,,,,,,0,23,23,23,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
4,1,Alien19.png,None,25,S,,,,,,,,,0,24,24,24,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
4,2,Alien20.png,2.0,26,S,,,,,,,,,0,25,25,25,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
4,3,Alien21.png,2.0,27,S,,,,,,,,,0,26,26,26,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
2,1,Alien13.png,3.0,28,S,,,,,,,,,0,27,27,27,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
2,2,Alien14.png,3.0,29,S,,,,,,,,,0,28,28,28,,,,None,,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
2,3,Alien15.png,3.0,30,S,,,,,,,,,0,29,29,29,,,,1,0.430099491863,3,15,blast_a_026,F,100.045019879,visual,2018_Nov_07_1707,
