"","part_id","task","same_or_diff","test_phase","accuracy"
"1","sit_a_002","ll","same","lsl",0.25
"2","sit_a_005","ll","same","lsl",0.469
"3","sit_a_006","ll","same","lsl",0.531
"4","sit_a_009","ll","same","lsl",0.531
"5","sit_a_010","ll","same","lsl",0.688
"6","sit_a_013","ll","same","lsl",0.688
"7","sit_a_015","ll","same","lsl",0.812
"8","sit_a_017","ll","same","lsl",0.75
"9","sit_a_018","ll","same","lsl",0.562
"10","sit_a_020","ll","same","lsl",0.906
"11","sit_a_021","ll","same","lsl",0.594
"12","sit_a_025","ll","same","lsl",0.875
"13","sit_a_030","ll","same","lsl",0.656
"14","sit_a_032","ll","same","lsl",0.75
"15","sit_a_035","ll","same","lsl",0.469
"16","sit_a_038","ll","same","lsl",0.156
"17","sit_a_040","ll","same","lsl",0.719
"18","sit_a_043","ll","same","lsl",0.281
"19","sit_a_044","ll","same","lsl",0.375
"20","sit_a_047","ll","same","lsl",0.594
"21","sit_a_001","lv","different","lsl",0.531
"22","sit_a_003","lv","different","lsl",0.469
"23","sit_a_004","lv","different","lsl",0.844
"24","sit_a_007","lv","different","lsl",0.812
"25","sit_a_008","lv","different","lsl",0.594
"26","sit_a_011","lv","different","lsl",0.844
"27","sit_a_012","lv","different","lsl",0.406
"28","sit_a_014","lv","different","lsl",0.531
"29","sit_a_016","lv","different","lsl",0.406
"30","sit_a_022","lv","different","lsl",0.375
"31","sit_a_023","lv","different","lsl",1
"32","sit_a_024","lv","different","lsl",0.656
"33","sit_a_026","lv","different","lsl",0.906
"34","sit_a_027","lv","different","lsl",0.406
"35","sit_a_028","lv","different","lsl",0.688
"36","sit_a_029","lv","different","lsl",0.5
"37","sit_a_031","lv","different","lsl",0.438
"38","sit_a_033","lv","different","lsl",0.438
"39","sit_a_036","lv","different","lsl",0.844
"40","sit_a_037","lv","different","lsl",0.438
"41","sit_a_039","lv","different","lsl",0.656
"42","sit_a_041","lv","different","lsl",0.844
"43","sit_a_042","lv","different","lsl",0.844
"44","sit_a_045","lv","different","lsl",0.781
"45","sit_a_001","vl","different","vsl",0.562
"46","sit_a_003","vl","different","vsl",0.562
"47","sit_a_004","vl","different","vsl",0.781
"48","sit_a_007","vl","different","vsl",0.625
"49","sit_a_008","vl","different","vsl",0.312
"50","sit_a_011","vl","different","vsl",0.5
"51","sit_a_012","vl","different","vsl",0.844
"52","sit_a_014","vl","different","vsl",0.531
"53","sit_a_016","vl","different","vsl",0.531
"54","sit_a_022","vl","different","vsl",0.938
"55","sit_a_023","vl","different","vsl",0.906
"56","sit_a_024","vl","different","vsl",0.625
"57","sit_a_026","vl","different","vsl",0.781
"58","sit_a_027","vl","different","vsl",0.5
"59","sit_a_028","vl","different","vsl",0.906
"60","sit_a_029","vl","different","vsl",0.344
"61","sit_a_031","vl","different","vsl",0.938
"62","sit_a_033","vl","different","vsl",0.562
"63","sit_a_036","vl","different","vsl",0.438
"64","sit_a_037","vl","different","vsl",0.406
"65","sit_a_039","vl","different","vsl",0.906
"66","sit_a_041","vl","different","vsl",1
"67","sit_a_042","vl","different","vsl",0.438
"68","sit_a_045","vl","different","vsl",0.938
"69","sit_a_002","vv","same","vsl",0.312
"70","sit_a_005","vv","same","vsl",0.969
"71","sit_a_006","vv","same","vsl",0.344
"72","sit_a_009","vv","same","vsl",0.781
"73","sit_a_010","vv","same","vsl",0.875
"74","sit_a_013","vv","same","vsl",0.625
"75","sit_a_015","vv","same","vsl",0.844
"76","sit_a_017","vv","same","vsl",0.75
"77","sit_a_018","vv","same","vsl",0.312
"78","sit_a_019","vv","same","vsl",0.312
"79","sit_a_020","vv","same","vsl",0.844
"80","sit_a_021","vv","same","vsl",0.312
"81","sit_a_025","vv","same","vsl",0.938
"82","sit_a_030","vv","same","vsl",0.469
"83","sit_a_032","vv","same","vsl",0.906
"84","sit_a_035","vv","same","vsl",0.562
"85","sit_a_038","vv","same","vsl",0.875
"86","sit_a_040","vv","same","vsl",0.656
"87","sit_a_043","vv","same","vsl",0.281
"88","sit_a_044","vv","same","vsl",0.438
"89","sit_a_047","vv","same","vsl",0.375
