"","part_id","ll","lv","vl","vv","score","age","sex","same_or_diff"
"1","sit_a_002",530.371,NA,NA,499.8295,NA,21,"female","same"
"2","sit_a_005",383.8015,NA,NA,497.447,NA,20,"female","same"
"3","sit_a_006",410.3575,NA,NA,400.6475,NA,20,"female","same"
"4","sit_a_009",391.8165,NA,NA,463.598,NA,19,"female","same"
"5","sit_a_010",461.9955,NA,NA,NA,NA,19,"female","same"
"6","sit_a_013",414.4605,NA,NA,570.582,103,20,"female","same"
"7","sit_a_015",400.3935,NA,NA,380.168,103,19,"female","same"
"8","sit_a_017",416.5795,NA,NA,459.2715,110,18,"female","same"
"9","sit_a_018",448.2385,NA,NA,466.8235,110,18,"female","same"
"11","sit_a_020",520.6815,NA,NA,621.1585,113,21,"female","same"
"12","sit_a_021",661.0505,NA,NA,698.396,110,18,"female","same"
"13","sit_a_025",455.4855,NA,NA,492.5295,99,25,"female","same"
"14","sit_a_030",475.4835,NA,NA,501.3845,126,20,"female","same"
"15","sit_a_032",420.683,NA,NA,443.1045,126,20,"male","same"
"16","sit_a_035",656.357,NA,NA,627.619,NA,NA,NA,"same"
"17","sit_a_038",474.327,NA,NA,403.3295,119,21,"male","same"
"18","sit_a_040",661.7515,NA,NA,666.4775,111,24,"female","same"
"19","sit_a_043",401.716,NA,NA,423.8015,136,21,"female","same"
"20","sit_a_044",507.226,NA,NA,481.3235,103,20,"female","same"
"21","sit_a_047",434.1665,NA,NA,504.8455,120,20,"male","same"
"22","sit_a_049",504.549,NA,NA,459.1495,110,18,"female","same"
"23","sit_a_001",NA,552.6465,523.3815,NA,NA,22,"female","different"
"24","sit_a_003",NA,424.3945,471.923,NA,102,21,"female","different"
"25","sit_a_004",NA,404.336,375.975,NA,NA,21,"female","different"
"26","sit_a_007",NA,352.7875,453.3335,NA,NA,22,"female","different"
"27","sit_a_008",NA,415.5525,501.605,NA,NA,20,"female","different"
"28","sit_a_011",NA,522.0795,525.1805,NA,NA,20,"female","different"
"29","sit_a_012",NA,507.23,482.455,NA,NA,21,"female","different"
"30","sit_a_014",NA,664.777,688.4465,NA,113,22,"female","different"
"31","sit_a_016",NA,675.557,727.285,NA,86,19,"female","different"
"32","sit_a_022",NA,432.8845,443.055,NA,119,21,"female","different"
"33","sit_a_023",NA,553.633,474.685,NA,121,19,"female","different"
"34","sit_a_024",NA,593.9465,570.5395,NA,123,23,"female","different"
"35","sit_a_026",NA,727.1345,708.19,NA,119,21,"female","different"
"36","sit_a_027",NA,442.1825,416.795,NA,120,20,"female","different"
"37","sit_a_028",NA,361.814,379.262,NA,128,18,"female","different"
"38","sit_a_029",NA,522.599,462.6375,NA,110,18,"female","different"
"39","sit_a_031",NA,428.696,452.1465,NA,123,23,"male","different"
"40","sit_a_033",NA,423.542,388.153,NA,121,19,"female","different"
"41","sit_a_036",NA,499.6495,546.4445,NA,96,21,"female","different"
"42","sit_a_037",NA,533.7745,497.522,NA,97,20,"female","different"
"43","sit_a_039",NA,395.4545,435.9535,NA,104,18,"female","different"
"44","sit_a_041",NA,370.2715,373.639,NA,98,19,"female","different"
"45","sit_a_042",NA,431.799,377.63,NA,98,19,"male","different"
"46","sit_a_045",NA,446.6545,364.2755,NA,115,19,"female","different"
"47","sit_a_046",NA,451.894,362.393,NA,125,21,"female","different"
"48","sit_a_048",NA,450.0735,483.948,NA,114,20,"female","different"
