"","part_id","score","same_or_diff","linguistic","non_linguistic"
"1","sit_a_002",NA,"same",71.838,28.4230000000001
"2","sit_a_005",NA,"same",-0.432999999999993,69.426
"3","sit_a_006",NA,"same",-9.89699999999999,42.983
"4","sit_a_009",NA,"same",-3.16699999999997,31.61
"5","sit_a_010",NA,"same",-63.143,NA
"6","sit_a_013",103,"same",-25.375,-224.694
"7","sit_a_015",103,"same",-143.607,-86.14
"8","sit_a_017",110,"same",-171.951,-127.319
"9","sit_a_018",110,"same",-50.485,17.073
"10","sit_a_019",97,"same",967.716,17.366
"11","sit_a_020",113,"same",-166.765,-73.673
"12","sit_a_021",110,"same",18.3449999999999,45.6
"13","sit_a_025",99,"same",35.261,-111.141
"14","sit_a_030",126,"same",-10.183,-35.199
"15","sit_a_032",126,"same",-47.688,-170.991
"16","sit_a_038",119,"same",-81.016,-161.729
"17","sit_a_040",111,"same",175.227,-31.487
"18","sit_a_043",136,"same",-12.286,17.045
"19","sit_a_044",103,"same",-37.018,-22.243
"20","sit_a_047",120,"same",3.255,9.16899999999998
"21","sit_a_049",110,"same",26.598,15.295
"22","sit_a_001",NA,"different",0.22199999999998,-58.308
"23","sit_a_003",102,"different",-40.352,54.705
"24","sit_a_004",NA,"different",-61.022,-117.744
"25","sit_a_007",NA,"different",-148.875,52.217
"26","sit_a_008",NA,"different",-141.387,30.718
"27","sit_a_011",NA,"different",-62.725,-56.523
"28","sit_a_012",NA,"different",-38.287,-87.837
"29","sit_a_014",113,"different",-25.297,22.042
"30","sit_a_016",86,"different",-75.6179999999999,27.838
"31","sit_a_022",119,"different",-50.345,-30.004
"32","sit_a_023",121,"different",-4.77799999999991,-162.674
"33","sit_a_024",123,"different",-7.21399999999994,-54.028
"34","sit_a_026",119,"different",23.539,-14.35
"35","sit_a_027",120,"different",23.706,-27.069
"36","sit_a_028",128,"different",-206.64,-171.744
"37","sit_a_029",110,"different",75.013,-44.91
"38","sit_a_031",123,"different",-52.184,-5.28300000000002
"39","sit_a_033",121,"different",24.728,-46.05
"40","sit_a_036",96,"different",-84.025,9.56499999999994
"41","sit_a_037",97,"different",31.445,-41.0599999999999
"42","sit_a_039",104,"different",-48.972,32.026
"43","sit_a_041",98,"different",-131.752,-125.017
"44","sit_a_042",98,"different",15.482,-92.856
"45","sit_a_045",115,"different",-47.587,-212.345
"46","sit_a_046",125,"different",-26.813,-205.815
"47","sit_a_048",114,"different",-52.0899999999999,15.659
