"","part_id","score","same_or_diff","linguistic","non_linguistic"
"1","sit_a_002",NA,"same",4.036,-1.0788
"2","sit_a_005",NA,"same",0.8198,2.7945
"3","sit_a_006",NA,"same",-0.5393,-3.1386
"4","sit_a_009",NA,"same",2.3293,2.4166
"5","sit_a_010",NA,"same",-6.1366,NA
"6","sit_a_013",103,"same",-4.4366,-9.3894
"7","sit_a_015",103,"same",-11.2259,-5.1977
"8","sit_a_017",110,"same",-5.4568,-23.2292
"9","sit_a_018",110,"same",-5.8258,-0.3823
"10","sit_a_019",97,"same",-19.4184,-1.1664
"11","sit_a_020",113,"same",-11.2749,-2.0347
"12","sit_a_021",110,"same",7.5416,-4.149
"13","sit_a_025",99,"same",-5.0766,-13.2014
"14","sit_a_030",126,"same",5.3687,0.4627
"15","sit_a_032",126,"same",-2.3584,-11.3519
"16","sit_a_038",119,"same",2.9505,-9.1819
"17","sit_a_040",111,"same",10.7784,-0.601
"18","sit_a_043",136,"same",5.1737,-1.8829
"19","sit_a_044",103,"same",-0.529500000000001,5.8049
"20","sit_a_047",120,"same",-2.1737,0.8513
"21","sit_a_049",110,"same",7.1212,-0.9698
"22","sit_a_001",NA,"different",5.4779,15.7988
"23","sit_a_003",102,"different",4.9943,-0.4493
"24","sit_a_004",NA,"different",-44.4683,7.8521
"25","sit_a_007",NA,"different",-2.3859,-2.8716
"26","sit_a_008",NA,"different",5.5922,-6.7643
"27","sit_a_011",NA,"different",0.4112,-2.8855
"28","sit_a_012",NA,"different",8.1274,-5.7515
"29","sit_a_014",113,"different",-4.1381,6.3244
"30","sit_a_016",86,"different",-0.0698999999999999,-9.3277
"31","sit_a_022",119,"different",-0.2438,-8.0339
"32","sit_a_023",121,"different",-7.4718,-4.8596
"33","sit_a_024",123,"different",-4.7625,-3.058
"34","sit_a_026",119,"different",0.3135,-2.6354
"35","sit_a_027",120,"different",-1.5016,-4.023
"36","sit_a_028",128,"different",-20.3258,-18.1609
"37","sit_a_029",110,"different",-5.2696,-1.1351
"38","sit_a_031",123,"different",0.4162,-6.7212
"39","sit_a_033",121,"different",-0.5455,8.4594
"40","sit_a_036",96,"different",-0.7829,-4.8594
"41","sit_a_037",97,"different",-4.6399,2.4749
"42","sit_a_039",104,"different",7.7035,-1.5123
"43","sit_a_041",98,"different",2.7619,-20.9967
"44","sit_a_042",98,"different",4.7406,0.0935000000000001
"45","sit_a_045",115,"different",-2.864,-30.254
"46","sit_a_046",125,"different",-14.2761,-0.9755
"47","sit_a_048",114,"different",0.7933,-14.7308
