"","part_id","ll","lv","vl","vv","score","age","sex","same_or_diff"
"1","sit_a_002",2.8117,NA,NA,4.5495,NA,NA,NA,"same"
"2","sit_a_005",1.1134,NA,NA,-1.86665,NA,NA,NA,"same"
"3","sit_a_006",0.89715,NA,NA,0.7825,NA,NA,NA,"same"
"4","sit_a_009",3.50405,NA,NA,-2.223,NA,NA,NA,"same"
"5","sit_a_010",-0.3198,NA,NA,NA,NA,NA,NA,"same"
"6","sit_a_013",-1.1076,NA,NA,-6.4261,103,20,"female","same"
"7","sit_a_015",-4.43645,NA,NA,-1.68435,103,19,"female","same"
"8","sit_a_017",-2.647,NA,NA,-5.1423,110,18,"female","same"
"9","sit_a_018",2.4199,NA,NA,2.09235,110,18,"female","same"
"10","sit_a_019",6.9597,NA,NA,-1.2898,97,20,"male","same"
"11","sit_a_020",-3.06795,NA,NA,0.32115,113,21,"female","same"
"12","sit_a_021",5.5983,NA,NA,5.127,110,18,"female","same"
"13","sit_a_025",5.2094,NA,NA,-5.9655,99,25,"female","same"
"14","sit_a_030",1.23085,NA,NA,1.56725,126,20,"female","same"
"15","sit_a_032",0.7226,NA,NA,-1.45695,126,20,"male","same"
"16","sit_a_035",6.97815,NA,NA,6.06695,NA,NA,NA,"same"
"17","sit_a_038",1.14365,NA,NA,-5.74405,119,21,"male","same"
"18","sit_a_040",1.4017,NA,NA,-3.9719,111,24,"female","same"
"19","sit_a_043",-1.57315,NA,NA,1.58895,136,21,"female","same"
"20","sit_a_044",5.94245,NA,NA,4.70915,103,20,"female","same"
"21","sit_a_047",2.89555,NA,NA,-0.93255,120,20,"male","same"
"22","sit_a_049",12.4024,NA,NA,2.5902,110,18,"female","same"
"23","sit_a_001",NA,0.7092,5.86965,NA,NA,NA,NA,"different"
"24","sit_a_003",NA,2.2089,-0.5129,NA,102,21,"female","different"
"25","sit_a_004",NA,-11.1452,15.015,NA,NA,NA,NA,"different"
"26","sit_a_007",NA,-2.887,-3.12985,NA,NA,NA,NA,"different"
"27","sit_a_008",NA,4.14855,-2.0297,NA,NA,NA,NA,"different"
"28","sit_a_011",NA,1.05445,-0.5939,NA,NA,NA,NA,"different"
"29","sit_a_012",NA,1.96215,-4.9773,NA,NA,NA,NA,"different"
"30","sit_a_014",NA,-4.1464,1.08485,NA,113,22,"female","different"
"31","sit_a_016",NA,2.0305,-2.5984,NA,86,19,"female","different"
"32","sit_a_022",NA,0.4165,-3.47855,NA,119,21,"female","different"
"33","sit_a_023",NA,-0.1761,1.13,NA,121,19,"female","different"
"34","sit_a_024",NA,-0.92385,-0.0716000000000001,NA,123,23,"female","different"
"35","sit_a_026",NA,3.00645,1.532,NA,119,21,"female","different"
"36","sit_a_027",NA,2.9994,1.7387,NA,120,20,"female","different"
"37","sit_a_028",NA,-7.05805,-5.9756,NA,128,18,"female","different"
"38","sit_a_029",NA,1.0577,3.12495,NA,110,18,"female","different"
"39","sit_a_031",NA,-2.0351,-5.6038,NA,123,23,"male","different"
"40","sit_a_033",NA,-1.5702,2.93225,NA,121,19,"female","different"
"41","sit_a_036",NA,2.80455,0.7663,NA,96,21,"female","different"
"42","sit_a_037",NA,1.78325,5.34065,NA,97,20,"female","different"
"43","sit_a_039",NA,3.5042,-1.1037,NA,104,18,"female","different"
"44","sit_a_041",NA,-0.9727,-12.852,NA,98,19,"female","different"
"45","sit_a_042",NA,1.05985,-1.2637,NA,98,19,"male","different"
"46","sit_a_045",NA,0.4697,-13.2253,NA,115,19,"female","different"
"47","sit_a_046",NA,-4.5072,2.1431,NA,125,21,"female","different"
"48","sit_a_048",NA,1.64525,-6.1168,NA,114,20,"female","different"
