part_id,task,same_or_diff,test_phase,domain,type,mean_rt,range,upper_bound,lower_bound,rt_slope
sit_a_002,ll,same,lsl,linguistic,random,494.452,283.28452,342.021225,625.3057,0.7937
sit_a_005,ll,same,lsl,linguistic,random,384.018,141.72717,316.931489,458.6587,0.7035
sit_a_006,ll,same,lsl,linguistic,random,415.306,166.64652,333.702637,500.3492,1.1668
sit_a_009,ll,same,lsl,linguistic,random,393.4,241.80224,275.34592,517.1482,2.3394
sit_a_010,ll,same,lsl,linguistic,random,493.567,500.01351,375.340942,875.3545,2.7485
sit_a_013,ll,same,lsl,linguistic,random,427.148,416.76497,325.294563,742.0595,1.1107
sit_a_015,ll,same,lsl,linguistic,random,472.197,658.46624,316.980546,975.4468,1.1765
sit_a_017,ll,same,lsl,linguistic,random,502.555,459.01118,366.978996,825.9902,0.0814
sit_a_018,ll,same,lsl,linguistic,random,473.481,333.28668,350.32859,683.6153,5.3328
sit_a_019,ll,same,lsl,linguistic,random,-549.638,124.99303,-624.640036,-499.647,16.6689
sit_a_020,ll,same,lsl,linguistic,random,604.064,333.44793,486.871958,820.3199,2.5695
sit_a_021,ll,same,lsl,linguistic,random,651.878,434.20386,385.954142,820.158,1.8275
sit_a_025,ll,same,lsl,linguistic,random,437.855,257.5141,316.977493,574.4916,7.7477
sit_a_030,ll,same,lsl,linguistic,random,480.575,250.04302,358.62264,608.6657,-1.4535
sit_a_032,ll,same,lsl,linguistic,random,444.527,516.72634,342.068817,858.7952,1.9018
sit_a_035,ll,same,lsl,linguistic,random,673.517,333.44984,503.924131,837.374,7.4107
sit_a_038,ll,same,lsl,linguistic,random,514.835,547.28536,368.406112,915.6915,-0.3316
sit_a_040,ll,same,lsl,linguistic,random,574.138,1784.25503,-913.027048,871.228,-3.9875
sit_a_043,ll,same,lsl,linguistic,random,407.859,349.75792,283.812001,633.5699,-4.16
sit_a_044,ll,same,lsl,linguistic,random,525.735,391.53032,358.623493,750.1538,6.2072
sit_a_047,ll,same,lsl,linguistic,random,432.539,208.34771,317.058171,525.4059,3.9824
sit_a_049,ll,same,lsl,linguistic,random,491.25,608.29219,350.446564,958.7387,8.8418
sit_a_001,lv,different,lsl,non-linguistic,random,594.112,533.49721,408.645585,942.1428,-2.2213
sit_a_003,lv,different,lsl,non-linguistic,random,428.98,158.35666,367.015386,525.372,1.4078
sit_a_004,lv,different,lsl,non-linguistic,random,522.602,425.18093,366.988649,792.1696,-1.3516
sit_a_007,lv,different,lsl,non-linguistic,random,398.893,183.40145,325.336832,508.7383,1.1954
sit_a_008,lv,different,lsl,non-linguistic,random,451.343,308.5494,275.308658,583.8581,3.9192
sit_a_011,lv,different,lsl,non-linguistic,random,559.792,467.3779,402.437925,869.8158,0.5211
sit_a_012,lv,different,lsl,non-linguistic,random,499.799,383.52886,317.096263,700.6251,3.4364
sit_a_014,lv,different,lsl,non-linguistic,random,696.467,416.48293,520.787001,937.2699,-4.8861
sit_a_016,lv,different,lsl,non-linguistic,random,694.35,284.70898,569.415092,854.1241,2.6441
sit_a_022,lv,different,lsl,non-linguistic,random,442.135,470.10475,308.649813,778.7546,3.7109
sit_a_023,lv,different,lsl,non-linguistic,random,579.561,350.37494,502.828121,853.2031,3.2416
sit_a_024,lv,different,lsl,non-linguistic,random,620.201,183.71034,553.235769,736.9461,-0.6479
sit_a_026,lv,different,lsl,non-linguistic,random,717.615,166.79192,620.214939,787.0069,3.3768
sit_a_027,lv,different,lsl,non-linguistic,random,465.967,675.15791,208.602062,883.76,5.3895
sit_a_028,lv,different,lsl,non-linguistic,random,441.334,358.2888,333.759431,692.0482,3.1085
sit_a_029,lv,different,lsl,non-linguistic,random,529.925,316.6668,383.668186,700.335,2.9689
sit_a_031,lv,different,lsl,non-linguistic,random,426.57,342.89911,324.112682,667.0118,-5.8769
sit_a_033,lv,different,lsl,non-linguistic,random,434.279,258.05156,325.665465,583.717,-4.3808
sit_a_036,lv,different,lsl,non-linguistic,random,539.667,509.13867,386.451851,895.5905,4.4792
sit_a_037,lv,different,lsl,non-linguistic,random,570.911,375.34201,400.135054,775.4771,4.4405
sit_a_039,lv,different,lsl,non-linguistic,random,406.147,384.19137,316.234704,700.4261,2.3778
sit_a_041,lv,different,lsl,non-linguistic,random,387.826,182.96188,292.42214,475.384,-1.9712
sit_a_042,lv,different,lsl,non-linguistic,random,458.754,283.40781,317.056749,600.4646,-1.1302
sit_a_045,lv,different,lsl,non-linguistic,random,455.248,216.80937,333.034572,549.8439,2.9369
sit_a_046,lv,different,lsl,non-linguistic,random,462.124,533.53019,333.648119,867.1783,0.1251
sit_a_048,lv,different,lsl,non-linguistic,random,438.052,208.04022,350.458795,558.499,2.5915
sit_a_001,vl,different,vsl,linguistic,random,510.959,466.94368,383.678161,850.6218,-1.8382
sit_a_003,vl,different,vsl,linguistic,random,460.161,1025.25614,-266.236605,759.0195,-1.9843
sit_a_004,vl,different,vsl,linguistic,random,347.092,1225.07517,-641.31657,583.7586,23.5295
sit_a_007,vl,different,vsl,linguistic,random,455.557,458.358,333.718282,792.0763,-4.5835
sit_a_008,vl,different,vsl,linguistic,random,521.149,550.08455,341.996373,892.0809,-1.2143
sit_a_011,vl,different,vsl,linguistic,random,547.092,433.05492,435.296059,868.351,1.1766
sit_a_012,vl,different,vsl,linguistic,random,552.948,420.36192,396.777164,817.1391,-7.6395
sit_a_014,vl,different,vsl,linguistic,random,658.384,433.32791,503.140926,936.4688,0.7314
sit_a_016,vl,different,vsl,linguistic,random,732.382,383.19016,570.59288,953.783,1.4868
sit_a_022,vl,different,vsl,linguistic,random,473.979,476.5696,341.946596,818.5162,-2.6341
sit_a_023,vl,different,vsl,linguistic,random,532.483,282.40704,436.671019,719.0781,3.878
sit_a_024,vl,different,vsl,linguistic,random,574.906,332.77512,470.489979,803.2651,3.5627
sit_a_026,vl,different,vsl,linguistic,random,713.115,381.66904,570.641994,952.311,2.3226
sit_a_027,vl,different,vsl,linguistic,random,394.692,1382.22625,-608.021852,774.2044,2.1109
sit_a_028,vl,different,vsl,linguistic,random,488.934,424.99421,250.395805,675.39,3.1012
sit_a_029,vl,different,vsl,linguistic,random,440.26,325.03515,292.047597,617.0827,4.4161
sit_a_031,vl,different,vsl,linguistic,random,483.006,325.08008,358.69432,683.7744,1.3905
sit_a_033,vl,different,vsl,linguistic,random,388.077,241.96053,307.694255,549.6548,1.7859
sit_a_036,vl,different,vsl,linguistic,random,543.657,361.13205,436.877718,798.0098,1.9128
sit_a_037,vl,different,vsl,linguistic,random,465.193,358.68493,317.000998,675.6859,3.7659
sit_a_039,vl,different,vsl,linguistic,random,433.734,433.42219,292.071419,725.4936,-3.0729
sit_a_041,vl,different,vsl,linguistic,random,484.469,590.81648,318.039221,908.8557,-2.7361
sit_a_042,vl,different,vsl,linguistic,random,389.362,258.41935,283.636215,542.0556,-1.4907
sit_a_045,vl,different,vsl,linguistic,random,485.648,450.00815,358.731866,808.74,0.8665
sit_a_046,vl,different,vsl,linguistic,random,468.477,600.16503,241.94972,842.1148,5.1366
sit_a_048,vl,different,vsl,linguistic,random,514.185,516.95219,350.179755,867.1319,-0.0943
sit_a_002,vv,same,vsl,non-linguistic,random,485.618,312.64121,333.645464,646.2867,5.0889
sit_a_005,vv,same,vsl,non-linguistic,random,462.734,249.67595,358.619715,608.2957,-3.2639
sit_a_006,vv,same,vsl,non-linguistic,random,379.156,183.3932,291.983977,475.3772,2.3518
sit_a_009,vv,same,vsl,non-linguistic,random,447.793,299.99531,291.956622,591.9519,-3.4313
sit_a_013,vv,same,vsl,non-linguistic,random,682.929,483.48844,458.581096,942.0695,-1.7314
sit_a_015,vv,same,vsl,non-linguistic,random,423.238,441.57134,283.623784,725.1951,0.9145
sit_a_017,vv,same,vsl,non-linguistic,random,522.931,249.98457,408.661437,658.646,6.4723
sit_a_018,vv,same,vsl,non-linguistic,random,458.287,191.64257,383.659477,575.3021,2.2835
sit_a_019,vv,same,vsl,non-linguistic,random,484.377,458.36647,375.319573,833.686,-0.7066
sit_a_020,vv,same,vsl,non-linguistic,random,657.995,367.64216,469.300032,836.9422,1.3385
sit_a_021,vv,same,vsl,non-linguistic,random,675.596,385.88619,550.591946,936.4781,7.2015
sit_a_025,vv,same,vsl,non-linguistic,random,548.1,541.80693,408.672427,950.4794,0.6352
sit_a_030,vv,same,vsl,non-linguistic,random,518.984,525.25114,416.872344,942.1235,1.3359
sit_a_032,vv,same,vsl,non-linguistic,random,528.6,279.9026,406.22416,686.1268,4.219
sit_a_035,vv,same,vsl,non-linguistic,random,651.794,299.87192,553.698063,853.57,1.9311
sit_a_038,vv,same,vsl,non-linguistic,random,484.194,300.02961,383.109338,683.1389,-1.1531
sit_a_040,vv,same,vsl,non-linguistic,random,682.221,418.51187,553.132057,971.6439,-3.6714
sit_a_043,vv,same,vsl,non-linguistic,random,415.279,233.40301,316.993603,550.3966,2.5304
sit_a_044,vv,same,vsl,non-linguistic,random,492.445,342.01762,383.90749,725.9251,1.8067
sit_a_047,vv,same,vsl,non-linguistic,random,500.261,249.68832,392.048863,641.7372,-1.3582
sit_a_049,vv,same,vsl,non-linguistic,random,451.502,591.90818,316.932731,908.8409,3.0751
sit_a_002,ll,same,lsl,linguistic,structured,566.29,575.00226,408.759647,983.7619,4.8297
sit_a_005,ll,same,lsl,linguistic,structured,383.585,258.34981,308.668085,567.0179,1.5233
sit_a_006,ll,same,lsl,linguistic,structured,405.409,200.06025,308.639924,508.7002,0.6275
sit_a_009,ll,same,lsl,linguistic,structured,390.233,249.99794,300.351147,550.3491,4.6687
sit_a_010,ll,same,lsl,linguistic,structured,430.424,466.77163,233.635556,700.4072,-3.3881
sit_a_013,ll,same,lsl,linguistic,structured,401.773,375.06859,300.317809,675.3864,-3.3259
