corrAns,soundFile3,soundFile2,soundFile1,soundFile6,soundFile5,soundFile4,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,question_key_resp.keys,question_key_resp.corr,question_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,,,,,,,,,,,3,5.193068832,,,bi,2,f008,119.9512435,1C,auditory,2018_Jan_30_1606
3,bi.wav,tu.wav,pi.wav,da.wav,ba.wav,ta.wav,0,0,0,12,3,1,1.592243432,bi,2,f008,118.1949819,1C,auditory,2018_Jan_30_1617,,,,,,,,,,,,,5,23.22128684,bi,2,f008,119.9512435,1C,auditory,2018_Jan_30_1606
4,da.wav,ba.wav,ta.wav,du.wav,ti.wav,ta.wav,0,1,1,10,3,0,1.200288597,bi,2,f008,118.1949819,1C,auditory,2018_Jan_30_1617,,,,,,,,,,,,,,,,,,,,,
3,du.wav,ti.wav,ta.wav,bi.wav,pa.wav,di.wav,0,2,2,13,3,1,1.375546666,bi,2,f008,118.1949819,1C,auditory,2018_Jan_30_1617,,,,,,,,,,,,,,,,,,,,,
3,da.wav,pa.wav,bu.wav,pu.wav,ti.wav,pi.wav,0,3,3,7,3,1,2.233982729,bi,2,f008,118.1949819,1C,auditory,2018_Jan_30_1617,,,,,,,,,,,,,,,,,,,,,
3,pu.wav,ba.wav,di.wav,da.wav,ba.wav,ta.wav,0,4,4,3,4,0,0.29180883,bi,2,f008,118.1949819,1C,auditory,2018_Jan_30_1617,,,,,,,,,,,,,,,,,,,,,
4,pu.wav,ti.wav,pi.wav,bi.wav,tu.wav,pi.wav,0,5,5,5,4,1,0.333529695,bi,2,f008,118.1949819,1C,auditory,2018_Jan_30_1617,,,,,,,,,,,,,,,,,,,,,
3,pu.wav,ba.wav,di.wav,bi.wav,pa.wav,di.wav,0,6,6,0,3,1,0.85854472,bi,2,f008,118.1949819,1C,auditory,2018_Jan_30_1617,,,,,,,,,,,,,,,,,,,,,
3,da.wav,pa.wav,bu.wav,du.wav,tu.wav,bu.wav,0,7,7,15,3,1,1.08388973,bi,2,f008,118.1949819,1C,auditory,2018_Jan_30_1617,,,,,,,,,,,,,,,,,,,,,
3,pu.wav,ba.wav,di.wav,pu.wav,ti.wav,pi.wav,0,8,8,4,3,1,0.700365824,bi,2,f008,118.1949819,1C,auditory,2018_Jan_30_1617,,,,,,,,,,,,,,,,,,,,,
3,da.wav,pa.wav,bu.wav,da.wav,ba.wav,ta.wav,0,9,9,2,4,0,0.417001861,bi,2,f008,118.1949819,1C,auditory,2018_Jan_30_1617,,,,,,,,,,,,,,,,,,,,,
3,du.wav,ti.wav,ta.wav,pu.wav,ti.wav,pi.wav,0,10,10,9,3,1,1.892228044,bi,2,f008,118.1949819,1C,auditory,2018_Jan_30_1617,,,,,,,,,,,,,,,,,,,,,
3,bi.wav,tu.wav,pi.wav,du.wav,tu.wav,bu.wav,0,11,11,8,3,1,0.358610285,bi,2,f008,118.1949819,1C,auditory,2018_Jan_30_1617,,,,,,,,,,,,,,,,,,,,,
4,bi.wav,pa.wav,di.wav,bi.wav,tu.wav,pi.wav,0,12,12,6,4,1,0.175330603,bi,2,f008,118.1949819,1C,auditory,2018_Jan_30_1617,,,,,,,,,,,,,,,,,,,,,
4,du.wav,tu.wav,bu.wav,du.wav,ti.wav,ta.wav,0,13,13,11,3,0,2.283984052,bi,2,f008,118.1949819,1C,auditory,2018_Jan_30_1617,,,,,,,,,,,,,,,,,,,,,
4,bi.wav,pa.wav,di.wav,da.wav,pa.wav,bu.wav,0,14,14,14,4,1,0.400285355,bi,2,f008,118.1949819,1C,auditory,2018_Jan_30_1617,,,,,,,,,,,,,,,,,,,,,
3,pu.wav,ba.wav,di.wav,du.wav,tu.wav,bu.wav,0,15,15,1,3,1,2.650713799,bi,2,f008,118.1949819,1C,auditory,2018_Jan_30_1617,,,,,,,,,,,,,,,,,,,,,
