"","part_id","task","domain","modality","accuracy"
"1","f001","SSL","auditory","linguistic",0.781
"2","f001","TSL","auditory","non-linguistic",0.774
"3","f002","SSL","auditory","linguistic",0.469
"4","f002","TSL","auditory","non-linguistic",0.645
"5","f003","SSL","auditory","linguistic",0.688
"6","f003","TSL","auditory","non-linguistic",0.581
"7","f004","SSL","auditory","linguistic",0.531
"8","f004","TSL","auditory","non-linguistic",0.548
"9","f005","SSL","auditory","linguistic",0.375
"10","f005","TSL","auditory","non-linguistic",0.562
"11","f001","LSL","visual","linguistic",0.969
"12","f001","VSL","visual","non-linguistic",1
"13","f002","LSL","visual","linguistic",0.938
"14","f002","VSL","visual","non-linguistic",1
"15","f003","LSL","visual","linguistic",1
"16","f003","VSL","visual","non-linguistic",0.938
"17","f004","LSL","visual","linguistic",0.625
"18","f004","VSL","visual","non-linguistic",0.5
