"","auditory_part_id","total_tone_rts","total_syllable_rts","total_auditory_rts","random_syllable_mean_rt","random_tone_mean_rt","structured_syllable_mean_rt","structured_tone_mean_rt","random_ssl_rt_slope","random_tsl_rt_slope","structured_ssl_rt_slope","structured_tsl_rt_slope"
"1","blast_a_001","95","96","191",736.016545838924,322.429120239748,703.748695012676,619.200835114612,"-3.852","17.525","4.545","-10.11"
"2","blast_a_002","97","96","193",644.827399739189,463.854506079157,544.236895953582,462.223644940791,"-1.152","-1.818","1.955","-4.449"
"3","blast_a_004","97","96","193",690.850752488598,486.145578555903,739.378844188417,298.342674794683,"1.683","3.62","-0.253","1.96"
"4","blast_a_005","96","96","192",693.105082926968,286.042022382488,640.555239864733,192.003862741755,"-1.09","9.014","-0.158","10.604"
"5","blast_a_006","96","96","192",671.268127225893,336.101021638951,628.23653506475,279.684249669558,"-1.537","9.179","-2.181","4.717"
"6","blast_a_007","96","96","192",638.73436564649,482.677862030494,630.758474328199,576.820478792199,"1.108","-1.796","-0.826","0.851"
"7","blast_a_008","72","72","144",667.340675246555,709.440020649683,589.631620740315,668.638309967476,"-0.954","-6.01","3.274","2.133"
"8","blast_a_010","96","96","192",726.745444219849,613.284368872147,685.41186532566,667.842624096854,"3.109","-0.033","1.01","0.926"
"9","blast_a_011","96","96","192",752.66698607353,641.414597614793,332.8786196652,663.689875484861,"3.103","1.656","17.589","-0.885"
"10","blast_a_012","72","72","144",737.696402067097,390.261039270971,673.77726501027,610.261487486512,"1.273","14.932","-0.373","19.605"
"11","blast_a_013","96","96","192",702.524306682114,25.5533876773556,670.036523586905,95.5485792777056,"6.378","7.996","-1.047","12.696"
"12","blast_a_014","96","96","192",721.931504891061,569.73828066442,678.613452380468,512.71802421495,"1.707","7.277","3.704","-1.043"
"13","blast_a_015","96","96","192",718.758937070207,201.287504695953,634.746601959711,266.291305708664,"2.715","12.857","5.942","-5.32"
"14","blast_a_017","96","96","192",714.880356054128,401.598733713644,780.3455980118,614.146619292647,"-0.563","-0.438","1.335","2.129"
"15","blast_a_018","96","96","192",675.641035491919,328.892487157307,684.765763072453,575.736638934435,"0.253","3.899","2.597","-1.954"
"16","blast_a_020","96","96","192",659.091514764562,615.929119983128,656.947686688376,613.507513273957,"1.493","-0.309","-0.603","1.144"
"17","blast_a_021","96","96","192",655.064868789336,384.950085323958,643.930935554634,465.741176613671,"-0.151","-7.481","-1.435","-3.914"
"18","blast_a_022","96","96","192",524.674524307254,259.01095804961,458.863373500501,251.552106193934,"0.069","-0.537","-0.198","-2.386"
"19","blast_a_023","96","96","192",736.697142275,406.715715088235,-163.890811304348,332.568292604651,"-0.239","1.092","-0.779","-10.318"
"20","blast_a_024","96","96","192",711.218927162827,478.163622029934,718.229167384125,258.767182309527,"-0.861","3.101","-1.997","-9.015"
"21","blast_a_025","96","96","192",712.010746060985,143.26194378683,645.246467149245,304.72904397144,"-2.681","1.758","-2.104","2.236"
"22","blast_a_026","48","48","96",760.563897608696,184.769507574973,461.14056602511,380.994771,"-0.5","3.272","-3.569","-18.72"
"23","blast_a_027","96","96","192",712.504786008154,484.92176349187,688.236326913251,384.514849615638,"-2.736","2.932","-0.973","2.792"
"24","blast_a_028","72","72","144",650.210377014113,NA,NA,460.20168290225,"20.065","too few hits","too few hits","34.827"
"25","blast_a_029","96","96","192",713.495792790432,748.244752963,647.285083003974,270.36513729608,"0.574","-6.671","0.178","7.756"
"26","blast_a_032","96","96","192",555.9391662672,336.401667873262,438.752850759571,454.534195101807,"-3.317","8.767","11.54","-4.88"
"27","blast_a_035","96","96","192",625.142327184283,542.646908606246,552.243728160851,450.313392366687,"0.106","1.549","-2.767","0.543"
"28","blast_a_038","96","96","192",610.144513130161,541.60024946391,549.351553636401,483.664400464087,"-1.432","-2.668","-2.706","-2.11"
"29","blast_a_039","96","96","192",608.528633851258,392.495607963009,449.101977219402,253.166781067869,"2.783","-7.748","2.001","-4.485"
"30","blast_a_044","96","96","192",577.996493657481,236.677605311121,613.191883491779,195.512441488338,"2.479","-2.005","-0.819","17.42"
