word,location,image,repetition,trialnum,condition,letter6,letter5,letter4,letter3,letter2,letter1,corrAns,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,forced_test_trials.thisRepN,forced_test_trials.thisTrialN,forced_test_trials.thisN,forced_test_trials.thisIndex,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,question_key_resp.keys,question_key_resp.corr,question_key_resp.rt,Run,vtarget,PartID,ltarget,frameRate,expName,date,
1,1,M.png,13,145,S,,,,,,,,0,0,0,0,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
1,2,K.png,13,146,S,,,,,,,,0,1,1,1,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
1,3,B.png,13,147,S,,,,,,,,0,2,2,2,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
3,1,D.png,13,148,S,,,,,,,,0,3,3,3,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
3,2,G.png,13,149,S,,,,,,,,0,4,4,4,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
3,3,C.png,13,150,S,,,,,,,,0,5,5,5,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
1,1,M.png,14,151,S,,,,,,,,0,6,6,6,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
1,2,K.png,14,152,S,,,,,,,,0,7,7,7,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
1,3,B.png,14,153,S,,,,,,,,0,8,8,8,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
4,1,E.png,13,154,S,,,,,,,,0,9,9,9,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
4,2,L.png,13,155,S,,,,,,,,0,10,10,10,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
4,3,H.png,13,156,S,,,,,,,,0,11,11,11,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
2,1,A.png,13,157,S,,,,,,,,0,12,12,12,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
2,2,J.png,13,158,S,,,,,,,,0,13,13,13,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
2,3,F.png,13,159,S,,,,,,,,0,14,14,14,,,,,,,,,,,,,3,0.367058848962,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
1,1,M.png,15,160,S,,,,,,,,0,15,15,15,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
1,2,K.png,15,161,S,,,,,,,,0,16,16,16,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
1,3,B.png,15,162,S,,,,,,,,0,17,17,17,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
4,1,E.png,14,163,S,,,,,,,,0,18,18,18,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
4,2,L.png,14,164,S,,,,,,,,0,19,19,19,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
4,3,H.png,14,165,S,,,,,,,,0,20,20,20,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
2,1,A.png,14,166,S,,,,,,,,0,21,21,21,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
2,2,J.png,14,167,S,,,,,,,,0,22,22,22,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
2,3,F.png,14,168,S,,,,,,,,0,23,23,23,,,,,,,,,,,,,3,0.358672009315,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,None,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,None,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,None,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,None,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,None,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,None,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,None,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,None,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,None,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,None,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,None,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,None,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
3,1,D.png,14,169,S,,,,,,,,0,0,0,0,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
3,2,G.png,14,170,S,,,,,,,,0,1,1,1,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
3,3,C.png,14,171,S,,,,,,,,0,2,2,2,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
2,1,A.png,15,172,S,,,,,,,,0,3,3,3,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
2,2,J.png,15,173,S,,,,,,,,0,4,4,4,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
2,3,F.png,15,174,S,,,,,,,,0,5,5,5,,,,,,,,,,,,,3,0.32522989501,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
1,1,M.png,16,175,S,,,,,,,,0,6,6,6,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
1,2,K.png,16,176,S,,,,,,,,0,7,7,7,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
1,3,B.png,16,177,S,,,,,,,,0,8,8,8,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
3,1,D.png,15,178,S,,,,,,,,0,9,9,9,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
3,2,G.png,15,179,S,,,,,,,,0,10,10,10,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
3,3,C.png,15,180,S,,,,,,,,0,11,11,11,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
4,1,E.png,15,181,S,,,,,,,,0,12,12,12,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
4,2,L.png,15,182,S,,,,,,,,0,13,13,13,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
4,3,H.png,15,183,S,,,,,,,,0,14,14,14,,,,,,,,,,,,,None,,,,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
