word,location,image,repetition,trialnum,condition,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,Run,vtarget,PartID,ltarget,frameRate,expName,date,
1,1,M.png,1,1,S,0,0,0,0,,,,,,,,,4,0.737401891616,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
1,2,K.png,1,2,S,0,1,1,1,,,,,,,,,4,0.398501604388,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
1,3,B.png,1,3,S,0,2,2,2,,,,,,,,,4,0.300357518019,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
2,1,A.png,1,4,S,0,3,3,3,,,,,,,,,4,0.216431379144,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
2,2,J.png,1,5,S,0,4,4,4,,,,,,,,,4,0.0400409371941,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
2,3,F.png,1,6,S,0,5,5,5,,,,,,,,,4,0.242022546765,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
3,1,D.png,1,7,S,0,6,6,6,,,,,,,,,4,0.798822798883,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
3,2,G.png,1,8,S,0,7,7,7,,,,,,,,,4,0.390155155852,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
3,3,C.png,1,9,S,0,8,8,8,,,,,,,,,4,0.806816252123,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
1,1,M.png,2,10,S,0,9,9,9,,,,,,,,,4,0.300322815834,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
1,2,K.png,2,11,S,0,10,10,10,,,,,,,,,4,0.808782899869,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
