soundFile,word,location,repetition,trialnum,condition,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
3A.wav,1,1,1,1,S,0,0,0,0,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
3B.wav,1,2,1,2,S,0,1,1,1,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
3C.wav,1,3,1,3,S,0,2,2,2,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
1A.wav,2,1,1,4,S,0,3,3,3,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
1B.wav,2,2,1,5,S,0,4,4,4,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
1C.wav,2,3,1,6,S,0,5,5,5,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
4A.wav,3,1,1,7,S,0,6,6,6,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
4B.wav,3,2,1,8,S,0,7,7,7,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
4C.wav,3,3,1,9,S,0,8,8,8,,,,,3,0.142143350095,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
3A.wav,1,1,2,10,S,0,9,9,9,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
3B.wav,1,2,2,11,S,0,10,10,10,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
3C.wav,1,3,2,12,S,0,11,11,11,,,,,3,0.150311452337,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
2A.wav,4,1,1,13,S,0,12,12,12,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
2B.wav,4,2,1,14,S,0,13,13,13,,,,,3,0.204795901198,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
2C.wav,4,3,1,15,S,0,14,14,14,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
1A.wav,2,1,2,16,S,0,15,15,15,,,,,3,0.36706084013,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
1B.wav,2,2,2,17,S,0,16,16,16,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
1C.wav,2,3,2,18,S,0,17,17,17,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
4A.wav,3,1,2,19,S,0,18,18,18,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
4B.wav,3,2,2,20,S,0,19,19,19,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
4C.wav,3,3,2,21,S,0,20,20,20,,,,,3,0.150337337051,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
3A.wav,1,1,3,22,S,0,21,21,21,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
3B.wav,1,2,3,23,S,0,22,22,22,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
3C.wav,1,3,3,24,S,0,23,23,23,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
silence.wav,0,0,0,0,B,0,24,24,24,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
silence.wav,0,0,0,0,B,0,25,25,25,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
silence.wav,0,0,0,0,B,0,26,26,26,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
silence.wav,0,0,0,0,B,0,27,27,27,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
silence.wav,0,0,0,0,B,0,28,28,28,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
silence.wav,0,0,0,0,B,0,29,29,29,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
silence.wav,0,0,0,0,B,0,30,30,30,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
silence.wav,0,0,0,0,B,0,31,31,31,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
silence.wav,0,0,0,0,B,0,32,32,32,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
silence.wav,0,0,0,0,B,0,33,33,33,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
silence.wav,0,0,0,0,B,0,34,34,34,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
silence.wav,0,0,0,0,B,0,35,35,35,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
2A.wav,4,1,2,25,S,0,36,36,36,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
2B.wav,4,2,2,26,S,0,37,37,37,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
2C.wav,4,3,2,27,S,0,38,38,38,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
1A.wav,2,1,3,28,S,0,39,39,39,,,,,3,0.175371278077,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
1B.wav,2,2,3,29,S,0,40,40,40,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
1C.wav,2,3,3,30,S,0,41,41,41,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
2A.wav,4,1,3,31,S,0,42,42,42,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
2B.wav,4,2,3,32,S,0,43,43,43,,,,,3,0.17541337572,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
2C.wav,4,3,3,33,S,0,44,44,44,,,,,None,,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
4A.wav,3,1,3,34,S,0,45,45,45,,,,,3,0.192028335296,,,pu,4,f002,119.979899317,2C,auditory,2018_Jan_12_1420,
