"","soundFile","trialnum","condition","random_block_key_resp.rt","random_block_key_resp.keys","structured_block_key_resp.rt","structured_block_key_resp.keys","starget","Run","PartID","ttarget","expName"
"1","1B.wav",NA,"",NA,"",NA,"","bi",1,2,"1C","auditory"
"2","1A.wav",NA,"",NA,"",NA,"","bi",1,2,"1C","auditory"
"3","4C.wav",NA,"",NA,"",NA,"","bi",1,2,"1C","auditory"
"4","1C.wav",NA,"",NA,"",NA,"","bi",1,2,"1C","auditory"
"5","3B.wav",NA,"",NA,"",NA,"","bi",1,2,"1C","auditory"
"6","2A.wav",NA,"",NA,"",NA,"","bi",1,2,"1C","auditory"
"7","1B.wav",NA,"",NA,"",NA,"","bi",1,2,"1C","auditory"
"8","1A.wav",NA,"",NA,"",NA,"","bi",1,2,"1C","auditory"
"9","4C.wav",NA,"",NA,"",NA,"","bi",1,2,"1C","auditory"
"10","1C.wav",NA,"",NA,"",NA,"","bi",1,2,"1C","auditory"
"11","3B.wav",NA,"",NA,"",NA,"","bi",1,2,"1C","auditory"
"12","2A.wav",NA,"",NA,"",NA,"","bi",1,2,"1C","auditory"
"13","pi.wav",1,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"14","tu.wav",2,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"15","bi.wav",3,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"16","di.wav",4,"S",NA,"",0.341930839,"3","bi",1,2,"1C","auditory"
"17","ba.wav",5,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"18","pu.wav",6,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"19","ta.wav",7,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"20","ti.wav",8,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"21","du.wav",9,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"22","pi.wav",10,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"23","tu.wav",11,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"24","bi.wav",12,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"25","bu.wav",13,"S",NA,"",0.166883792,"3","bi",1,2,"1C","auditory"
"26","pa.wav",14,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"27","da.wav",15,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"28","di.wav",16,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"29","ba.wav",17,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"30","pu.wav",18,"S",NA,"",0.317028062,"3","bi",1,2,"1C","auditory"
"31","ta.wav",19,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"32","ti.wav",20,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"33","du.wav",21,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"34","pi.wav",22,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"35","tu.wav",23,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"36","bi.wav",24,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"37","1A.wav",1,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"38","1B.wav",2,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"39","4A.wav",3,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"40","1C.wav",4,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"41","3C.wav",5,"R",0.083592936,"3",NA,"","bi",1,2,"1C","auditory"
"42","2C.wav",6,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"43","2A.wav",7,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"44","3B.wav",8,"R",0.38364425,"3",NA,"","bi",1,2,"1C","auditory"
"45","2B.wav",9,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"46","1C.wav",10,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"47","4C.wav",11,"R",0.383601298,"3",NA,"","bi",1,2,"1C","auditory"
"48","3B.wav",12,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"49","4B.wav",13,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"50","3A.wav",14,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"51","3C.wav",15,"R",0.14190194,"3",NA,"","bi",1,2,"1C","auditory"
"52","3B.wav",16,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"53","3A.wav",17,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"54","4A.wav",18,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"55","3A.wav",19,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"56","4C.wav",20,"R",0.224293384,"3",NA,"","bi",1,2,"1C","auditory"
"57","3C.wav",21,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"58","4B.wav",22,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"59","1A.wav",23,"R",0.391952855,"3",NA,"","bi",1,2,"1C","auditory"
"60","1B.wav",24,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"61","bu.wav",25,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"62","pa.wav",26,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"63","da.wav",27,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"64","di.wav",28,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"65","ba.wav",29,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"66","pu.wav",30,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"67","bu.wav",31,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"68","pa.wav",32,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"69","da.wav",33,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"70","ta.wav",34,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"71","ti.wav",35,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"72","du.wav",36,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"73","pi.wav",37,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"74","tu.wav",38,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"75","bi.wav",39,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"76","ta.wav",40,"S",NA,"",0.283593391,"3","bi",1,2,"1C","auditory"
"77","ti.wav",41,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"78","du.wav",42,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"79","pi.wav",43,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"80","tu.wav",44,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"81","bi.wav",45,"S",NA,"",NA,"None","bi",1,2,"1C","auditory"
"82","bu.wav",46,"S",NA,"",0.316945574,"3","bi",1,2,"1C","auditory"
