"","image","trialnum","condition","l_block_trial_key_resp.keys","l_block_trial_key_resp.rt","v_block_trial_key_resp.keys","v_block_trial_key_resp.rt","vtarget","Run","PartID","ltarget","expName"
"1","M.png",1,"S","None",NA,"",NA,3,1,12,"h","visual"
"2","K.png",2,"S","None",NA,"",NA,3,1,12,"h","visual"
"3","B.png",3,"S","None",NA,"",NA,3,1,12,"h","visual"
"4","A.png",4,"S","None",NA,"",NA,3,1,12,"h","visual"
"5","J.png",5,"S","None",NA,"",NA,3,1,12,"h","visual"
"6","F.png",6,"S","None",NA,"",NA,3,1,12,"h","visual"
"7","D.png",7,"S","None",NA,"",NA,3,1,12,"h","visual"
"8","G.png",8,"S","None",NA,"",NA,3,1,12,"h","visual"
"9","C.png",9,"S","None",NA,"",NA,3,1,12,"h","visual"
"10","M.png",10,"S","None",NA,"",NA,3,1,12,"h","visual"
"11","K.png",11,"S","None",NA,"",NA,3,1,12,"h","visual"
"12","B.png",12,"S","None",NA,"",NA,3,1,12,"h","visual"
"13","E.png",13,"S","None",NA,"",NA,3,1,12,"h","visual"
"14","L.png",14,"S","None",NA,"",NA,3,1,12,"h","visual"
"15","H.png",15,"S","3",0.40536984989,"",NA,3,1,12,"h","visual"
"16","A.png",16,"S","None",NA,"",NA,3,1,12,"h","visual"
"17","J.png",17,"S","None",NA,"",NA,3,1,12,"h","visual"
"18","F.png",18,"S","None",NA,"",NA,3,1,12,"h","visual"
"19","D.png",19,"S","None",NA,"",NA,3,1,12,"h","visual"
"20","G.png",20,"S","None",NA,"",NA,3,1,12,"h","visual"
"21","C.png",21,"S","None",NA,"",NA,3,1,12,"h","visual"
"22","M.png",22,"S","None",NA,"",NA,3,1,12,"h","visual"
"23","K.png",23,"S","None",NA,"",NA,3,1,12,"h","visual"
"24","B.png",24,"S","None",NA,"",NA,3,1,12,"h","visual"
"25","blank.png",0,"B","",NA,"",NA,3,1,12,"h","visual"
"26","blank.png",0,"B","",NA,"",NA,3,1,12,"h","visual"
"27","blank.png",0,"B","",NA,"",NA,3,1,12,"h","visual"
"28","blank.png",0,"B","",NA,"",NA,3,1,12,"h","visual"
"29","blank.png",0,"B","",NA,"",NA,3,1,12,"h","visual"
"30","blank.png",0,"B","",NA,"",NA,3,1,12,"h","visual"
"31","blank.png",0,"B","",NA,"",NA,3,1,12,"h","visual"
"32","blank.png",0,"B","",NA,"",NA,3,1,12,"h","visual"
"33","blank.png",0,"B","",NA,"",NA,3,1,12,"h","visual"
"34","blank.png",0,"B","",NA,"",NA,3,1,12,"h","visual"
"35","blank.png",0,"B","",NA,"",NA,3,1,12,"h","visual"
"36","blank.png",0,"B","",NA,"",NA,3,1,12,"h","visual"
"37","Alien9.bmp",1,"R","",NA,"None",NA,3,1,12,"h","visual"
"38","Alien6.bmp",2,"R","",NA,"None",NA,3,1,12,"h","visual"
"39","Alien5.bmp",3,"R","",NA,"None",NA,3,1,12,"h","visual"
"40","Alien12.bmp",4,"R","",NA,"None",NA,3,1,12,"h","visual"
"41","Alien2.bmp",5,"R","",NA,"None",NA,3,1,12,"h","visual"
"42","Alien3.bmp",6,"R","",NA,"3",0.416962938922,3,1,12,"h","visual"
"43","Alien5.bmp",7,"R","",NA,"None",NA,3,1,12,"h","visual"
"44","Alien11.bmp",8,"R","",NA,"None",NA,3,1,12,"h","visual"
"45","Alien8.bmp",9,"R","",NA,"None",NA,3,1,12,"h","visual"
"46","Alien4.bmp",10,"R","",NA,"None",NA,3,1,12,"h","visual"
"47","Alien12.bmp",11,"R","",NA,"None",NA,3,1,12,"h","visual"
"48","Alien10.bmp",12,"R","",NA,"None",NA,3,1,12,"h","visual"
"49","Alien6.bmp",13,"R","",NA,"3",0.742032506852,3,1,12,"h","visual"
"50","Alien5.bmp",14,"R","",NA,"None",NA,3,1,12,"h","visual"
"51","Alien1.bmp",15,"R","",NA,"None",NA,3,1,12,"h","visual"
"52","Alien1.bmp",16,"R","",NA,"None",NA,3,1,12,"h","visual"
"53","Alien11.bmp",17,"R","",NA,"None",NA,3,1,12,"h","visual"
"54","Alien10.bmp",18,"R","",NA,"None",NA,3,1,12,"h","visual"
"55","Alien3.bmp",19,"R","",NA,"3",0.483595112004,3,1,12,"h","visual"
"56","Alien2.bmp",20,"R","",NA,"None",NA,3,1,12,"h","visual"
"57","Alien6.bmp",21,"R","",NA,"None",NA,3,1,12,"h","visual"
"58","Alien4.bmp",22,"R","",NA,"None",NA,3,1,12,"h","visual"
"59","Alien7.bmp",23,"R","",NA,"None",NA,3,1,12,"h","visual"
"60","Alien4.bmp",24,"R","",NA,"None",NA,3,1,12,"h","visual"
"61","E.png",25,"S","None",NA,"",NA,3,1,12,"h","visual"
"62","L.png",26,"S","None",NA,"",NA,3,1,12,"h","visual"
"63","H.png",27,"S","3",0.480194866977,"",NA,3,1,12,"h","visual"
"64","A.png",28,"S","None",NA,"",NA,3,1,12,"h","visual"
"65","J.png",29,"S","None",NA,"",NA,3,1,12,"h","visual"
"66","F.png",30,"S","None",NA,"",NA,3,1,12,"h","visual"
"67","E.png",31,"S","None",NA,"",NA,3,1,12,"h","visual"
"68","L.png",32,"S","None",NA,"",NA,3,1,12,"h","visual"
"69","H.png",33,"S","3",0.473024884021,"",NA,3,1,12,"h","visual"
"70","D.png",34,"S","None",NA,"",NA,3,1,12,"h","visual"
"71","G.png",35,"S","None",NA,"",NA,3,1,12,"h","visual"
"72","C.png",36,"S","None",NA,"",NA,3,1,12,"h","visual"
"73","M.png",37,"S","None",NA,"",NA,3,1,12,"h","visual"
"74","K.png",38,"S","None",NA,"",NA,3,1,12,"h","visual"
"75","B.png",39,"S","None",NA,"",NA,3,1,12,"h","visual"
"76","D.png",40,"S","None",NA,"",NA,3,1,12,"h","visual"
"77","G.png",41,"S","None",NA,"",NA,3,1,12,"h","visual"
"78","C.png",42,"S","None",NA,"",NA,3,1,12,"h","visual"
"79","M.png",43,"S","None",NA,"",NA,3,1,12,"h","visual"
"80","K.png",44,"S","None",NA,"",NA,3,1,12,"h","visual"
"81","B.png",45,"S","None",NA,"",NA,3,1,12,"h","visual"
"82","E.png",46,"S","None",NA,"",NA,3,1,12,"h","visual"
"83","L.png",47,"S","None",NA,"",NA,3,1,12,"h","visual"
"84","H.png",48,"S","3",0.40642570646,"",NA,3,1,12,"h","visual"
"85","blank.png",0,"B","",NA,"",NA,3,1,12,"h","visual"
"86","blank.png",0,"B","",NA,"",NA,3,1,12,"h","visual"
"87","blank.png",0,"B","",NA,"",NA,3,1,12,"h","visual"
