soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
pi.wav,1,1,1,1,S,0,0,0,0,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
tu.wav,1,2,1,2,S,0,1,1,1,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
bi.wav,1,3,1,3,S,0,2,2,2,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
di.wav,2,1,1,4,S,0,3,3,3,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
ba.wav,2,2,1,5,S,0,4,4,4,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
pu.wav,2,3,1,6,S,0,5,5,5,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
ta.wav,3,1,1,7,S,0,6,6,6,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
ti.wav,3,2,1,8,S,0,7,7,7,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
du.wav,3,3,1,9,S,0,8,8,8,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
pi.wav,1,1,2,10,S,0,9,9,9,,,,,2,0.234900416457,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
tu.wav,1,2,2,11,S,0,10,10,10,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
bi.wav,1,3,2,12,S,0,11,11,11,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
bu.wav,4,1,1,13,S,0,12,12,12,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
pa.wav,4,2,1,14,S,0,13,13,13,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
da.wav,4,3,1,15,S,0,14,14,14,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
di.wav,2,1,2,16,S,0,15,15,15,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
ba.wav,2,2,2,17,S,0,16,16,16,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
pu.wav,2,3,2,18,S,0,17,17,17,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
ta.wav,3,1,2,19,S,0,18,18,18,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
ti.wav,3,2,2,20,S,0,19,19,19,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
du.wav,3,3,2,21,S,0,20,20,20,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
pi.wav,1,1,3,22,S,0,21,21,21,,,,,2,0.167181469849,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
tu.wav,1,2,3,23,S,0,22,22,22,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
bi.wav,1,3,3,24,S,0,23,23,23,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
1A.wav,0,1,1,1,R,,,,,0,0,0,0,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
1B.wav,0,2,1,2,R,,,,,0,1,1,1,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
4A.wav,0,3,1,3,R,,,,,0,2,2,2,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
1C.wav,0,1,1,4,R,,,,,0,3,3,3,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3C.wav,0,2,1,5,R,,,,,0,4,4,4,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
2C.wav,0,3,1,6,R,,,,,0,5,5,5,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
2A.wav,0,1,1,7,R,,,,,0,6,6,6,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3B.wav,0,2,1,8,R,,,,,0,7,7,7,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
2B.wav,0,3,1,9,R,,,,,0,8,8,8,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
1C.wav,0,1,1,10,R,,,,,0,9,9,9,,,2,0.0667728956323,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
4C.wav,0,2,1,11,R,,,,,0,10,10,10,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3B.wav,0,3,1,12,R,,,,,0,11,11,11,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
4B.wav,0,1,1,13,R,,,,,0,12,12,12,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3A.wav,0,2,1,14,R,,,,,0,13,13,13,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3C.wav,0,3,1,15,R,,,,,0,14,14,14,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3B.wav,0,1,1,16,R,,,,,0,15,15,15,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3A.wav,0,2,1,17,R,,,,,0,16,16,16,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
4A.wav,0,3,1,18,R,,,,,0,17,17,17,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3A.wav,0,1,1,19,R,,,,,0,18,18,18,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
