"","ans","subj","key","trial_order","corr"
"1","1","blast_a_005",1,1,1
"2","1","blast_a_005",1,2,1
"3","1","blast_a_005",1,3,1
"4","1","blast_a_005",1,4,1
"5","1","blast_a_005",1,5,1
"6","2","blast_a_005",1,6,0
"7","1","blast_a_005",1,7,1
"8","2","blast_a_005",1,8,0
"9","1","blast_a_005",1,9,1
"10","1","blast_a_005",1,10,1
"11","1","blast_a_005",1,11,1
"12","2","blast_a_005",1,12,0
"13","1","blast_a_005",1,13,1
"14","1","blast_a_005",1,14,1
"15","1","blast_a_005",1,15,1
"16","1","blast_a_005",1,16,1
"17","2","blast_a_005",2,17,1
"18","2","blast_a_005",2,18,1
"19","2","blast_a_005",2,19,1
"20","2","blast_a_005",2,20,1
"21","2","blast_a_005",2,21,1
"22","2","blast_a_005",2,22,1
"23","2","blast_a_005",2,23,1
"24","2","blast_a_005",2,24,1
"25","2","blast_a_005",2,25,1
"26","2","blast_a_005",2,26,1
"27","2","blast_a_005",2,27,1
"28","2","blast_a_005",2,28,1
"29","2","blast_a_005",2,29,1
"30","2","blast_a_005",2,30,1
"31","1","blast_a_005",2,31,0
"32","2","blast_a_005",2,32,1
"33","1","blast_a_006",1,1,1
"34","1","blast_a_006",1,2,1
"35","1","blast_a_006",1,3,1
"36","1","blast_a_006",1,4,1
"37","2","blast_a_006",1,5,0
"38","1","blast_a_006",1,6,1
"39","1","blast_a_006",1,7,1
"40","1","blast_a_006",1,8,1
"41","2","blast_a_006",1,9,0
"42","2","blast_a_006",1,10,0
"43","2","blast_a_006",1,11,0
"44","1","blast_a_006",1,12,1
"45","2","blast_a_006",1,13,0
"46","2","blast_a_006",1,14,0
"47","1","blast_a_006",1,15,1
"48","2","blast_a_006",1,16,0
"49","1","blast_a_006",2,17,0
"50","1","blast_a_006",2,18,0
"51","1","blast_a_006",2,19,0
"52","2","blast_a_006",2,20,1
"53","2","blast_a_006",2,21,1
"54","2","blast_a_006",2,22,1
"55","2","blast_a_006",2,23,1
"56","2","blast_a_006",2,24,1
"57","1","blast_a_006",2,25,0
"58","1","blast_a_006",2,26,0
"59","2","blast_a_006",2,27,1
"60","1","blast_a_006",2,28,0
"61","2","blast_a_006",2,29,1
"62","1","blast_a_006",2,30,0
"63","2","blast_a_006",2,31,1
"64","2","blast_a_006",2,32,1
"65","2","blast_a_007",1,1,0
"66","1","blast_a_007",1,2,1
"67","2","blast_a_007",1,3,0
"68","2","blast_a_007",1,4,0
"69","2","blast_a_007",1,5,0
"70","2","blast_a_007",1,6,0
"71","2","blast_a_007",1,7,0
"72","2","blast_a_007",1,8,0
"73","1","blast_a_007",1,9,1
"74","1","blast_a_007",1,10,1
"75","1","blast_a_007",1,11,1
"76","1","blast_a_007",1,12,1
"77","1","blast_a_007",1,13,1
"78","1","blast_a_007",1,14,1
"79","1","blast_a_007",1,15,1
"80","2","blast_a_007",1,16,0
"81","2","blast_a_007",2,17,1
"82","2","blast_a_007",2,18,1
"83","1","blast_a_007",2,19,0
"84","1","blast_a_007",2,20,0
"85","1","blast_a_007",2,21,0
"86","1","blast_a_007",2,22,0
"87","2","blast_a_007",2,23,1
"88","1","blast_a_007",2,24,0
"89","2","blast_a_007",2,25,1
"90","2","blast_a_007",2,26,1
