"","ans","subj","key","trial_order","corr"
"1","1","blast_a_035",1,1,1
"2","2","blast_a_035",2,2,1
"3","2","blast_a_035",2,3,1
"4","1","blast_a_035",1,4,1
"5","2","blast_a_035",2,5,1
"6","2","blast_a_035",2,6,1
"7","1","blast_a_035",1,7,1
"8","2","blast_a_035",2,8,1
"9","1","blast_a_035",1,9,1
"10","1","blast_a_035",1,10,1
"11","2","blast_a_035",2,11,1
"12","1","blast_a_035",1,12,1
"13","2","blast_a_035",2,13,1
"14","2","blast_a_035",2,14,1
"15","1","blast_a_035",1,15,1
"16","1","blast_a_035",1,16,1
"17","2","blast_a_035",2,17,1
"18","1","blast_a_035",1,18,1
"19","1","blast_a_035",1,19,1
"20","2","blast_a_035",2,20,1
"21","1","blast_a_035",1,21,1
"22","2","blast_a_035",2,22,1
"23","1","blast_a_035",1,23,1
"24","2","blast_a_035",2,24,1
"25","1","blast_a_035",1,25,1
"26","2","blast_a_035",2,26,1
"27","2","blast_a_035",2,27,1
"28","1","blast_a_035",1,28,1
"29","1","blast_a_035",1,29,1
"30","2","blast_a_035",2,30,1
"31","2","blast_a_035",2,31,1
"32","1","blast_a_035",1,32,1
"33","1","blast_a_037",1,1,1
"34","1","blast_a_037",2,2,0
"35","1","blast_a_037",2,3,0
"36","2","blast_a_037",1,4,0
"37","1","blast_a_037",2,5,0
"38","1","blast_a_037",2,6,0
"39","2","blast_a_037",1,7,0
"40","1","blast_a_037",2,8,0
"41","2","blast_a_037",1,9,0
"42","1","blast_a_037",1,10,1
"43","2","blast_a_037",2,11,1
"44","1","blast_a_037",1,12,1
"45","1","blast_a_037",2,13,0
"46","1","blast_a_037",2,14,0
"47","2","blast_a_037",1,15,0
"48","1","blast_a_037",1,16,1
"49","1","blast_a_037",2,17,0
"50","1","blast_a_037",1,18,1
"51","2","blast_a_037",1,19,0
"52","1","blast_a_037",2,20,0
"53","1","blast_a_037",1,21,1
"54","2","blast_a_037",2,22,1
"55","2","blast_a_037",1,23,0
"56","1","blast_a_037",2,24,0
"57","2","blast_a_037",1,25,0
"58","1","blast_a_037",2,26,0
"59","1","blast_a_037",2,27,0
"60","1","blast_a_037",1,28,1
"61","2","blast_a_037",1,29,0
"62","1","blast_a_037",2,30,0
"63","1","blast_a_037",2,31,0
"64","2","blast_a_037",1,32,0
"65","1","blast_a_038",1,1,1
"66","2","blast_a_038",2,2,1
"67","2","blast_a_038",2,3,1
"68","1","blast_a_038",1,4,1
"69","2","blast_a_038",2,5,1
"70","2","blast_a_038",2,6,1
"71","1","blast_a_038",1,7,1
"72","2","blast_a_038",2,8,1
"73","1","blast_a_038",1,9,1
"74","1","blast_a_038",1,10,1
"75","2","blast_a_038",2,11,1
"76","1","blast_a_038",1,12,1
"77","2","blast_a_038",2,13,1
"78","2","blast_a_038",2,14,1
"79","1","blast_a_038",1,15,1
"80","1","blast_a_038",1,16,1
"81","2","blast_a_038",2,17,1
"82","1","blast_a_038",1,18,1
"83","1","blast_a_038",1,19,1
"84","2","blast_a_038",2,20,1
"85","1","blast_a_038",1,21,1
"86","2","blast_a_038",2,22,1
"87","1","blast_a_038",1,23,1
"88","2","blast_a_038",2,24,1
"89","1","blast_a_038",1,25,1
"90","2","blast_a_038",2,26,1
"91","2","blast_a_038",2,27,1
"92","1","blast_a_038",1,28,1
"93","1","blast_a_038",1,29,1
"94","2","blast_a_038",2,30,1
"95","2","blast_a_038",2,31,1
"96","1","blast_a_038",1,32,1
"97","1","blast_a_039",1,1,1
"98","2","blast_a_039",2,2,1
"99","1","blast_a_039",2,3,0
"100","2","blast_a_039",1,4,0
"101","2","blast_a_039",2,5,1
"102","2","blast_a_039",2,6,1
"103","1","blast_a_039",1,7,1
"104","2","blast_a_039",2,8,1
"105","1","blast_a_039",1,9,1
"106","1","blast_a_039",1,10,1
"107","1","blast_a_039",2,11,0
"108","1","blast_a_039",1,12,1
"109","2","blast_a_039",2,13,1
"110","1","blast_a_039",2,14,0
"111","2","blast_a_039",1,15,0
"112","1","blast_a_039",1,16,1
"113","2","blast_a_039",2,17,1
"114","1","blast_a_039",1,18,1
"115","1","blast_a_039",1,19,1
"116","1","blast_a_039",2,20,0
"117","1","blast_a_039",1,21,1
"118","2","blast_a_039",2,22,1
"119","1","blast_a_039",1,23,1
"120","2","blast_a_039",2,24,1
"121","1","blast_a_039",1,25,1
"122","2","blast_a_039",2,26,1
"123","2","blast_a_039",2,27,1
"124","1","blast_a_039",1,28,1
"125","1","blast_a_039",1,29,1
"126","2","blast_a_039",2,30,1
"127","2","blast_a_039",2,31,1
"128","1","blast_a_039",1,32,1
