"","part_id","mean_entropy"
"1","blast_a_001",0.964
"2","blast_a_002",0.342
"3","blast_a_003",0.73
"4","blast_a_004",0.983
"5","blast_a_005",0.543
"6","blast_a_006",0.784
"7","blast_a_007",0.713
"8","blast_a_008",0.812
"9","blast_a_009",0.917
"10","blast_a_010",0.887
"11","blast_a_011",0.905
"12","blast_a_013",0.895
"13","blast_a_014",0.744
"14","blast_a_015",0.837
"15","blast_a_016",0.941
"16","blast_a_017",0.77
"17","blast_a_018",0.801
"18","blast_a_019",0.781
"19","blast_a_021",0.747
"20","blast_a_022",0.352
"21","blast_a_023",0.802
"22","blast_a_024",0.437
"23","blast_a_025",0.884
"24","blast_a_026",0.916
"25","blast_a_028",0.802
"26","blast_a_030",0.936
"27","blast_a_032",0.697
"28","blast_a_035",0.408
"29","blast_a_037",0.78
"30","blast_a_038",0.475
"31","blast_a_039",0.93
"32","blast_a_040",0.894
"33","blast_a_041",0.816
"34","blast_a_042",0.954
"35","blast_a_043",0.78
"36","blast_a_044",0.816
"37","blast_a_045",0.816
"38","blast_a_046",0.827
"39","blast_a_047",0.522
"40","blast_a_048",0.727
"41","blast_a_049",0.954
"42","blast_a_050",0.863
"43","blast_a_051",0.677
"44","blast_a_052",0.941
