"","ans","subj","key","trial_order","corr"
"1","1","blast_a_001",1,1,1
"2","2","blast_a_001",1,2,0
"3","2","blast_a_001",2,3,1
"4","2","blast_a_001",1,4,0
"5","1","blast_a_001",1,5,1
"6","1","blast_a_001",1,6,1
"7","2","blast_a_001",2,7,1
"8","1","blast_a_001",2,8,0
"9","1","blast_a_001",2,9,0
"10","1","blast_a_001",2,10,0
"11","2","blast_a_001",1,11,0
"12","2","blast_a_001",1,12,0
"13","2","blast_a_001",1,13,0
"14","2","blast_a_001",2,14,1
"15","2","blast_a_001",2,15,1
"16","2","blast_a_001",1,16,0
"17","1","blast_a_001",2,17,0
"18","1","blast_a_001",2,18,0
"19","1","blast_a_001",1,19,1
"20","1","blast_a_001",1,20,1
"21","2","blast_a_001",2,21,1
"22","2","blast_a_001",1,22,0
"23","2","blast_a_001",2,23,1
"24","1","blast_a_001",1,24,1
"25","2","blast_a_001",2,25,1
"26","2","blast_a_001",1,26,0
"27","1","blast_a_001",2,27,0
"28","1","blast_a_001",1,28,1
"29","1","blast_a_001",1,29,1
"30","2","blast_a_001",2,30,1
"31","2","blast_a_001",2,31,1
"32","2","blast_a_001",2,32,1
"33","1","blast_a_002",1,1,1
"34","2","blast_a_002",1,2,0
"35","2","blast_a_002",2,3,1
"36","1","blast_a_002",1,4,1
"37","1","blast_a_002",1,5,1
"38","1","blast_a_002",1,6,1
"39","2","blast_a_002",2,7,1
"40","2","blast_a_002",2,8,1
"41","2","blast_a_002",2,9,1
"42","2","blast_a_002",2,10,1
"43","1","blast_a_002",1,11,1
"44","2","blast_a_002",1,12,0
"45","1","blast_a_002",1,13,1
"46","1","blast_a_002",2,14,0
"47","2","blast_a_002",2,15,1
"48","1","blast_a_002",1,16,1
"49","2","blast_a_002",2,17,1
"50","2","blast_a_002",2,18,1
"51","1","blast_a_002",1,19,1
"52","1","blast_a_002",1,20,1
"53","2","blast_a_002",2,21,1
"54","1","blast_a_002",1,22,1
"55","2","blast_a_002",2,23,1
"56","2","blast_a_002",1,24,0
"57","1","blast_a_002",2,25,0
"58","1","blast_a_002",1,26,1
"59","1","blast_a_002",2,27,0
"60","1","blast_a_002",1,28,1
"61","2","blast_a_002",1,29,0
"62","2","blast_a_002",2,30,1
"63","1","blast_a_002",2,31,0
"64","2","blast_a_002",2,32,1
"65","1","blast_a_003",1,1,1
"66","2","blast_a_003",1,2,0
"67","2","blast_a_003",2,3,1
"68","1","blast_a_003",1,4,1
"69","1","blast_a_003",1,5,1
"70","2","blast_a_003",1,6,0
"71","1","blast_a_003",2,7,0
"72","1","blast_a_003",2,8,0
"73","2","blast_a_003",2,9,1
"74","2","blast_a_003",2,10,1
"75","2","blast_a_003",1,11,0
"76","2","blast_a_003",1,12,0
"77","2","blast_a_003",1,13,0
"78","1","blast_a_003",2,14,0
"79","2","blast_a_003",2,15,1
"80","1","blast_a_003",1,16,1
"81","1","blast_a_003",2,17,0
"82","2","blast_a_003",2,18,1
"83","1","blast_a_003",1,19,1
"84","2","blast_a_003",1,20,0
"85","2","blast_a_003",2,21,1
"86","2","blast_a_003",1,22,0
"87","2","blast_a_003",2,23,1
"88","2","blast_a_003",1,24,0
"89","2","blast_a_003",2,25,1
"90","1","blast_a_003",1,26,1
"91","1","blast_a_003",2,27,0
"92","2","blast_a_003",1,28,0
"93","2","blast_a_003",1,29,0
"94","2","blast_a_003",2,30,1
"95","1","blast_a_003",2,31,0
"96","1","blast_a_003",2,32,0
"97","1","blast_a_004",1,1,1
"98","1","blast_a_004",1,2,1
"99","2","blast_a_004",2,3,1
"100","1","blast_a_004",1,4,1
"101","1","blast_a_004",1,5,1
"102","1","blast_a_004",1,6,1
"103","1","blast_a_004",2,7,0
"104","1","blast_a_004",2,8,0
"105","2","blast_a_004",2,9,1
"106","1","blast_a_004",2,10,0
"107","1","blast_a_004",1,11,1
"108","2","blast_a_004",1,12,0
"109","2","blast_a_004",1,13,0
"110","1","blast_a_004",2,14,0
"111","2","blast_a_004",2,15,1
"112","2","blast_a_004",1,16,0
"113","1","blast_a_004",2,17,0
"114","1","blast_a_004",2,18,0
"115","1","blast_a_004",1,19,1
"116","1","blast_a_004",1,20,1
"117","2","blast_a_004",2,21,1
"118","2","blast_a_004",1,22,0
"119","2","blast_a_004",2,23,1
"120","1","blast_a_004",1,24,1
"121","2","blast_a_004",2,25,1
"122","2","blast_a_004",1,26,0
"123","1","blast_a_004",2,27,0
"124","1","blast_a_004",1,28,1
"125","1","blast_a_004",1,29,1
"126","2","blast_a_004",2,30,1
"127","1","blast_a_004",2,31,0
"128","2","blast_a_004",2,32,1
"129","1","blast_a_005",1,1,1
"130","1","blast_a_005",1,2,1
"131","1","blast_a_005",2,3,0
"132","1","blast_a_005",1,4,1
"133","1","blast_a_005",1,5,1
"134","1","blast_a_005",1,6,1
"135","2","blast_a_005",2,7,1
"136","2","blast_a_005",2,8,1
