"","ans","subj","key","trial_order","corr"
"1","1","blast_a_003",1,1,1
"2","2","blast_a_003",1,2,0
"3","2","blast_a_003",2,3,1
"4","2","blast_a_003",1,4,0
"5","1","blast_a_003",1,5,1
"6","2","blast_a_003",1,6,0
"7","2","blast_a_003",2,7,1
"8","2","blast_a_003",2,8,1
"9","1","blast_a_003",2,9,0
"10","1","blast_a_003",2,10,0
"11","1","blast_a_003",1,11,1
"12","1","blast_a_003",1,12,1
"13","1","blast_a_003",1,13,1
"14","1","blast_a_003",2,14,0
"15","2","blast_a_003",2,15,1
"16","1","blast_a_003",1,16,1
"17","2","blast_a_003",2,17,1
"18","1","blast_a_003",2,18,0
"19","2","blast_a_003",1,19,0
"20","1","blast_a_003",1,20,1
"21","2","blast_a_003",2,21,1
"22","1","blast_a_003",1,22,1
"23","1","blast_a_003",2,23,0
"24","1","blast_a_003",1,24,1
"25","2","blast_a_003",2,25,1
"26","1","blast_a_003",1,26,1
"27","1","blast_a_003",2,27,0
"28","1","blast_a_003",1,28,1
"29","2","blast_a_003",1,29,0
"30","1","blast_a_003",2,30,0
"31","1","blast_a_003",2,31,0
"32","2","blast_a_003",2,32,1
"33","1","blast_a_004",1,1,1
"34","2","blast_a_004",1,2,0
"35","1","blast_a_004",2,3,0
"36","1","blast_a_004",1,4,1
"37","1","blast_a_004",1,5,1
"38","1","blast_a_004",1,6,1
"39","2","blast_a_004",2,7,1
"40","2","blast_a_004",2,8,1
"41","2","blast_a_004",2,9,1
"42","2","blast_a_004",2,10,1
"43","1","blast_a_004",1,11,1
"44","1","blast_a_004",1,12,1
"45","1","blast_a_004",1,13,1
"46","2","blast_a_004",2,14,1
"47","2","blast_a_004",2,15,1
"48","1","blast_a_004",1,16,1
"49","2","blast_a_004",2,17,1
"50","2","blast_a_004",2,18,1
"51","1","blast_a_004",1,19,1
"52","2","blast_a_004",1,20,0
"53","2","blast_a_004",2,21,1
"54","1","blast_a_004",1,22,1
"55","2","blast_a_004",2,23,1
"56","1","blast_a_004",1,24,1
"57","2","blast_a_004",2,25,1
"58","1","blast_a_004",1,26,1
"59","2","blast_a_004",2,27,1
"60","1","blast_a_004",1,28,1
"61","1","blast_a_004",1,29,1
