"","par_id","mean_rt","scaled_rt_slope","d_prime","this_targets","hits","hit_rate","misses","miss_rate","corr_rej","corr_rej_rate","false_alarms","false_alarm_rate","distractors","total_disc","resp_acc","total_stimuli"
"1","blast_a_001_lsl","608.875","0.012","Inf","24","24","1","0","0","504","1","0","0","504","528","0.957","576"
"2","blast_a_002_lsl","487.333","-0.021","Inf","24","24","1","0","0","500","0.992","4","0.008","504","528","0.949","576"
"3","blast_a_003_lsl","616.333","0.022","Inf","24","24","1","0","0","503","0.998","1","0.002","504","528","0.955","576"
"4","blast_a_004_lsl","551.13","-0.057","4.6123387552333","24","23","0.958","1","0.042","503","0.998","1","0.002","504","528","0.953","576"
"5","blast_a_005_lsl","439.435","0.006","4.6123387552333","24","23","0.958","1","0.042","503","0.998","1","0.002","504","528","0.953","576"
"6","blast_a_006_lsl","537.417","0.026","Inf","24","24","1","0","0","504","1","0","0","504","528","0.957","576"
"7","blast_a_007_lsl","512.625","-0.004","Inf","24","24","1","0","0","501","0.994","3","0.006","504","528","0.951","576"
"8","blast_a_008_lsl","230.542","-0.124","Inf","24","24","1","0","0","501","0.994","3","0.006","504","528","0.951","576"
"9","blast_a_009_lsl","753.526","-0.024","3.69289216061097","24","19","0.792","5","0.208","503","0.998","1","0.002","504","528","0.946","576"
"10","blast_a_010_lsl","600.292","-0.004","Inf","24","24","1","0","0","502","0.996","2","0.004","504","528","0.953","576"
"11","blast_a_011_lsl","493","-0.085","4.03775316044096","24","22","0.917","2","0.083","502","0.996","2","0.004","504","528","0.949","576"
"12","blast_a_013_lsl","423.5","-0.078","Inf","24","24","1","0","0","503","0.998","1","0.002","504","528","0.955","576"
"13","blast_a_014_lsl","513","0.059","Inf","24","23","0.958","1","0.042","504","1","0","0","504","528","0.955","576"
"14","blast_a_015_lsl","577.708","0.02","Inf","24","24","1","0","0","503","0.998","1","0.002","504","528","0.955","576"
"15","blast_a_016_lsl","635.857","0.002","4.03102373948706","24","21","0.875","3","0.125","503","0.998","1","0.002","504","528","0.949","576"
"16","blast_a_017_lsl","509.208","-0.075","Inf","24","24","1","0","0","504","1","0","0","504","528","0.957","576"
"17","blast_a_018_lsl","576.458","-0.066","Inf","24","24","1","0","0","504","1","0","0","504","528","0.957","576"
"18","blast_a_019_lsl","371.625","-0.093","Inf","24","24","1","0","0","504","1","0","0","504","528","0.957","576"
"19","blast_a_020_lsl","665.708","0.019","Inf","24","24","1","0","0","504","1","0","0","504","528","0.957","576"
"20","blast_a_021_lsl","613.478","0.036","4.38642342946257","24","23","0.958","1","0.042","502","0.996","2","0.004","504","528","0.951","576"
"21","blast_a_022_lsl","496","0.043","Inf","24","24","1","0","0","504","1","0","0","504","528","0.957","576"
"22","blast_a_023_lsl","927.762","0.052","3.66530425817853","24","21","0.875","3","0.125","501","0.994","3","0.006","504","528","0.946","576"
"23","blast_a_024_lsl","594.958","0.046","Inf","24","24","1","0","0","503","0.998","1","0.002","504","528","0.955","576"
"24","blast_a_026_lsl","249.818","-0.077","3.89794900490317","24","22","0.917","2","0.083","501","0.994","3","0.006","504","528","0.947","576"
"25","blast_a_027_lsl","330.739","-0.048","3.99185338745162","24","23","0.958","1","0.042","498","0.988","6","0.012","504","528","0.944","576"
"26","blast_a_028_lsl","560.375","0.007","Inf","24","24","1","0","0","502","0.996","2","0.004","504","528","0.953","576"
"27","blast_a_030_lsl","518.042","0.002","Inf","24","24","1","0","0","504","1","0","0","504","528","0.957","576"
"28","blast_a_032_lsl","465.632","-0.04","3.46697683484024","24","19","0.792","5","0.208","502","0.996","2","0.004","504","528","0.944","576"
"29","blast_a_035_lsl","298.5","-0.054","Inf","24","24","1","0","0","503","0.998","1","0.002","504","528","0.955","576"
"30","blast_a_037_lsl","484.391","-0.003","4.6123387552333","24","23","0.958","1","0.042","503","0.998","1","0.002","504","528","0.953","576"
"31","blast_a_038_lsl","571","-0.056","Inf","24","24","1","0","0","504","1","0","0","504","528","0.957","576"
"32","blast_a_039_lsl","515.652","-0.074","4.38642342946257","24","23","0.958","1","0.042","502","0.996","2","0.004","504","528","0.951","576"
"33","blast_a_040_lsl","539.87","0.032","Inf","24","23","0.958","1","0.042","504","1","0","0","504","528","0.955","576"
"34","blast_a_041_lsl","554.958","-0.025","Inf","24","24","1","0","0","504","1","0","0","504","528","0.957","576"
"35","blast_a_042_lsl","541.13","-0.029","Inf","24","23","0.958","1","0.042","504","1","0","0","504","528","0.955","576"
"36","blast_a_044_lsl","409.909","0.015","4.03775316044096","24","22","0.917","2","0.083","502","0.996","2","0.004","504","528","0.949","576"
"37","blast_a_045_lsl","414.917","0.025","Inf","24","24","1","0","0","504","1","0","0","504","528","0.957","576"
"38","blast_a_046_lsl","523.833","0.02","Inf","24","24","1","0","0","504","1","0","0","504","528","0.957","576"
"39","blast_a_047_lsl","289.391","-0.044","4.6123387552333","24","23","0.958","1","0.042","503","0.998","1","0.002","504","528","0.953","576"
"40","blast_a_048_lsl","142.625","-0.035","Inf","24","24","1","0","0","504","1","0","0","504","528","0.957","576"
"41","blast_a_049_lsl","632.609","0.048","4.6123387552333","24","23","0.958","1","0.042","503","0.998","1","0.002","504","528","0.953","576"
"42","blast_a_050_lsl","292.833","-0.051","Inf","24","24","1","0","0","504","1","0","0","504","528","0.957","576"
"43","blast_a_051_lsl","519.667","-0.002","Inf","24","24","1","0","0","504","1","0","0","504","528","0.957","576"
