"","acc_id","subj_corr"
"1","blast_a_001",0.469
"2","blast_a_002",0.906
"3","blast_a_003",0.906
"4","blast_a_004",1
"5","blast_a_005",0.875
"6","blast_a_006",0.562
"7","blast_a_007",0.562
"8","blast_a_008",0.844
"9","blast_a_009",0.625
"10","blast_a_010",0.375
"11","blast_a_011",0.969
"12","blast_a_013",1
"13","blast_a_014",0.625
"14","blast_a_015",1
"15","blast_a_016",0.5
"16","blast_a_017",0.656
"17","blast_a_018",0.969
"18","blast_a_019",0.938
"19","blast_a_020",1
"20","blast_a_021",0.969
"21","blast_a_022",0.531
"22","blast_a_023",0.469
"23","blast_a_024",0.5
