"","part_id","mean_entropy"
"1","blast_a_001",0.941
"2","blast_a_002",0.339
"3","blast_a_003",0.339
"4","blast_a_004",0
"5","blast_a_005",0.475
"6","blast_a_006",0.827
"7","blast_a_007",0.577
"8","blast_a_008",0.61
"9","blast_a_009",0.93
"10","blast_a_010",0.78
"11","blast_a_011",0.136
"12","blast_a_013",0
"13","blast_a_014",0.827
"14","blast_a_015",0
"15","blast_a_016",0.93
"16","blast_a_017",0.339
"17","blast_a_018",0.136
"18","blast_a_019",0.272
"19","blast_a_020",0
"20","blast_a_021",0.136
"21","blast_a_022",0.863
"22","blast_a_023",0.894
"23","blast_a_024",0.954
