"","acc_id","subj_corr"
"1","blast_a_001",0.531
"2","blast_a_002",0.594
"3","blast_a_003",0.438
"4","blast_a_004",0.5
"5","blast_a_005",0.844
"6","blast_a_006",0.625
"7","blast_a_007",0.594
"8","blast_a_008",0.625
"9","blast_a_009",0.625
"10","blast_a_010",0.594
"11","blast_a_011",0.531
"12","blast_a_013",0.594
"13","blast_a_014",0.656
"14","blast_a_015",0.594
"15","blast_a_016",0.594
"16","blast_a_017",0.531
"17","blast_a_018",0.438
"18","blast_a_019",0.406
"19","blast_a_021",0.688
"20","blast_a_022",0.812
"21","blast_a_023",0.531
"22","blast_a_024",0.812
"23","blast_a_025",0.531
"24","blast_a_026",0.625
"25","blast_a_028",0.594
"26","blast_a_030",0.625
"27","blast_a_032",0.688
"28","blast_a_035",0.906
"29","blast_a_037",0.5
"30","blast_a_038",0.875
"31","blast_a_039",0.625
"32","blast_a_040",0.531
"33","blast_a_041",0.656
"34","blast_a_042",0.5
"35","blast_a_043",0.625
"36","blast_a_044",0.656
"37","blast_a_045",0.531
"38","blast_a_046",0.625
"39","blast_a_047",0.812
"40","blast_a_048",0.688
"41","blast_a_049",0.5
"42","blast_a_050",0.406
"43","blast_a_051",0.375
"44","blast_a_052",0.469
