"","par_id","mean_rt","scaled_rt_slope","d_prime","this_targets","hits","hit_rate","misses","miss_rate","corr_rej","corr_rej_rate","false_alarms","false_alarm_rate","distractors","total_disc","resp_acc","total_stimuli"
"1","blast_a_001","603.228","0.027","2.48047888350958","48","33","0.688","15","0.312","421","0.977","10","0.023","431","479","0.948","575"
"2","blast_a_002","428.235","-0.017","3.41510632984967","48","39","0.83","8","0.17","431","0.993","3","0.007","434","481","0.975","575"
"3","blast_a_003","491.659","0.006","2.62710957441953","48","44","0.917","4","0.083","385","0.893","46","0.107","431","479","0.896","575"
"4","blast_a_004","508.226","0.007","2.88624937211225","48","45","0.938","3","0.062","393","0.912","38","0.088","431","479","0.914","575"
"5","blast_a_005","490.703","0.006","3.01168844206558","48","37","0.771","11","0.229","426","0.988","5","0.012","431","479","0.967","575"
"6","blast_a_006","558.061","0.041","3.79614261967772","48","44","0.936","3","0.064","429","0.988","5","0.012","434","481","0.981","575"
"7","blast_a_007","525.083","0.016","3.8596971889814","48","43","0.896","5","0.104","429","0.995","2","0.005","431","479","0.985","575"
"8","blast_a_008","593.333","0.004","2.23538408419248","48","30","0.638","17","0.362","421","0.97","13","0.03","434","481","0.936","575"
"9","blast_a_009","671.942","0.016","1.51950163297745","48","23","0.479","25","0.521","406","0.942","25","0.058","431","479","0.896","575"
"10","blast_a_010","550.841","0.035","4.19095691845288","48","46","0.958","2","0.042","428","0.993","3","0.007","431","479","0.99","575"
"11","blast_a_011","528.846","-0.006","3.08664883643676","48","39","0.812","9","0.188","425","0.986","6","0.014","431","479","0.969","575"
"12","blast_a_013","540.245","-0.018","3.1500579106164","48","34","0.708","14","0.292","429","0.995","2","0.005","431","479","0.967","575"
"13","blast_a_014","336.267","-0.052","-0.0103488940682035","48","5","0.106","42","0.894","387","0.892","47","0.108","434","481","0.813","575"
"14","blast_a_015","575.098","0.018","4.56265756361749","48","46","0.958","2","0.042","430","0.998","1","0.002","431","479","0.994","575"
"15","blast_a_016","464.869","-0.009","1.79325235136668","48","23","0.479","25","0.521","417","0.968","14","0.032","431","479","0.919","575"
"16","blast_a_017","726.553","-0.011","3.52825595926716","48","43","0.896","5","0.104","426","0.988","5","0.012","431","479","0.979","575"
"17","blast_a_018","521.666","0.022","4.63836975961969","48","47","0.979","1","0.021","429","0.995","2","0.005","431","479","0.994","575"
"18","blast_a_019","570.921","-0.002","3.23475849085337","48","42","0.875","6","0.125","423","0.981","8","0.019","431","479","0.971","575"
"19","blast_a_021","505.212","-0.008","3.73721686844698","48","44","0.917","4","0.083","427","0.991","4","0.009","431","479","0.983","575"
"20","blast_a_022","475.049","0.011","3.18122132761928","48","46","0.979","1","0.021","380","0.876","54","0.124","434","481","0.884","575"
"21","blast_a_023","529.336","0.028","4.33320002404055","48","46","0.958","2","0.042","429","0.995","2","0.005","431","479","0.992","575"
"22","blast_a_024","596.59","0.017","3.8596971889814","48","43","0.896","5","0.104","429","0.995","2","0.005","431","479","0.985","575"
"23","blast_a_025","NaN","too few hits","-Inf","48","0","0","48","1","430","0.998","1","0.002","431","479","0.898","575"
"24","blast_a_026","368.871","-0.041","3.79841473359695","48","40","0.833","8","0.167","430","0.998","1","0.002","431","479","0.981","575"
"25","blast_a_028","541.717","0.016","4.36659416992007","48","45","0.938","3","0.062","432","0.998","1","0.002","433","481","0.992","576"
"26","blast_a_030","475.394","-0.003","2.49246442463309","48","43","0.896","5","0.104","386","0.891","47","0.109","433","481","0.892","576"
"27","blast_a_032","644.41","-0.027","1.95116671454327","48","26","0.542","22","0.458","418","0.968","14","0.032","432","480","0.925","576"
"28","blast_a_035","410.45","-0.012","4.08989589528117","48","43","0.896","5","0.104","431","0.998","1","0.002","432","480","0.988","576"
"29","blast_a_037","204.868","-0.023","4.09063518663062","48","43","0.896","5","0.104","432","0.998","1","0.002","433","481","0.988","576"
"30","blast_a_038","682.609","-0.033","Inf","48","46","0.958","2","0.042","432","1","0","0","432","480","0.996","576"
"31","blast_a_039","716.305","0.005","1.41206015106335","48","17","0.354","31","0.646","416","0.963","16","0.037","432","480","0.902","576"
"32","blast_a_040","624","0.02","2.76432123296903","48","38","0.792","10","0.208","421","0.975","11","0.025","432","480","0.956","576"
"33","blast_a_041","508.561","0.008","3.27317180606766","48","38","0.792","10","0.208","430","0.993","3","0.007","433","481","0.973","576"
"34","blast_a_042","542.22","0.029","3.28969846233092","48","42","0.875","6","0.125","425","0.984","7","0.016","432","480","0.973","576"
"35","blast_a_043","695.323","0.034","4.56339873034032","48","46","0.958","2","0.042","431","0.998","1","0.002","432","480","0.994","576"
"36","blast_a_044","570.045","0.034","3.09667805335489","48","37","0.771","11","0.229","428","0.991","4","0.009","432","480","0.969","576"
"37","blast_a_045","565.191","-0.011","4.23724471291142","48","47","0.979","1","0.021","426","0.986","6","0.014","432","480","0.985","576"
"38","blast_a_046","522.045","0.007","Inf","48","41","0.854","7","0.146","432","1","0","0","432","480","0.985","576"
"39","blast_a_047","605.757","-0.05","2.62102857383382","48","37","0.771","11","0.229","419","0.97","13","0.03","432","480","0.95","576"
"40","blast_a_048","555.529","-0.042","2.68787136465301","48","34","0.708","14","0.292","425","0.984","7","0.016","432","480","0.956","576"
"41","blast_a_049","775.758","0.032","3.84311846466064","48","44","0.917","4","0.083","429","0.993","3","0.007","432","480","0.985","576"
"42","blast_a_050","638.607","0.027","3.67346962630746","48","45","0.938","3","0.062","425","0.984","7","0.016","432","480","0.979","576"
"43","blast_a_051","550.606","0.008","3.37665272875953","48","44","0.917","4","0.083","423","0.977","10","0.023","433","481","0.971","576"
"44","blast_a_052","568.22","0.034","3.19474727370029","48","41","0.854","7","0.146","426","0.984","7","0.016","433","481","0.971","576"
