"","acc_id","subj_corr"
"1","blast_a_001",0.562
"2","blast_a_002",0.75
"3","blast_a_003",0.469
"4","blast_a_004",0.594
"5","blast_a_005",0.719
"6","blast_a_006",0.812
"7","blast_a_007",0.5
"8","blast_a_008",0.688
"9","blast_a_009",0.656
"10","blast_a_010",0.594
"11","blast_a_011",0.688
"12","blast_a_012",0.438
"13","blast_a_013",0.656
"14","blast_a_014",0.562
"15","blast_a_015",0.656
"16","blast_a_016",0.344
"17","blast_a_017",0.75
"18","blast_a_018",0.875
"19","blast_a_019",0.562
"20","blast_a_020",0.719
"21","blast_a_021",0.719
"22","blast_a_022",0.688
"23","blast_a_023",0.562
"24","blast_a_024",0.688
"25","blast_a_026",0.719
"26","blast_a_027",0.562
"27","blast_a_028",0.781
"28","blast_a_030",0.688
"29","blast_a_032",0.844
"30","blast_a_035",0.656
"31","blast_a_037",0.656
"32","blast_a_038",0.781
"33","blast_a_039",0.719
"34","blast_a_040",0.688
"35","blast_a_042",0.906
"36","blast_a_043",0.938
"37","blast_a_044",0.625
"38","blast_a_045",0.656
"39","blast_a_046",0.688
"40","blast_a_047",0.5
"41","blast_a_048",0.656
"42","blast_a_049",0.406
"43","blast_a_050",0.625
"44","blast_a_051",0.75
"45","blast_a_052",0.844
