"","part_id","mean_entropy"
"1","blast_a_001",0.934
"2","blast_a_002",0.78
"3","blast_a_003",0.498
"4","blast_a_004",0.884
"5","blast_a_005",0.77
"6","blast_a_006",0.468
"7","blast_a_007",0.953
"8","blast_a_008",0.668
"9","blast_a_009",0.849
"10","blast_a_010",0.929
"11","blast_a_011",0.815
"12","blast_a_012",0.898
"13","blast_a_013",0.783
"14","blast_a_014",0.923
"15","blast_a_015",0.745
"16","blast_a_016",0.917
"17","blast_a_017",0.657
"18","blast_a_018",0.374
"19","blast_a_019",0.648
"20","blast_a_020",0.485
"21","blast_a_021",0.689
"22","blast_a_022",0.833
"23","blast_a_023",0.952
"24","blast_a_024",0.612
"25","blast_a_026",0.814
"26","blast_a_027",0.952
"27","blast_a_028",0.579
"28","blast_a_030",0.697
"29","blast_a_032",0.441
"30","blast_a_035",0.816
"31","blast_a_037",0.894
"32","blast_a_038",0.589
"33","blast_a_039",0.847
"34","blast_a_040",0.883
"35","blast_a_042",0.339
"36","blast_a_043",0.272
"37","blast_a_044",0.852
"38","blast_a_045",0.76
"39","blast_a_046",0.608
"40","blast_a_047",0.93
"41","blast_a_048",0.816
"42","blast_a_049",0.816
"43","blast_a_050",0.852
"44","blast_a_051",0.78
"45","blast_a_052",0.51
