"","par_id","mean_rt","scaled_rt_slope","d_prime","hits","hit_rate","misses","miss_rate","corr_rej","corr_rej_rate","false_alarms","false_alarm_rate","distractors","total_disc","resp_acc"
"1","blast_a_001","519.236","0.03","1.92015079056674","26","0.542","22","0.458","417","0.965","15","0.035","432","480","0.923"
"2","blast_a_002","268.741","0.008","1.86669025326997","38","0.792","10","0.208","369","0.854","63","0.146","432","480","0.848"
"3","blast_a_003","129.75","0.023","1.14143170448587","28","0.583","20","0.417","356","0.824","76","0.176","432","480","0.8"
"4","blast_a_004","639.32","-0.023","-0.618284453314252","4","0.083","44","0.917","336","0.778","96","0.222","432","480","0.708"
"5","blast_a_005","438.667","0.09","-0.0964936140362351","5","0.104","43","0.896","379","0.877","53","0.123","432","480","0.8"
"6","blast_a_006","288.341","0.011","2.13674048101207","43","0.896","5","0.104","350","0.81","82","0.19","432","480","0.819"
"7","blast_a_007","271.807","-0.006","1.05447245177005","24","0.5","24","0.5","369","0.854","63","0.146","432","480","0.819"
"8","blast_a_008","331.048","-0.02","1.74454893860047","28","0.583","20","0.417","405","0.938","27","0.062","432","480","0.902"
"9","blast_a_009","266.667","0","0.189911202992495","4","0.083","44","0.917","407","0.942","25","0.058","432","480","0.856"
"10","blast_a_010","301.422","-0.019","0.639367234164094","15","0.312","33","0.688","376","0.87","56","0.13","432","480","0.815"
"11","blast_a_011","439.456","0.012","0.357536122791276","8","0.167","40","0.833","392","0.907","40","0.093","432","480","0.833"
"12","blast_a_012","213.016","-0.003","0.415572560998937","8","0.167","40","0.833","396","0.917","36","0.083","432","480","0.842"
"13","blast_a_013","457.67","-0.038","0.714663078706645","13","0.271","35","0.729","392","0.907","40","0.093","432","480","0.844"
"14","blast_a_014","384.938","0.026","1.69143122896272","27","0.562","21","0.438","405","0.938","27","0.062","432","480","0.9"
"15","blast_a_015","180.695","0.025","1.11375943669967","21","0.438","27","0.562","388","0.898","44","0.102","432","480","0.852"
"16","blast_a_016","199.736","-0.024","0.498909332773583","10","0.208","38","0.792","391","0.905","41","0.095","432","480","0.835"
"17","blast_a_017","140.907","-0.051","-0.0439476887296726","4","0.083","44","0.917","393","0.91","39","0.09","432","480","0.827"
"18","blast_a_018","237.143","-0.015","1.11724662786308","24","0.5","24","0.5","375","0.868","57","0.132","432","480","0.831"
"19","blast_a_019","329.587","0.013","1.16764700428281","21","0.438","27","0.562","392","0.907","40","0.093","432","480","0.86"
"20","blast_a_020","525.354","0.007","3.64395213571798","38","0.792","10","0.208","431","0.998","1","0.002","432","480","0.977"
"21","blast_a_021","312.527","0.006","2.46666973956557","43","0.896","5","0.104","383","0.887","49","0.113","432","480","0.888"
"22","blast_a_022","-0.976","0.009","2.06004573691377","47","0.979","1","0.021","220","0.509","212","0.491","432","480","0.556"
"23","blast_a_023","20.574","-0.057","0.0581587981264691","6","0.125","42","0.875","383","0.887","49","0.113","432","480","0.81"
"24","blast_a_024","469.796","0.014","1.9019283947163","34","0.708","14","0.292","394","0.912","38","0.088","432","480","0.892"
"25","blast_a_026","262.449","-0.009","0.945552019107654","27","0.562","21","0.438","339","0.785","93","0.215","432","480","0.762"
"26","blast_a_027","314.448","-0.016","1.31408632238719","31","0.646","17","0.354","357","0.826","75","0.174","432","480","0.808"
"27","blast_a_028","530.724","0.001","2.42347156411912","37","0.771","11","0.229","412","0.954","20","0.046","432","480","0.935"
"28","blast_a_030","320.106","0.007","0.475859630179926","12","0.25","36","0.75","378","0.875","54","0.125","432","480","0.812"
"29","blast_a_032","309.086","-0.006","0.746766482459949","27","0.562","21","0.438","312","0.722","120","0.278","432","480","0.706"
"30","blast_a_035","407.048","-0.022","0.847859696204293","21","0.438","27","0.562","364","0.843","68","0.157","432","480","0.802"
"31","blast_a_037","384.41","0.01","1.58457484464927","26","0.542","22","0.458","402","0.931","30","0.069","432","480","0.892"
"32","blast_a_038","-9.333","-0.009","1.74454893860047","28","0.583","20","0.417","405","0.938","27","0.062","432","480","0.902"
"33","blast_a_039","616.515","0.006","Inf","48","1","0","0","407","0.942","25","0.058","432","480","0.948"
"34","blast_a_040","437.369","0.011","2.49985155468248","37","0.771","11","0.229","415","0.961","17","0.039","432","480","0.942"
"35","blast_a_042","263.165","-0.017","2.19005377458496","36","0.75","12","0.25","404","0.935","28","0.065","432","480","0.917"
"36","blast_a_043","141.529","-0.036","1.34020449330028","21","0.438","27","0.562","403","0.933","29","0.067","432","480","0.883"
"37","blast_a_044","178.38","-0.015","0.443042726140396","7","0.146","41","0.854","403","0.933","29","0.067","432","480","0.854"
"38","blast_a_045","274.222","0.016","0.693560663817876","12","0.25","36","0.75","395","0.914","37","0.086","432","480","0.848"
"39","blast_a_046","319.475","-0.015","2.84524767862604","45","0.938","3","0.062","391","0.905","41","0.095","432","480","0.908"
"40","blast_a_047","301.656","-0.016","1.4913420380608","31","0.646","17","0.354","375","0.868","57","0.132","432","480","0.846"
"41","blast_a_048","403.273","-0.027","0.343730864215242","11","0.229","37","0.771","372","0.861","60","0.139","432","480","0.798"
"42","blast_a_049","517.275","-0.024","1.27271250851704","23","0.479","25","0.521","392","0.907","40","0.093","432","480","0.865"
"43","blast_a_050","338.194","0.036","1.619554721856","31","0.646","17","0.354","386","0.894","46","0.106","432","480","0.869"
"44","blast_a_051","529.467","-0.014","2.30646800447267","40","0.833","8","0.167","393","0.91","39","0.09","432","480","0.902"
"45","blast_a_052","294.286","0.054","-0.504415207151669","4","0.083","44","0.917","350","0.81","82","0.19","432","480","0.738"
