"","acc_id","subj_corr"
"1","blast_a_003",0.594
"2","blast_a_004",0.906
"3","blast_a_005",0.938
"4","blast_a_006",0.531
"5","blast_a_007",0.844
"6","blast_a_008",0.562
"7","blast_a_009",0.594
"8","blast_a_010",0.438
"9","blast_a_011",0.219
"10","blast_a_013",1
"11","blast_a_014",0.875
"12","blast_a_015",0.75
"13","blast_a_016",0.938
"14","blast_a_017",0.969
"15","blast_a_018",1
"16","blast_a_019",0.906
"17","blast_a_020",0.844
"18","blast_a_021",0.625
"19","blast_a_022",0.938
"20","blast_a_023",0.562
"21","blast_a_024",1
"22","blast_a_026",0.969
"23","blast_a_027",0.875
"24","blast_a_028",0.5
"25","blast_a_030",0.75
"26","blast_a_032",1
"27","blast_a_035",0.844
"28","blast_a_038",0.781
"29","blast_a_039",0.938
"30","blast_a_040",1
"31","blast_a_042",0.5
"32","blast_a_043",0.781
"33","blast_a_044",1
"34","blast_a_045",1
"35","blast_a_046",0.75
"36","blast_a_047",0.75
"37","blast_a_048",0.562
"38","blast_a_049",0.969
"39","blast_a_050",1
"40","blast_a_052",0.969
