"","part_id","mean_entropy"
"1","blast_a_003",0.508
"2","blast_a_004",0.327
"3","blast_a_005",0.274
"4","blast_a_006",0.815
"5","blast_a_007",0.508
"6","blast_a_008",0.849
"7","blast_a_009",0.936
"8","blast_a_010",0.964
"9","blast_a_011",0.717
"10","blast_a_013",0
"11","blast_a_014",0.477
"12","blast_a_015",0.498
"13","blast_a_016",0.203
"14","blast_a_017",0.148
"15","blast_a_018",0
"16","blast_a_019",0.351
"17","blast_a_020",0.449
"18","blast_a_021",0.815
"19","blast_a_022",0.284
"20","blast_a_023",0.896
"21","blast_a_024",0
"22","blast_a_026",0.126
"23","blast_a_027",0.487
"24","blast_a_028",0.794
"25","blast_a_030",0.63
"26","blast_a_032",0
"27","blast_a_035",0.51
"28","blast_a_038",0.644
"29","blast_a_039",0.203
"30","blast_a_040",0
"31","blast_a_042",0.78
"32","blast_a_043",0.744
"33","blast_a_044",0
"34","blast_a_045",0
"35","blast_a_046",0.477
"36","blast_a_047",0.624
"37","blast_a_048",0.93
"38","blast_a_049",0.136
"39","blast_a_050",0
"40","blast_a_052",0.136
