"","par_id","mean_rt","scaled_rt_slope"
"1","blast_a_003","498.75","0.012"
"2","blast_a_004","412.792","-0.102"
"3","blast_a_005","483.5","0.002"
"4","blast_a_006","517.957","-0.037"
"5","blast_a_007","510.125","-0.018"
"6","blast_a_008","542.25","-0.016"
"7","blast_a_009","500.792","-0.006"
"8","blast_a_010","559.13","0.019"
"9","blast_a_011","552.917","0.034"
"10","blast_a_013","309.458","-0.122"
"11","blast_a_014","569.333","0.032"
"12","blast_a_015","507.583","-0.041"
"13","blast_a_016","656.522","-0.027"
"14","blast_a_017","364.348","0.005"
"15","blast_a_018","476.333","-0.11"
"16","blast_a_019","439.417","0.007"
"17","blast_a_020","518.125","0.013"
"18","blast_a_021","476.417","0.008"
"19","blast_a_022","519.208","-0.051"
"20","blast_a_023","585.417","0.04"
"21","blast_a_024","499.208","-0.077"
"22","blast_a_026","493.75","-0.044"
"23","blast_a_027","534","-0.046"
"24","blast_a_028","644.833","0.052"
"25","blast_a_030","430.952","0.004"
"26","blast_a_032","629","-0.013"
"27","blast_a_035","355.417","-0.124"
"28","blast_a_038","409.167","-0.06"
"29","blast_a_039","382.696","-0.004"
"30","blast_a_040","535.708","0.014"
"31","blast_a_042","500.667","0.057"
"32","blast_a_043","504.708","0"
"33","blast_a_044","378.417","-0.004"
"34","blast_a_045","389.583","-0.097"
"35","blast_a_046","489.792","0.056"
"36","blast_a_047","425.958","-0.007"
"37","blast_a_048","521.167","0.019"
"38","blast_a_049","506.083","0.021"
"39","blast_a_050","392.583","-0.12"
"40","blast_a_052","572.167","-0.011"
