"","lsl_a_entropy","lsl_b_entropy","lsl_c_entropy","lsl_d_entropy","part_id","mean_entropy"
"1",1,1,0.811278124459133,0.954434002924965,"blast_a_001",0.941
"2",0,0,0.543564443199596,0.811278124459133,"blast_a_002",0.339
"3",0,0.543564443199596,0.811278124459133,0,"blast_a_003",0.339
"4",0,0,0,0,"blast_a_004",0
"5",0,0.811278124459133,0.543564443199596,0.543564443199596,"blast_a_005",0.475
"6",0.954434002924965,0.543564443199596,1,0.811278124459133,"blast_a_006",0.827
"7",0.954434002924965,0.543564443199596,0.811278124459133,0,"blast_a_007",0.577
"8",0.543564443199596,0.543564443199596,0.543564443199596,0.811278124459133,"blast_a_008",0.61
"9",0.954434002924965,1,0.811278124459133,0.954434002924965,"blast_a_009",0.93
"10",0.811278124459133,0.811278124459133,0.954434002924965,0.543564443199596,"blast_a_010",0.78
"11",0,0.543564443199596,0,0,"blast_a_011",0.136
"12",0,0,0,0,"blast_a_013",0
"13",0.954434002924965,0.543564443199596,1,0.811278124459133,"blast_a_014",0.827
"14",0,0,0,0,"blast_a_015",0
"15",0.811278124459133,0.954434002924965,0.954434002924965,1,"blast_a_016",0.93
"16",0,0.543564443199596,0.811278124459133,0,"blast_a_017",0.339
"17",0,0.543564443199596,0,0,"blast_a_018",0.136
"18",0,0.543564443199596,0.543564443199596,0,"blast_a_019",0.272
"19",0,0,0,0,"blast_a_020",0
"20",0,0.543564443199596,0,0,"blast_a_021",0.136
"21",0.543564443199596,1,0.954434002924965,0.954434002924965,"blast_a_022",0.863
"22",0.811278124459133,0.954434002924965,0.811278124459133,1,"blast_a_023",0.894
"23",0.954434002924965,0.954434002924965,0.954434002924965,0.954434002924965,"blast_a_024",0.954
