"","subj","0_A","0_B","0_C","0_D","1_A","1_B","1_C","1_D"
"1","blast_a_001",4,4,6,3,4,4,2,5
"2","blast_a_002",0,0,1,2,8,8,7,6
"3","blast_a_003",0,1,2,0,8,7,6,8
"4","blast_a_004",0,0,0,0,8,8,8,8
"5","blast_a_005",0,2,1,1,8,6,7,7
"6","blast_a_006",3,1,4,6,5,7,4,2
"7","blast_a_007",5,7,2,0,3,1,6,8
"8","blast_a_008",1,1,1,2,7,7,7,6
"9","blast_a_009",3,4,2,3,5,4,6,5
"10","blast_a_010",2,6,5,7,6,2,3,1
"11","blast_a_011",0,1,0,0,8,7,8,8
"12","blast_a_013",0,0,0,0,8,8,8,8
"13","blast_a_014",5,1,4,2,3,7,4,6
"14","blast_a_015",0,0,0,0,8,8,8,8
"15","blast_a_016",2,5,5,4,6,3,3,4
"16","blast_a_017",0,1,2,8,8,7,6,0
"17","blast_a_018",0,1,0,0,8,7,8,8
"18","blast_a_019",0,1,1,0,8,7,7,8
"19","blast_a_020",0,0,0,0,8,8,8,8
"20","blast_a_021",0,1,0,0,8,7,8,8
"21","blast_a_022",1,4,5,5,7,4,3,3
"22","blast_a_023",2,5,6,4,6,3,2,4
"23","blast_a_024",5,3,3,5,3,5,5,3
