"","lsl_a_entropy","lsl_b_entropy","lsl_c_entropy","lsl_d_entropy","part_id","mean_entropy"
"1",0,0,0,0,"blast_a_035",0
"2",0.811278124459133,0.954434002924965,0.811278124459133,0.811278124459133,"blast_a_037",0.847
"3",0,0,0,0,"blast_a_038",0
"4",0,0.543564443199596,0.954434002924965,0.811278124459133,"blast_a_039",0.577
"5",1,0.954434002924965,0.954434002924965,0.811278124459133,"blast_a_040",0.93
"6",0.543564443199596,0.543564443199596,0.954434002924965,0.543564443199596,"blast_a_041",0.646
"7",0.954434002924965,0.811278124459133,0.811278124459133,0.954434002924965,"blast_a_042",0.883
"8",0.543564443199596,0.543564443199596,1,0.543564443199596,"blast_a_044",0.658
"9",0.954434002924965,0.954434002924965,1,0.543564443199596,"blast_a_045",0.863
"10",0.811278124459133,0.543564443199596,0.954434002924965,0.954434002924965,"blast_a_046",0.816
"11",0,0,0,0,"blast_a_047",0
"12",0,0,0,0,"blast_a_048",0
"13",0.811278124459133,0.811278124459133,1,0.543564443199596,"blast_a_049",0.792
"14",0,0,0,0,"blast_a_050",0
"15",0,1,0.811278124459133,0.543564443199596,"blast_a_051",0.589
"16",0,0,0.543564443199596,0,"blast_a_026",0.136
"17",0,0,0.543564443199596,0,"blast_a_027",0.136
"18",0.91829583405449,1,1,0.863120568566631,"blast_a_028",0.945
"19",0.91829583405449,0.543564443199596,0.954434002924965,0.863120568566631,"blast_a_030",0.82
"20",0,0.543564443199596,0.543564443199596,0.863120568566631,"blast_a_032",0.488
