"","subj","0_A","0_B","0_C","0_D","1_A","1_B","1_C","1_D"
"1","blast_a_035",0,0,0,0,8,8,8,8
"2","blast_a_037",6,5,6,6,2,3,2,2
"3","blast_a_038",0,0,0,0,8,8,8,8
"4","blast_a_039",0,1,3,2,8,7,5,6
"5","blast_a_040",4,5,5,6,4,3,3,2
"6","blast_a_041",7,7,5,1,1,1,3,7
"7","blast_a_042",3,2,2,3,5,6,6,5
"8","blast_a_044",1,1,4,1,7,7,4,7
"9","blast_a_045",5,5,4,1,3,3,4,7
"10","blast_a_046",6,7,5,5,2,1,3,3
"11","blast_a_047",0,0,0,0,8,8,8,8
"12","blast_a_048",0,0,0,0,8,8,8,8
"13","blast_a_049",2,2,4,1,6,6,4,7
"14","blast_a_050",0,0,0,0,8,8,8,8
"15","blast_a_051",0,4,2,1,8,4,6,7
"16","blast_a_026",0,0,1,0,9,8,7,7
"17","blast_a_027",0,0,1,0,9,8,7,7
"18","blast_a_028",3,4,4,5,6,4,4,2
"19","blast_a_030",6,1,3,5,3,7,5,2
"20","blast_a_032",0,1,1,2,9,7,7,5
