"","subj","0_A","0_B","0_C","0_D","1_A","1_B","1_C","1_D"
"1","blast_a_001",3,4,5,3,6,4,3,4
"2","blast_a_002",8,0,0,5,1,8,8,2
"3","blast_a_003",3,4,4,7,6,4,4,0
"4","blast_a_004",4,5,4,3,5,3,4,4
"5","blast_a_005",2,1,0,2,7,7,8,5
"6","blast_a_006",3,1,6,2,6,7,2,5
"7","blast_a_007",2,3,7,1,7,5,1,6
"8","blast_a_008",2,5,1,4,7,3,7,3
"9","blast_a_009",3,2,3,4,6,6,5,3
"10","blast_a_010",3,2,3,5,6,6,5,2
"11","blast_a_011",5,3,2,5,4,5,6,2
"12","blast_a_013",2,5,4,2,7,3,4,5
"13","blast_a_014",4,0,4,3,5,8,4,4
"14","blast_a_015",5,2,5,1,4,6,3,6
"15","blast_a_016",5,3,3,2,4,5,5,5
"16","blast_a_017",4,3,7,1,5,5,1,6
"17","blast_a_018",4,6,2,6,5,2,6,1
"18","blast_a_019",2,7,5,5,7,1,3,2
"19","blast_a_021",1,2,2,5,8,6,6,2
"20","blast_a_022",0,1,0,5,9,7,8,2
"21","blast_a_023",4,2,7,2,5,6,1,5
"22","blast_a_024",2,0,0,4,7,8,8,3
"23","blast_a_025",2,5,3,5,7,3,5,2
"24","blast_a_026",4,2,4,2,5,6,4,5
"25","blast_a_028",5,1,2,5,4,7,6,2
"26","blast_a_030",4,2,3,3,5,6,5,4
"27","blast_a_032",4,2,0,4,5,6,8,3
"28","blast_a_035",1,1,0,1,7,7,8,7
"29","blast_a_037",6,1,6,3,2,7,2,5
"30","blast_a_038",2,1,1,0,6,7,7,8
"31","blast_a_039",2,3,4,3,6,5,4,5
"32","blast_a_040",2,4,6,3,6,4,2,5
"33","blast_a_041",1,2,5,3,7,6,3,5
"34","blast_a_042",5,5,3,3,3,3,5,5
"35","blast_a_043",3,1,6,2,5,7,2,6
"36","blast_a_044",2,3,1,5,6,5,7,3
"37","blast_a_045",3,7,3,2,5,1,5,6
"38","blast_a_046",4,2,5,1,4,6,3,7
"39","blast_a_047",1,0,4,1,7,8,4,7
"40","blast_a_048",4,3,3,0,4,5,5,8
"41","blast_a_049",3,5,3,5,5,3,5,3
"42","blast_a_050",5,7,3,4,3,1,5,4
"43","blast_a_051",6,6,1,7,2,2,7,1
"44","blast_a_052",3,4,6,4,5,4,2,4
