"","subj","0_A","0_B","0_C","0_D","1_A","1_B","1_C","1_D"
"1","blast_a_001",3,5,4,2,6,3,4,5
"2","blast_a_002",2,2,3,1,7,6,5,6
"3","blast_a_003",5,8,4,0,4,0,4,7
"4","blast_a_004",5,3,4,1,4,5,4,6
"5","blast_a_005",4,3,1,1,5,5,7,6
"6","blast_a_006",3,0,3,0,6,8,5,7
"7","blast_a_007",6,3,3,4,3,5,5,3
"8","blast_a_008",2,3,5,0,7,5,3,7
"9","blast_a_009",4,4,2,1,5,4,6,6
"10","blast_a_010",3,2,4,4,6,6,4,3
"11","blast_a_011",3,2,1,4,6,6,7,3
"12","blast_a_012",6,4,6,2,3,4,2,5
"13","blast_a_013",1,3,2,5,8,5,6,2
"14","blast_a_014",6,3,3,2,3,5,5,5
"15","blast_a_015",2,6,2,1,7,2,6,6
"16","blast_a_016",6,6,5,4,3,2,3,3
"17","blast_a_017",2,0,4,2,7,8,4,5
"18","blast_a_018",0,3,1,0,9,5,7,7
"19","blast_a_019",0,4,4,6,9,4,4,1
"20","blast_a_020",0,5,0,4,9,3,8,3
"21","blast_a_021",4,3,2,0,5,5,6,7
"22","blast_a_022",4,1,2,3,5,7,6,4
"23","blast_a_023",5,4,3,2,4,4,5,5
"24","blast_a_024",1,2,1,6,8,6,7,1
"25","blast_a_026",1,2,3,3,8,6,5,4
"26","blast_a_027",5,3,4,2,4,5,4,5
"27","blast_a_028",1,4,2,0,8,4,6,7
"28","blast_a_030",4,2,0,4,5,6,8,3
"29","blast_a_032",0,3,2,0,9,5,6,7
"30","blast_a_035",5,3,1,2,3,5,7,6
"31","blast_a_037",2,2,3,4,6,6,5,4
"32","blast_a_038",4,1,2,0,4,7,6,8
"33","blast_a_039",2,2,3,2,6,6,5,6
"34","blast_a_040",2,3,2,3,6,5,6,5
"35","blast_a_042",0,0,2,1,8,8,6,7
"36","blast_a_043",1,0,0,1,7,8,8,7
"37","blast_a_044",5,3,3,1,3,5,5,7
"38","blast_a_045",5,1,1,4,3,7,7,4
"39","blast_a_046",0,2,2,6,8,6,6,2
"40","blast_a_047",5,5,2,4,3,3,6,4
"41","blast_a_048",2,1,3,5,6,7,5,3
"42","blast_a_049",5,2,5,7,3,6,3,1
"43","blast_a_050",1,3,3,5,7,5,5,3
"44","blast_a_051",2,1,2,3,6,7,6,5
"45","blast_a_052",1,1,0,3,7,7,8,5
