"","subj","0_A","0_B","0_C","0_D","1_A","1_B","1_C","1_D"
"1","blast_a_003",1,1,8,3,8,7,0,4
"2","blast_a_004",2,1,0,0,7,7,8,7
"3","blast_a_005",1,0,0,1,8,8,8,6
"4","blast_a_006",3,7,2,3,6,1,6,4
"5","blast_a_007",1,0,1,3,8,8,7,4
"6","blast_a_008",4,4,1,5,5,4,7,2
"7","blast_a_009",4,3,2,4,5,5,6,3
"8","blast_a_010",5,4,4,5,4,4,4,2
"9","blast_a_011",6,7,7,5,3,1,1,2
"10","blast_a_013",0,0,0,0,9,8,8,7
"11","blast_a_014",1,0,2,1,8,8,6,6
"12","blast_a_015",4,4,0,0,5,4,8,7
"13","blast_a_016",0,2,0,0,9,6,8,7
"14","blast_a_017",0,0,0,1,9,8,8,6
"15","blast_a_018",0,0,0,0,9,8,8,7
"16","blast_a_019",0,2,0,1,9,6,8,6
"17","blast_a_020",0,2,0,3,9,6,8,4
"18","blast_a_021",6,2,1,3,3,6,7,4
"19","blast_a_022",0,0,1,1,9,8,7,6
"20","blast_a_023",5,4,4,1,4,4,4,6
"21","blast_a_024",0,0,0,0,9,8,8,7
"22","blast_a_026",1,0,0,0,8,8,8,7
"23","blast_a_027",0,2,1,1,9,6,7,6
"24","blast_a_028",8,4,2,2,1,4,6,5
"25","blast_a_030",4,1,0,3,5,7,8,4
"26","blast_a_032",0,0,0,0,9,8,8,7
"27","blast_a_035",1,1,0,3,7,7,8,5
"28","blast_a_038",3,2,0,2,5,6,8,6
"29","blast_a_039",0,0,0,2,8,8,8,6
"30","blast_a_040",0,0,0,0,8,8,8,8
"31","blast_a_042",5,2,2,7,3,6,6,1
"32","blast_a_043",1,2,2,2,7,6,6,6
"33","blast_a_044",0,0,0,0,8,8,8,8
"34","blast_a_045",0,0,0,0,8,8,8,8
"35","blast_a_046",0,0,3,5,8,8,5,3
"36","blast_a_047",1,4,3,0,7,4,5,8
"37","blast_a_048",5,2,3,4,3,6,5,4
"38","blast_a_049",0,0,1,0,8,8,7,8
"39","blast_a_050",0,0,0,0,8,8,8,8
"40","blast_a_052",1,0,0,0,7,8,8,8
