"","trial","reaction_time","id","targ_index","scaled_rt"
"1",25,513.514739229048,"blast_a_001",1,-0.498983040940149
"2",34,710.884353741487,"blast_a_001",1,0.598779649128378
"3",40,NA,"blast_a_001",2,NA
"4",55,-196.8707482993,"blast_a_001",3,-4.45012154673893
"5",70,699.274376417218,"blast_a_001",4,0.534205373241948
"6",79,588.979591836743,"blast_a_001",5,-0.079250247678667
"7",97,588.979591836743,"blast_a_001",6,-0.079250247678667
"8",103,629.614512471658,"blast_a_001",7,0.146759717923682
"9",112,559.954648526098,"blast_a_001",8,-0.240685937394585
"10",127,559.954648526069,"blast_a_001",9,-0.240685937394743
"11",136,681.859410430842,"blast_a_001",10,0.43734395941246
"12",145,507.709750566885,"blast_a_001",11,-0.531270178883522
"13",166,519.319727891183,"blast_a_001",12,-0.466695902996933
"14",187,NA,"blast_a_001",13,NA
"15",199,583.174603174608,"blast_a_001",14,-0.111537385621882
"16",211,600.589569161012,"blast_a_001",15,-0.0146759717922365
"17",223,780.544217687076,"blast_a_001",16,0.986225304446803
"18",235,484.489795918374,"blast_a_001",17,-0.660418730656225
"19",247,728.299319727892,"blast_a_001",18,0.695641062958024
"20",259,947.07482993197,"blast_a_001",19,1.91246257419225
"21",271,536.734693877559,"blast_a_001",20,-0.369834489167446
"22",283,501.90476190475,"blast_a_001",21,-0.563557316826737
"23",289,NA,"blast_a_001",22,NA
"24",298,513.51473922902,"blast_a_001",23,-0.498983040940307
"25",310,583.17460317458,"blast_a_001",24,-0.11153738562204
"26",316,647.029478458005,"blast_a_001",25,0.243621131753011
"27",328,NA,"blast_a_001",26,NA
"28",334,NA,"blast_a_001",27,NA
"29",349,NA,"blast_a_001",28,NA
"30",358,577.369614512445,"blast_a_001",29,-0.143824523565255
"31",370,623.809523809523,"blast_a_001",30,0.114472579980466
"32",385,612.199546485253,"blast_a_001",31,0.0498983040940359
"33",391,NA,"blast_a_001",32,NA
"34",406,519.319727891098,"blast_a_001",33,-0.466695902997408
"35",421,606.394557823119,"blast_a_001",34,0.0176111661508206
"36",436,NA,"blast_a_001",35,NA
"37",448,NA,"blast_a_001",36,NA
"38",457,NA,"blast_a_001",37,NA
"39",466,NA,"blast_a_001",38,NA
"40",472,635.419501133736,"blast_a_001",39,0.179046855866581
"41",487,NA,"blast_a_001",40,NA
"42",499,792.154195011317,"blast_a_001",41,1.05079958033308
"43",517,676.054421768679,"blast_a_001",42,0.405056821469087
"44",538,734.104308389969,"blast_a_001",43,0.727928200900923
"45",544,NA,"blast_a_001",44,NA
"46",559,NA,"blast_a_001",45,NA
"47",568,NA,"blast_a_001",46,NA
"48",583,859.999999999977,"blast_a_001",47,1.42815550504418
"49",12,341.179138321998,"blast_a_002",48,-0.641486988141692
"50",18,254.104308390019,"blast_a_002",1,-1.28311107544741
"51",36,484.489795918367,"blast_a_002",2,0.414519322215545
"52",45,455.464852607715,"blast_a_002",3,0.200644626447026
"53",60,432.24489795919,"blast_a_002",4,0.0295448698321887
"54",72,426.439909297055,"blast_a_002",5,-0.0132300693215467
"55",84,947.074829931984,"blast_a_002",6,3.82314728602702
"56",93,803.764172335601,"blast_a_002",7,2.76714097566968
"57",108,501.904761904779,"blast_a_002",8,0.542844139676804
"58",120,461.26984126985,"blast_a_002",9,0.243419565600761
"59",129,NA,"blast_a_002",10,NA
"60",138,352.78911564626,"blast_a_002",11,-0.555937109834273
"61",150,385.80498866214,"blast_a_002",12,-0.312654643397485
"62",159,317.959183673466,"blast_a_002",13,-0.812586744756581
"63",174,380.000000000006,"blast_a_002",14,-0.35542958255122
"64",183,294.739229024941,"blast_a_002",15,-0.983686501371418
"65",195,277.324263038537,"blast_a_002",16,-1.11201131883262
"66",204,409.024943310679,"blast_a_002",17,-0.141554886782543
"67",213,NA,"blast_a_002",18,NA
"68",228,623.809523809523,"blast_a_002",19,1.44111786190462
"69",240,449.659863945566,"blast_a_002",20,0.157869687293185
"70",249,403.219954648545,"blast_a_002",21,-0.184329825936279
"71",264,NA,"blast_a_002",22,NA
"72",276,443.854875283459,"blast_a_002",23,0.115094748139659
"73",294,NA,"blast_a_002",24,NA
