"","trial","reaction_time","id","targ_index","scaled_rt"
"1",29,391.60997732,"blast_a_001",1,-0.660012339367714
"2",44,NA,"blast_a_001",2,NA
"3",62,NA,"blast_a_001",3,NA
"4",71,484.489795918,"blast_a_001",4,-0.179688467628487
"5",80,341.1791383,"blast_a_001",5,-0.920813191681886
"6",89,306.3492063,"blast_a_001",6,-1.10093464371726
"7",104,NA,"blast_a_001",7,NA
"8",113,478.684807256,"blast_a_001",8,-0.209708709610249
"9",128,397.41496599,"blast_a_001",9,-0.62999209734458
"10",146,NA,"blast_a_001",10,NA
"11",161,513.51473923,"blast_a_001",11,-0.0295872577093319
"12",170,438.04988662,"blast_a_001",12,-0.419850403492929
"13",182,346.984127,"blast_a_001",13,-0.890792949503608
"14",194,403.21995465,"blast_a_001",14,-0.599971855373161
"15",206,21.9047619,"blast_a_001",15,-2.5719265006271
"16",221,947.07482993,"blast_a_001",16,2.2125495653391
"17",233,472.879818594,"blast_a_001",17,-0.239728951592012
"18",245,600.5895692,"blast_a_001",18,0.420716372223962
"19",257,NA,"blast_a_001",19,NA
"20",269,NA,"blast_a_001",20,NA
"21",275,NA,"blast_a_001",21,NA
"22",293,507.70975057,"blast_a_001",22,-0.0596074996807516
"23",305,NA,"blast_a_001",23,NA
"24",314,NA,"blast_a_001",24,NA
"25",326,NA,"blast_a_001",25,NA
"26",338,681.8594104,"blast_a_001",26,0.840999759616977
"27",356,NA,"blast_a_001",27,NA
"28",365,NA,"blast_a_001",28,NA
"29",377,NA,"blast_a_001",29,NA
"30",386,NA,"blast_a_001",30,NA
"31",392,NA,"blast_a_001",31,NA
"32",407,536.73469388,"blast_a_001",32,0.0904937102280605
"33",416,728.2993197,"blast_a_001",33,1.08116169549176
"34",428,NA,"blast_a_001",34,NA
"35",440,647.0294785,"blast_a_001",35,0.660878308098747
"36",458,501.9047619,"blast_a_001",36,-0.0896277417038857
"37",464,NA,"blast_a_001",37,NA
"38",476,889.02494331,"blast_a_001",38,1.91234714552148
"39",494,NA,"blast_a_001",39,NA
"40",506,NA,"blast_a_001",40,NA
"41",518,797.9591837,"blast_a_001",41,1.44140459956251
"42",524,NA,"blast_a_001",42,NA
"43",533,380,"blast_a_001",43,-0.720052823310553
"44",542,635.4195011,"blast_a_001",44,0.600837823742191
"45",554,513.51473923,"blast_a_001",45,-0.0295872577093319
"46",569,NA,"blast_a_001",46,NA
"47",575,536.73469388,"blast_a_001",47,0.0904937102280605
"48",587,NA,"blast_a_001",48,NA
"49",28,NA,"blast_a_002",1,NA
"50",43,-400.045351473917,"blast_a_002",2,-3.61671343578935
"51",61,288.934240362821,"blast_a_002",3,0.109203091020306
"52",70,467.074829931984,"blast_a_002",4,1.07256539468727
"53",79,213.469387755111,"blast_a_002",5,-0.298901510125771
"54",88,288.934240362821,"blast_a_002",6,0.109203091020306
"55",103,97.3696145124734,"blast_a_002",7,-0.926754742658243
"56",112,213.469387755111,"blast_a_002",8,-0.298901510125771
"57",127,265.714285714267,"blast_a_002",9,-0.0163675554863272
"58",145,NA,"blast_a_002",10,NA
"59",160,NA,"blast_a_002",11,NA
"60",169,161.224489795927,"blast_a_002",12,-0.581435464765368
"61",181,728.299319727892,"blast_a_002",13,2.48523516788518
"62",193,397.41496598641,"blast_a_002",14,0.695853455167831
"63",205,225.079365079381,"blast_a_002",15,-0.236116186872493
"64",220,306.349206349211,"blast_a_002",16,0.203381075900146
"65",232,358.594104308395,"blast_a_002",17,0.485915030539743
"66",244,346.984126984125,"blast_a_002",18,0.423129707286465
"67",256,NA,"blast_a_002",19,NA
"68",268,490.294784580509,"blast_a_002",20,1.19813604119375
"69",274,201.859410430842,"blast_a_002",21,-0.361686833379049
"70",292,NA,"blast_a_002",22,NA
"71",304,478.68480725624,"blast_a_002",23,1.13535071794047
"72",313,213.469387755111,"blast_a_002",24,-0.298901510125771
"73",325,259.909297052161,"blast_a_002",25,-0.0477602171128125
"74",337,NA,"blast_a_002",26,NA
"75",355,NA,"blast_a_002",27,NA
"76",364,79.9546485260691,"blast_a_002",28,-1.02093272753816
"77",376,271.519274376431,"blast_a_002",29,0.0150251061404654
"78",385,132.199546485282,"blast_a_002",30,-0.738398772898409
"79",391,352.78911564626,"blast_a_002",31,0.454522368913104
"80",406,213.469387755083,"blast_a_002",32,-0.298901510125924
"81",415,-47.75510204081,"blast_a_002",33,-1.71157128332376
"82",427,484.489795918346,"blast_a_002",34,1.16674337956695
"83",439,NA,"blast_a_002",35,NA
"84",457,248.299319727892,"blast_a_002",36,-0.11054554036609
"85",463,132.199546485253,"blast_a_002",37,-0.738398772898563
"86",475,172.83446712014,"blast_a_002",38,-0.518650141512397
"87",493,NA,"blast_a_002",39,NA
"88",505,352.78911564626,"blast_a_002",40,0.454522368913104
"89",517,317.959183673452,"blast_a_002",41,0.26616639915327
"90",523,NA,"blast_a_002",42,NA
