"","trial","reaction_time","id","targ_index","scaled_rt"
"1",23,486,"blast_a_003",1,-0.116744242655691
"2",29,461,"blast_a_003",2,-0.345654522372733
"3",41,431,"blast_a_003",3,-0.620346858033182
"4",53,502,"blast_a_003",4,0.0297583363632154
"5",65,517,"blast_a_003",5,0.16710450419344
"6",80,457,"blast_a_003",6,-0.382280167127459
"7",92,444,"blast_a_003",7,-0.501313512580321
"8",98,509,"blast_a_003",8,0.093853214683987
"9",116,541,"blast_a_003",9,0.3868583727218
"10",122,456,"blast_a_003",10,-0.391436578316141
"11",137,555,"blast_a_003",11,0.515048129363343
"12",152,401,"blast_a_003",12,-0.895039193693632
"13",164,653,"blast_a_003",13,1.41237642585415
"14",173,625,"blast_a_003",14,1.15599691257106
"15",179,436,"blast_a_003",15,-0.574564802089774
"16",191,748,"blast_a_003",16,2.2822354887789
"17",206,309,"blast_a_003",17,-1.73742902305234
"18",215,580,"blast_a_003",18,0.743958409080385
"19",230,296,"blast_a_003",19,-1.85646236850521
"20",242,432,"blast_a_003",20,-0.611190446844501
"21",254,675,"blast_a_003",21,1.61381747200514
"22",260,409,"blast_a_003",22,-0.821787904184179
"23",281,445,"blast_a_003",23,-0.492157101391639
"24",293,602,"blast_a_003",24,0.945399455231381
"25",554,489,"blast_a_004",1,1.24157276900539
"26",560,511,"blast_a_004",2,1.59999290133718
"27",572,483,"blast_a_004",3,1.14382182382399
"28",584,395,"blast_a_004",4,-0.289858705503171
"29",596,424,"blast_a_004",5,0.182604196206915
"30",611,369,"blast_a_004",6,-0.713446134622559
"31",623,491,"blast_a_004",7,1.27415641739918
"32",629,458,"blast_a_004",8,0.7365262189015
"33",647,474,"blast_a_004",9,0.997195406051892
"34",653,514,"blast_a_004",10,1.64886837392787
"35",668,412,"blast_a_004",11,-0.0128976941558791
"36",683,422,"blast_a_004",12,0.150020547813116
"37",695,412,"blast_a_004",13,-0.0128976941558791
"38",704,401,"blast_a_004",14,-0.192107760321774
"39",710,471,"blast_a_004",15,0.948319933461194
"40",722,391,"blast_a_004",16,-0.355026002290769
"41",737,321,"blast_a_004",17,-1.49545369607374
"42",746,360,"blast_a_004",18,-0.860072552394655
"43",761,332,"blast_a_004",19,-1.31624362990784
"44",773,310,"blast_a_004",20,-1.67466376223963
"45",785,390,"blast_a_004",21,-0.371317826487669
"46",791,369,"blast_a_004",22,-0.713446134622559
"47",812,351,"blast_a_004",23,-1.00669897016675
"48",824,357,"blast_a_004",24,-0.908948024985354
"49",1079,354,"blast_a_005",1,-1.59717331771143
"50",1097,376,"blast_a_005",2,-1.32583885447088
"51",1106,648,"blast_a_005",3,2.02884178195777
"52",1112,488,"blast_a_005",4,0.0555002311173857
"53",1124,363,"blast_a_005",5,-1.48617285547666
"54",1145,554,"blast_a_005",6,0.869503620839042
"55",1157,543,"blast_a_005",7,0.733836389218766
"56",1169,414,"blast_a_005",8,-0.85717023614629
"57",1181,495,"blast_a_005",9,0.141833923966652
"58",1190,602,"blast_a_005",10,1.46150608609116
"59",1196,453,"blast_a_005",11,-0.376168233128947
"60",1211,608,"blast_a_005",12,1.53550639424767
"61",1220,426,"blast_a_005",13,-0.709169619833261
"62",1238,512,"blast_a_005",14,0.351501463743443
"63",1247,426,"blast_a_005",15,-0.709169619833261
"64",1259,535,"blast_a_005",16,0.635169311676747
"65",1280,555,"blast_a_005",17,0.881837005531795
"66",1286,483,"blast_a_005",18,-0.00616669234637619
"67",1301,478,"blast_a_005",19,-0.067833615810138
"68",1319,477,"blast_a_005",20,-0.0801670005028904
"69",1328,520,"blast_a_005",21,0.450168541285462
"70",1337,375,"blast_a_005",22,-1.33817223916363
"71",1352,397,"blast_a_005",23,-1.06683777592308
"72",1358,522,"blast_a_005",24,0.474835310670966
"73",1611,517,"blast_a_006",1,-0.0112993932980489
"74",1629,505,"blast_a_006",2,-0.153055418309943
"75",1638,500,"blast_a_006",3,-0.212120428731566
"76",1644,516,"blast_a_006",4,-0.0231123953823734
"77",1656,616,"blast_a_006",5,1.15818781305008
"78",1677,708,"blast_a_006",6,2.24498400480794
"79",1689,471,"blast_a_006",7,-0.554697489176978
"80",1701,787,"blast_a_006",8,3.17821116946958
"81",1713,427,"blast_a_006",9,-1.07446958088726
"82",1722,418,"blast_a_006",10,-1.18078659964618
"83",1728,458,"blast_a_006",11,-0.708266516273196
"84",1743,454,"blast_a_006",12,-0.755518524610495
"85",1752,560,"blast_a_006",13,0.496659696327906
"86",1770,492,"blast_a_006",14,-0.306624445406162
"87",1779,516,"blast_a_006",15,-0.0231123953823734
"88",1791,541,"blast_a_006",16,0.27221265672574
"89",1812,497,"blast_a_006",17,-0.24755943498454
"90",1818,NA,"blast_a_006",18,NA
"91",1833,464,"blast_a_006",19,-0.637388503767249
"92",1851,512,"blast_a_006",20,-0.0703644037196716
"93",1860,476,"blast_a_006",21,-0.495632478755355
"94",1869,512,"blast_a_006",22,-0.0703644037196716
"95",1884,471,"blast_a_006",23,-0.554697489176978
"96",1890,495,"blast_a_006",24,-0.271185439153189
"97",2143,423,"blast_a_007",1,-0.841209136241958
"98",2161,624,"blast_a_007",2,1.0994856859633
"99",2170,535,"blast_a_007",3,0.240173053245552
"100",2176,443,"blast_a_007",4,-0.648105173833474
"101",2188,483,"blast_a_007",5,-0.261897249016506
"102",2209,469,"blast_a_007",6,-0.397070022702445
"103",2221,856,"blast_a_007",7,3.33949164990172
"104",2233,537,"blast_a_007",8,0.2594834494864
"105",2245,456,"blast_a_007",9,-0.522587598267959
"106",2254,589,"blast_a_007",10,0.761553751748458
"107",2260,572,"blast_a_007",11,0.597415383701247
"108",2275,382,"blast_a_007",12,-1.23707225917935
"109",2284,412,"blast_a_007",13,-0.947416315566624
"110",2302,470,"blast_a_007",14,-0.387414824582021
"111",2311,466,"blast_a_007",15,-0.426035617063718
"112",2323,489,"blast_a_007",16,-0.203966060293961
"113",2344,340,"blast_a_007",17,-1.64259058023717
"114",2350,629,"blast_a_007",18,1.14776167656543
"115",2365,580,"blast_a_007",19,0.67465696866464
"116",2383,546,"blast_a_007",20,0.346380232570218
"117",2392,531,"blast_a_007",21,0.201552260763855
"118",2401,469,"blast_a_007",22,-0.397070022702445
"119",2416,451,"blast_a_007",23,-0.57086358887008
"120",2422,491,"blast_a_007",24,-0.184655664053113
"121",2683,616,"blast_a_008",1,1.07482753639074
"122",2689,559,"blast_a_008",2,0.244113372671796
"123",2701,549,"blast_a_008",3,0.0983740457035597
"124",2713,640,"blast_a_008",4,1.42460192111451
"125",2725,572,"blast_a_008",5,0.433574497730504
"126",2740,430,"blast_a_008",6,-1.63592394521846
"127",2752,510,"blast_a_008",7,-0.470009329472563
"128",2758,565,"blast_a_008",8,0.331556968852738
"129",2776,518,"blast_a_008",9,-0.353417867897974
"130",2782,527,"blast_a_008",10,-0.222252473626561
"131",2797,455,"blast_a_008",11,-1.27157562779786
"132",2812,544,"blast_a_008",12,0.0255043822194414
"133",2824,601,"blast_a_008",13,0.85621854593839
"134",2833,579,"blast_a_008",14,0.535592026608269
"135",2839,592,"blast_a_008",15,0.725053151666977
"136",2851,477,"blast_a_008",16,-0.950949108467744
"137",2866,423,"blast_a_008",17,-1.73794147409622
"138",2875,560,"blast_a_008",18,0.25868730536862
"139",2890,631,"blast_a_008",19,1.2934365268431
"140",2902,468,"blast_a_008",20,-1.08211450273916
"141",2914,497,"blast_a_008",21,-0.659470454531271
"142",2920,686,"blast_a_008",22,2.0950028251684
"143",2941,458,"blast_a_008",23,-1.22785382970739
"144",2953,557,"blast_a_008",24,0.214965507278149
"145",3209,497,"blast_a_009",1,-0.0410963544078578
"146",3227,418,"blast_a_009",2,-0.897345672619923
"147",3236,641,"blast_a_009",3,1.51966189651034
