"","part_id","hit_trial_number"
"1","blast_c_002",21
"2","blast_c_009",24
"3","blast_c_019",15
"4","blast_c_028",22
"5","blast_c_034",21
"6","blast_c_036",19
"7","blast_c_038",23
"8","blast_c_045",24
"9","blast_c_059",20
"10","blast_c_061",22
"11","blast_c_071",24
"12","blast_c_073",14
"13","blast_c_085",8
"14","blast_c_088",21
"15","blast_c_092",23
"16","blast_c_095",23
"17","blast_c_096",22
"18","blast_c_097",22
"19","blast_c_101",24
"20","blast_c_109",24
"21","blast_c_118",23
"22","blast_c_122",22
"23","blast_c_124",24
"24","blast_c_147",22
"25","blast_c_149",22
"26","blast_c_150",23
"27","blast_c_164",21
"28","blast_c_165",22
"29","blast_c_168",23
"30","blast_c_186",24
"31","blast_c_193",24
"32","blast_c_204",23
"33","blast_c_206",23
"34","blast_c_209",9
"35","blast_c_210",22
"36","blast_c_211",21
"37","blast_c_213",24
"38","blast_c_216",22
"39","blast_c_220",24
"40","blast_c_224",24
"41","blast_c_231",24
"42","blast_c_232",24
"43","blast_c_233",24
"44","blast_c_265",24
"45","blast_c_267",24
"46","blast_c_268",22
"47","blast_c_406",22
"48","blast_c_409",24
"49","blast_c_410",24
"50","blast_c_420",21
"51","blast_c_423",21
"52","blast_c_426",23
"53","blast_c_427",24
"54","blast_c_428",22
"55","blast_c_429",23
"56","blast_c_438",24
"57","blast_c_439",24
"58","blast_c_440",18
"59","blast_c_444",23
"60","blast_c_449",24
"61","blast_c_450",24
"62","blast_c_451",24
"63","blast_c_454",21
"64","blast_c_456",21
"65","blast_c_457",24
"66","blast_c_461",22
"67","blast_c_462",21
"68","blast_c_467",22
"69","blast_c_468",20
"70","blast_c_469",20
"71","blast_c_470",24
"72","blast_c_471",22
"73","blast_c_475",23
"74","blast_c_476",24
"75","blast_c_478",23
"76","blast_c_479",24
"77","blast_c_481",23
"78","blast_c_483",23
"79","blast_c_484",24
"80","blast_c_485",1
"81","blast_c_487",23
"82","blast_c_488",22
"83","blast_c_491",23
"84","blast_c_492",23
"85","blast_c_493",19
"86","blast_c_497",24
"87","blast_c_498",18
"88","blast_c_499",24
"89","spoli_c_008",24
"90","spoli_c_014",23
"91","spoli_c_049",24
"92","spoli_c_054",24
"93","spoli_c_071",7
"94","spoli_c_076",24
"95","spoli_c_078",24
"96","spoli_c_088",22
"97","spoli_c_090",22
"98","spoli_c_093",23
"99","spoli_c_097",23
"100","spoli_c_125",19
"101","spoli_c_126",23
"102","spoli_c_342",23
"103","spoli_c_379",18
"104","spoli_c_391",22
"105","spoli_c_396",23
"106","spoli_c_409",22
"107","spoli_c_419",24
"108","spoli_c_426",21
"109","spoli_c_439",8
"110","spoli_c_444",23
"111","spoli_c_447",19
"112","spoli_c_448",24
"113","spoli_c_450",24
"114","spoli_c_452",22
"115","spoli_c_477",23
"116","spoli_c_478",22
"117","spoli_c_487",23
"118","spoli_c_491",24
"119","spoli_c_494",10
"120","spoli_c_500",23
"121","spoli_c_501",24
"122","spoli_c_521",23
"123","spoli_c_522",23
"124","spoli_c_537",19
"125","spoli_c_608",24
"126","spoli_c_617",22
"127","spoli_c_639",24
"128","spoli_c_640",22
"129","spoli_c_647",18
"130","spoli_c_651",8
"131","spoli_c_677",21
"132","spoli_c_697",24
"133","spoli_c_705",22
"134","spoli_c_715",23
"135","spoli_c_724",22
"136","spoli_c_727",13
"137","spoli_c_730",21
"138","spoli_c_740",18
"139","spoli_c_743",20
"140","spoli_c_744",24
"141","spoli_c_751",24
"142","spoli_c_768",22
"143","spoli_c_777",23
"144","blast_a_003",24
"145","blast_a_004",24
"146","blast_a_005",24
"147","blast_a_006",23
"148","blast_a_007",24
"149","blast_a_008",24
"150","blast_a_009",24
"151","blast_a_010",23
"152","blast_a_011",24
"153","blast_a_013",24
"154","blast_a_014",21
"155","blast_a_015",24
"156","blast_a_016",23
"157","blast_a_017",23
"158","blast_a_018",24
"159","blast_a_019",24
"160","blast_a_020",24
"161","blast_a_021",24
"162","blast_a_022",24
"163","blast_a_023",24
"164","blast_a_024",24
"165","blast_a_026",24
"166","blast_a_027",24
"167","blast_a_028",24
"168","blast_a_030",21
"169","blast_a_032",23
"170","blast_a_035",24
"171","blast_a_038",24
"172","blast_a_039",23
"173","blast_a_040",24
"174","blast_a_042",24
"175","blast_a_043",24
"176","blast_a_044",24
"177","blast_a_045",24
"178","blast_a_046",24
"179","blast_a_047",24
"180","blast_a_048",24
"181","blast_a_049",24
"182","blast_a_050",24
"183","blast_a_052",24
