"","par_id","mean_rt","scaled_rt_slope","task"
"1","blast_a_001_lsl",608.875,"0.012","adult_lsl_indiv_rts"
"2","blast_a_002_lsl",487.333,"-0.021","adult_lsl_indiv_rts"
"3","blast_a_003_lsl",616.333,"0.022","adult_lsl_indiv_rts"
"4","blast_a_004_lsl",551.13,"-0.057","adult_lsl_indiv_rts"
"5","blast_a_005_lsl",439.435,"0.006","adult_lsl_indiv_rts"
"6","blast_a_006_lsl",537.417,"0.026","adult_lsl_indiv_rts"
"7","blast_a_007_lsl",512.625,"-0.004","adult_lsl_indiv_rts"
"8","blast_a_008_lsl",230.542,"-0.124","adult_lsl_indiv_rts"
"9","blast_a_009_lsl",753.526,"-0.024","adult_lsl_indiv_rts"
"10","blast_a_010_lsl",600.292,"-0.004","adult_lsl_indiv_rts"
"11","blast_a_011_lsl",493,"-0.085","adult_lsl_indiv_rts"
"12","blast_a_013_lsl",423.5,"-0.078","adult_lsl_indiv_rts"
"13","blast_a_014_lsl",513,"0.059","adult_lsl_indiv_rts"
"14","blast_a_015_lsl",577.708,"0.02","adult_lsl_indiv_rts"
"15","blast_a_016_lsl",635.857,"0.002","adult_lsl_indiv_rts"
"16","blast_a_017_lsl",509.208,"-0.075","adult_lsl_indiv_rts"
"17","blast_a_018_lsl",576.458,"-0.066","adult_lsl_indiv_rts"
"18","blast_a_019_lsl",371.625,"-0.093","adult_lsl_indiv_rts"
"19","blast_a_020_lsl",665.708,"0.019","adult_lsl_indiv_rts"
"20","blast_a_021_lsl",613.478,"0.036","adult_lsl_indiv_rts"
"21","blast_a_022_lsl",496,"0.043","adult_lsl_indiv_rts"
"22","blast_a_023_lsl",927.762,"0.052","adult_lsl_indiv_rts"
"23","blast_a_024_lsl",594.958,"0.046","adult_lsl_indiv_rts"
"24","blast_a_026_lsl",249.818,"-0.077","adult_lsl_indiv_rts"
"25","blast_a_027_lsl",330.739,"-0.048","adult_lsl_indiv_rts"
"26","blast_a_028_lsl",560.375,"0.007","adult_lsl_indiv_rts"
"27","blast_a_030_lsl",518.042,"0.002","adult_lsl_indiv_rts"
"28","blast_a_032_lsl",465.632,"-0.04","adult_lsl_indiv_rts"
"29","blast_a_035_lsl",298.5,"-0.054","adult_lsl_indiv_rts"
"30","blast_a_037_lsl",484.391,"-0.003","adult_lsl_indiv_rts"
"31","blast_a_038_lsl",571,"-0.056","adult_lsl_indiv_rts"
"32","blast_a_039_lsl",515.652,"-0.074","adult_lsl_indiv_rts"
"33","blast_a_040_lsl",539.87,"0.032","adult_lsl_indiv_rts"
"34","blast_a_041_lsl",554.958,"-0.025","adult_lsl_indiv_rts"
"35","blast_a_042_lsl",541.13,"-0.029","adult_lsl_indiv_rts"
"36","blast_a_044_lsl",409.909,"0.015","adult_lsl_indiv_rts"
"37","blast_a_045_lsl",414.917,"0.025","adult_lsl_indiv_rts"
"38","blast_a_046_lsl",523.833,"0.02","adult_lsl_indiv_rts"
"39","blast_a_047_lsl",289.391,"-0.044","adult_lsl_indiv_rts"
"40","blast_a_048_lsl",142.625,"-0.035","adult_lsl_indiv_rts"
"41","blast_a_049_lsl",632.609,"0.048","adult_lsl_indiv_rts"
"42","blast_a_050_lsl",292.833,"-0.051","adult_lsl_indiv_rts"
"43","blast_a_051_lsl",519.667,"-0.002","adult_lsl_indiv_rts"
"44","blast_a_001",603.228,"0.027","adult_ssl_indiv_rts"
"45","blast_a_002",428.235,"-0.017","adult_ssl_indiv_rts"
"46","blast_a_003",491.659,"0.006","adult_ssl_indiv_rts"
"47","blast_a_004",508.226,"0.007","adult_ssl_indiv_rts"
"48","blast_a_005",490.703,"0.006","adult_ssl_indiv_rts"
"49","blast_a_006",558.061,"0.041","adult_ssl_indiv_rts"
"50","blast_a_007",525.083,"0.016","adult_ssl_indiv_rts"
"51","blast_a_008",593.333,"0.004","adult_ssl_indiv_rts"
"52","blast_a_009",671.942,"0.016","adult_ssl_indiv_rts"
"53","blast_a_010",550.841,"0.035","adult_ssl_indiv_rts"
"54","blast_a_011",528.846,"-0.006","adult_ssl_indiv_rts"
"55","blast_a_013",540.245,"-0.018","adult_ssl_indiv_rts"
"56","blast_a_014",336.267,"-0.052","adult_ssl_indiv_rts"
