"","targ","part_id","task"
"1","do","blast_c_002","ssl"
"2","3A","blast_c_002","tsl"
"3","alien13","blast_c_002","vsl"
"4","3A","blast_c_009","tsl"
"5","alien20","blast_c_009","vsl"
"6","ku","blast_c_019","ssl"
"7","3A","blast_c_019","tsl"
"8","alien17","blast_c_019","vsl"
"9","pi","blast_c_028","ssl"
"10","alien20","blast_c_028","vsl"
"11","ku","blast_c_034","ssl"
"12","3A","blast_c_034","tsl"
"13","alien20","blast_c_034","vsl"
"14","tu","blast_c_036","ssl"
"15","2A","blast_c_036","tsl"
"16","alien13","blast_c_036","vsl"
"17","ku","blast_c_038","ssl"
"18","2A","blast_c_038","tsl"
"19","alien13","blast_c_038","vsl"
"20","ku","blast_c_045","ssl"
"21","3A","blast_c_045","tsl"
"22","alien13","blast_c_045","vsl"
"23","pi","blast_c_059","ssl"
"24","3A","blast_c_059","tsl"
"25","alien24","blast_c_059","vsl"
"26","pi","blast_c_061","ssl"
"27","3A","blast_c_061","tsl"
"28","alien17","blast_c_061","vsl"
"29","tu","blast_c_071","ssl"
"30","2A","blast_c_071","tsl"
"31","alien13","blast_c_071","vsl"
"32","pi","blast_c_073","ssl"
"33","2A","blast_c_073","tsl"
"34","alien17","blast_c_073","vsl"
"35","ku","blast_c_081","ssl"
"36","2A","blast_c_081","tsl"
"37","pi","blast_c_085","ssl"
"38","2A","blast_c_085","tsl"
"39","alien13","blast_c_085","vsl"
"40","tu","blast_c_088","ssl"
"41","3A","blast_c_088","tsl"
"42","alien24","blast_c_088","vsl"
"43","tu","blast_c_092","ssl"
"44","3A","blast_c_092","tsl"
"45","alien13","blast_c_092","vsl"
"46","pi","blast_c_095","ssl"
"47","3A","blast_c_095","tsl"
"48","alien13","blast_c_095","vsl"
"49","ku","blast_c_096","ssl"
"50","alien24","blast_c_096","vsl"
"51","do","blast_c_097","ssl"
"52","2A","blast_c_097","tsl"
"53","alien24","blast_c_097","vsl"
"54","2A","blast_c_101","tsl"
"55","alien24","blast_c_101","vsl"
"56","ku","blast_c_109","ssl"
"57","3A","blast_c_109","tsl"
"58","alien20","blast_c_109","vsl"
"59","2A","blast_c_118","tsl"
"60","alien24","blast_c_118","vsl"
"61","2A","blast_c_119","tsl"
"62","pi","blast_c_121","ssl"
