"","ans","subj","key","trial_order","corr"
"1","1","blast_c_002",1,1,1
"2","2","blast_c_002",1,2,0
"3","2","blast_c_002",2,3,1
"4","2","blast_c_002",1,4,0
"5","2","blast_c_002",1,5,0
"6","1","blast_c_002",1,6,1
"7","2","blast_c_002",2,7,1
"8","2","blast_c_002",2,8,1
"9","2","blast_c_002",2,9,1
"10","1","blast_c_002",2,10,0
"11","2","blast_c_002",1,11,0
"12","2","blast_c_002",1,12,0
"13","2","blast_c_002",1,13,0
"14","2","blast_c_002",2,14,1
"15","1","blast_c_002",2,15,0
"16","1","blast_c_002",1,16,1
"17","2","blast_c_002",2,17,1
"18","1","blast_c_002",2,18,0
"19","2","blast_c_002",1,19,0
"20","2","blast_c_002",1,20,0
"21","1","blast_c_002",2,21,0
"22","2","blast_c_002",1,22,0
"23","2","blast_c_002",2,23,1
"24","2","blast_c_002",1,24,0
"25","1","blast_c_002",2,25,0
"26","1","blast_c_002",1,26,1
"27","2","blast_c_002",2,27,1
"28","2","blast_c_002",1,28,0
"29","2","blast_c_002",1,29,0
"30","1","blast_c_002",2,30,0
"31","2","blast_c_002",2,31,1
"32","1","blast_c_002",2,32,0
"33","1","blast_c_019",1,1,1
"34","1","blast_c_019",1,2,1
"35","1","blast_c_019",2,3,0
"36","2","blast_c_019",1,4,0
"37","1","blast_c_019",1,5,1
"38","1","blast_c_019",1,6,1
"39","2","blast_c_019",2,7,1
"40","1","blast_c_019",2,8,0
"41","1","blast_c_019",2,9,0
"42","2","blast_c_019",2,10,1
"43","1","blast_c_019",1,11,1
"44","1","blast_c_019",1,12,1
"45","2","blast_c_019",1,13,0
"46","1","blast_c_019",2,14,0
"47","1","blast_c_019",2,15,0
"48","1","blast_c_019",1,16,1
"49","2","blast_c_019",2,17,1
"50","1","blast_c_019",2,18,0
"51","1","blast_c_019",1,19,1
"52","2","blast_c_019",1,20,0
"53","1","blast_c_019",2,21,0
"54","1","blast_c_019",1,22,1
"55","2","blast_c_019",2,23,1
"56","1","blast_c_019",1,24,1
"57","1","blast_c_019",2,25,0
"58","2","blast_c_019",1,26,0
"59","1","blast_c_019",2,27,0
"60","1","blast_c_019",1,28,1
"61","1","blast_c_019",1,29,1
"62","1","blast_c_019",2,30,0
"63","1","blast_c_019",2,31,0
"64","2","blast_c_019",2,32,1
"65","2","blast_c_028",1,1,0
"66","1","blast_c_028",1,2,1
"67","1","blast_c_028",2,3,0
"68","1","blast_c_028",1,4,1
"69","2","blast_c_028",1,5,0
"70","1","blast_c_028",1,6,1
"71","2","blast_c_028",2,7,1
"72","1","blast_c_028",2,8,0
"73","1","blast_c_028",2,9,0
"74","2","blast_c_028",2,10,1
"75","1","blast_c_028",1,11,1
"76","2","blast_c_028",1,12,0
"77","1","blast_c_028",1,13,1
"78","2","blast_c_028",2,14,1
"79","2","blast_c_028",2,15,1
"80","2","blast_c_028",1,16,0
"81","1","blast_c_028",2,17,0
"82","2","blast_c_028",2,18,1
"83","1","blast_c_028",1,19,1
"84","1","blast_c_028",1,20,1
"85","1","blast_c_028",2,21,0
"86","2","blast_c_028",1,22,0
"87","2","blast_c_028",2,23,1
"88","2","blast_c_028",1,24,0
"89","1","blast_c_028",2,25,0
"90","1","blast_c_028",1,26,1
"91","2","blast_c_028",2,27,1
"92","1","blast_c_028",1,28,1
"93","1","blast_c_028",1,29,1
"94","1","blast_c_028",2,30,0
"95","1","blast_c_028",2,31,0
"96","1","blast_c_028",2,32,0
"97","1","blast_c_034",1,1,1
"98","1","blast_c_034",1,2,1
"99","2","blast_c_034",2,3,1
"100","1","blast_c_034",1,4,1
"101","2","blast_c_034",1,5,0
"102","1","blast_c_034",1,6,1
"103","1","blast_c_034",2,7,0
"104","2","blast_c_034",2,8,1
"105","1","blast_c_034",2,9,0
"106","2","blast_c_034",2,10,1
"107","2","blast_c_034",1,11,0
"108","1","blast_c_034",1,12,1
"109","1","blast_c_034",1,13,1
"110","1","blast_c_034",2,14,0
"111","2","blast_c_034",2,15,1
"112","2","blast_c_034",1,16,0
"113","1","blast_c_034",2,17,0
"114","2","blast_c_034",2,18,1
"115","2","blast_c_034",1,19,0
"116","2","blast_c_034",1,20,0
"117","1","blast_c_034",2,21,0
"118","2","blast_c_034",1,22,0
"119","1","blast_c_034",2,23,0
"120","2","blast_c_034",1,24,0
"121","1","blast_c_034",2,25,0
"122","1","blast_c_034",1,26,1
"123","1","blast_c_034",2,27,0
"124","2","blast_c_034",1,28,0
"125","2","blast_c_034",1,29,0
"126","1","blast_c_034",2,30,0
"127","2","blast_c_034",2,31,1
"128","1","blast_c_034",2,32,0
"129","1","blast_c_036",1,1,1
"130","1","blast_c_036",1,2,1
"131","2","blast_c_036",2,3,1
"132","2","blast_c_036",1,4,0
"133","1","blast_c_036",1,5,1
"134","2","blast_c_036",1,6,0
"135","1","blast_c_036",2,7,0
"136","1","blast_c_036",2,8,0
"137","2","blast_c_036",2,9,1
"138","2","blast_c_036",2,10,1
"139","1","blast_c_036",1,11,1
"140","2","blast_c_036",1,12,0
"141","1","blast_c_036",1,13,1
"142","2","blast_c_036",2,14,1
"143","1","blast_c_036",2,15,0
"144","2","blast_c_036",1,16,0
"145","1","blast_c_036",2,17,0
"146","1","blast_c_036",2,18,0
"147","2","blast_c_036",1,19,0
"148","1","blast_c_036",1,20,1
"149","2","blast_c_036",2,21,1
"150","2","blast_c_036",1,22,0
"151","1","blast_c_036",2,23,0
"152","1","blast_c_036",1,24,1
"153","2","blast_c_036",2,25,1
"154","2","blast_c_036",1,26,0
