"","ans","subj","key","trial_order","corr"
"1","1","blast_c_002",1,1,1
"2","2","blast_c_002",1,2,0
"3","2","blast_c_002",2,3,1
"4","2","blast_c_002",1,4,0
"5","2","blast_c_002",1,5,0
"6","2","blast_c_002",1,6,0
"7","2","blast_c_002",2,7,1
"8","2","blast_c_002",2,8,1
"9","1","blast_c_002",2,9,0
"10","1","blast_c_002",2,10,0
"11","1","blast_c_002",1,11,1
"12","1","blast_c_002",1,12,1
"13","1","blast_c_002",1,13,1
"14","1","blast_c_002",2,14,0
"15","2","blast_c_002",2,15,1
"16","1","blast_c_002",1,16,1
"17","2","blast_c_002",2,17,1
"18","1","blast_c_002",2,18,0
"19","2","blast_c_002",1,19,0
"20","1","blast_c_002",1,20,1
"21","1","blast_c_002",2,21,0
"22","1","blast_c_002",1,22,1
"23","1","blast_c_002",2,23,0
"24","1","blast_c_002",1,24,1
"25","1","blast_c_002",2,25,0
"26","2","blast_c_002",1,26,0
"27","1","blast_c_002",2,27,0
"28","1","blast_c_002",1,28,1
"29","2","blast_c_002",1,29,0
"30","1","blast_c_002",2,30,0
"31","2","blast_c_002",2,31,1
"32","1","blast_c_002",2,32,0
"33","1","blast_c_009",1,1,1
"34","2","blast_c_009",1,2,0
"35","2","blast_c_009",2,3,1
"36","1","blast_c_009",1,4,1
"37","2","blast_c_009",1,5,0
"38","2","blast_c_009",1,6,0
"39","2","blast_c_009",2,7,1
"40","1","blast_c_009",2,8,0
"41","1","blast_c_009",2,9,0
"42","2","blast_c_009",2,10,1
"43","2","blast_c_009",1,11,0
"44","2","blast_c_009",1,12,0
"45","2","blast_c_009",1,13,0
"46","2","blast_c_009",2,14,1
"47","2","blast_c_009",2,15,1
"48","1","blast_c_009",1,16,1
"49","2","blast_c_009",2,17,1
"50","1","blast_c_009",2,18,0
"51","1","blast_c_009",1,19,1
"52","2","blast_c_009",1,20,0
"53","2","blast_c_009",2,21,1
"54","2","blast_c_009",1,22,0
"55","1","blast_c_009",2,23,0
"56","2","blast_c_009",1,24,0
"57","2","blast_c_009",2,25,1
"58","2","blast_c_009",1,26,0
"59","2","blast_c_009",2,27,1
"60","2","blast_c_009",1,28,0
"61","2","blast_c_009",1,29,0
"62","2","blast_c_009",2,30,1
"63","2","blast_c_009",2,31,1
"64","2","blast_c_009",2,32,1
"65","1","blast_c_019",1,1,1
"66","2","blast_c_019",1,2,0
"67","2","blast_c_019",2,3,1
"68","1","blast_c_019",1,4,1
"69","2","blast_c_019",1,5,0
"70","1","blast_c_019",1,6,1
"71","2","blast_c_019",2,7,1
"72","1","blast_c_019",2,8,0
"73","2","blast_c_019",2,9,1
"74","2","blast_c_019",2,10,1
"75","1","blast_c_019",1,11,1
"76","1","blast_c_019",1,12,1
"77","1","blast_c_019",1,13,1
"78","2","blast_c_019",2,14,1
"79","1","blast_c_019",2,15,0
"80","2","blast_c_019",1,16,0
"81","1","blast_c_019",2,17,0
"82","1","blast_c_019",2,18,0
"83","1","blast_c_019",1,19,1
"84","1","blast_c_019",1,20,1
"85","1","blast_c_019",2,21,0
"86","2","blast_c_019",1,22,0
"87","2","blast_c_019",2,23,1
"88","2","blast_c_019",1,24,0
"89","2","blast_c_019",2,25,1
"90","2","blast_c_019",1,26,0
"91","1","blast_c_019",2,27,0
"92","1","blast_c_019",1,28,1
"93","1","blast_c_019",1,29,1
"94","2","blast_c_019",2,30,1
"95","1","blast_c_019",2,31,0
"96","2","blast_c_019",2,32,1
"97","1","blast_c_028",1,1,1
"98","2","blast_c_028",1,2,0
"99","2","blast_c_028",2,3,1
"100","1","blast_c_028",1,4,1
"101","1","blast_c_028",1,5,1
"102","2","blast_c_028",1,6,0
"103","1","blast_c_028",2,7,0
"104","1","blast_c_028",2,8,0
"105","2","blast_c_028",2,9,1
"106","1","blast_c_028",2,10,0
"107","2","blast_c_028",1,11,0
"108","1","blast_c_028",1,12,1
"109","2","blast_c_028",1,13,0
"110","1","blast_c_028",2,14,0
"111","2","blast_c_028",2,15,1
"112","1","blast_c_028",1,16,1
"113","2","blast_c_028",2,17,1
"114","1","blast_c_028",2,18,0
"115","1","blast_c_028",1,19,1
"116","2","blast_c_028",1,20,0
"117","1","blast_c_028",2,21,0
"118","1","blast_c_028",1,22,1
"119","2","blast_c_028",2,23,1
"120","1","blast_c_028",1,24,1
"121","2","blast_c_028",2,25,1
"122","2","blast_c_028",1,26,0
"123","1","blast_c_028",2,27,0
"124","1","blast_c_028",1,28,1
"125","1","blast_c_028",1,29,1
"126","1","blast_c_028",2,30,0
"127","2","blast_c_028",2,31,1
"128","1","blast_c_028",2,32,0
"129","1","blast_c_034",1,1,1
"130","2","blast_c_034",1,2,0
"131","1","blast_c_034",2,3,0
"132","2","blast_c_034",1,4,0
"133","1","blast_c_034",1,5,1
"134","2","blast_c_034",1,6,0
"135","2","blast_c_034",2,7,1
"136","1","blast_c_034",2,8,0
"137","2","blast_c_034",2,9,1
"138","1","blast_c_034",2,10,0
"139","2","blast_c_034",1,11,0
"140","1","blast_c_034",1,12,1
"141","2","blast_c_034",1,13,0
"142","2","blast_c_034",2,14,1
"143","2","blast_c_034",2,15,1
"144","1","blast_c_034",1,16,1
"145","2","blast_c_034",2,17,1
"146","1","blast_c_034",2,18,0
"147","1","blast_c_034",1,19,1
"148","2","blast_c_034",1,20,0
"149","2","blast_c_034",2,21,1
"150","2","blast_c_034",1,22,0
"151","1","blast_c_034",2,23,0
"152","2","blast_c_034",1,24,0
"153","2","blast_c_034",2,25,1
"154","2","blast_c_034",1,26,0
