part_id,hit_rate,false_alarm_rate,a_prime,standard_score
spoli_c_008,0.9,0,0.88,105
spoli_c_012,1,0,1,116
spoli_c_014,0.9,0.7,0.52,71
spoli_c_030,0.7,0.7,0.5,69
spoli_c_054,1,0.1,0.88,no age norm
spoli_c_071,0.9,0.4,0.6,no age norm
spoli_c_076,1,0,1,no age norm
spoli_c_078,1,0,1,no age norm
spoli_c_088,1,0.8,0.51,70
spoli_c_090,0.9,0.6,0.54,73
spoli_c_093,0.9,0.4,0.6,78
spoli_c_125,1,0.3,0.71,89
spoli_c_126,1,0.6,0.56,75
spoli_c_339,1,0,1,no age norm
spoli_c_369,0.8,0.7,0.51,70
spoli_c_379,1,0.1,0.88,105
spoli_c_385,0.7,0.4,0.54,43
spoli_c_391,0.9,0.2,0.71,no age norm
spoli_c_396,1,0.5,0.59,27
spoli_c_404,0.4,0.7,0.49,36
spoli_c_409,1,0,1,116
spoli_c_410,1,0.3,0.71,76
spoli_c_419,0.8,0.3,0.61,79
spoli_c_426,1,0.7,0.53,72
spoli_c_439,1,0.2,0.79,81
spoli_c_444,1,0.5,0.59,51
spoli_c_448,1,0.5,0.59,51
spoli_c_449,0.2,0.1,0.5,45
spoli_c_450,0.9,0.2,0.71,53
spoli_c_451,0.5,0.5,0.5,37
spoli_c_452,0.8,0.8,0.5,69
spoli_c_462,0.7,0.2,0.61,61
spoli_c_477,0.8,0.1,0.71,89
spoli_c_487,0.9,0.4,0.6,29
spoli_c_490,0.4,0.2,0.52,40
spoli_c_491,1,0.1,0.88,105
spoli_c_500,1,0.1,0.88,94
spoli_c_501,1,0.2,0.79,70
spoli_c_508,1,0.6,0.56,75
spoli_c_521,1,0.5,0.59,27
spoli_c_522,1,0.4,0.64,82
spoli_c_563,1,0.2,0.79,81
spoli_c_583,0.9,0.5,0.56,46
spoli_c_586,1,0.2,0.79,81
spoli_c_617,0.8,0.2,0.65,83
spoli_c_624,0.6,0.1,0.6,78
spoli_c_627,0.9,0.1,0.79,70
spoli_c_639,1,0,1,115
spoli_c_647,1,0.8,0.51,70
spoli_c_652,0.9,0.7,0.52,71
spoli_c_697,1,0,1,112
spoli_c_705,0.9,0,0.88,89
spoli_c_715,1,0.3,0.71,53
spoli_c_730,1,0.1,0.88,94
spoli_c_740,1,0.2,0.79,96
spoli_c_743,0.8,0.2,0.65,40
spoli_c_744,1,0.3,0.71,89
spoli_c_751,0.9,0,0.88,105
spoli_c_760,1,0.1,0.88,105
spoli_c_768,0.9,0.7,0.52,12
spoli_c_772,0.7,0.8,0.5,8
spoli_c_777,0.8,0.2,0.65,60
blast_c_002,0.8,0.6,0.52,40
blast_c_018,1,0.2,0.79,88
blast_c_023,0.7,0.9,0.5,45
blast_c_028,1,0.5,0.59,51
blast_c_030,1,0.1,0.88,89
blast_c_034,0.7,0.5,0.52,71
blast_c_036,0.8,0,0.79,81
blast_c_037,1,0.2,0.79,81
blast_c_038,0.8,0,0.79,no age norm
blast_c_045,0.9,0.2,0.71,no age norm
blast_c_056,0.5,0.6,0.5,37
blast_c_061,0.9,0.1,0.79,96
blast_c_071,1,0.1,0.88,94
blast_c_073,0.8,0.3,0.61,79
blast_c_085,1,0.2,0.79,70
blast_c_088,1,1,0.5,no age norm
blast_c_092,1,0.2,0.79,88
blast_c_095,0.9,0.1,0.79,81
blast_c_096,1,0,1,120
blast_c_097,1,0.3,0.71,69
blast_c_101,1,0.3,0.71,69
blast_c_109,1,1,0.5,37
blast_c_112,1,0,1,116
blast_c_118,1,1,0.5,69
blast_c_119,0.9,0.7,0.52,48
blast_c_121,0.9,0.7,0.52,71
blast_c_122,0.9,0.5,0.56,75
blast_c_147,1,0.2,0.79,70
blast_c_149,0.9,1,0.5,45
blast_c_150,1,0.1,0.88,no age norm
blast_c_157,0.6,0.4,0.52,no age norm
blast_c_213,1,0,1,115
blast_c_231,1,0,1,120
blast_c_232,1,0,1,115
blast_c_265,1,0,1,112
blast_c_268,1,0.5,0.59,51
blast_c_404,0.7,0.2,0.61,no age norm
blast_c_406,1,0.5,0.59,58
blast_c_409,1,0.2,0.79,no age norm
blast_c_411,1,0.1,0.88,94
blast_c_418,0.9,0.1,0.79,96
blast_c_420,1,0.1,0.88,no age norm
blast_c_421,1,0.1,0.88,no age norm
blast_c_423,0.9,0.4,0.6,no age norm
blast_c_424,1,0.1,0.88,no age norm
blast_c_426,1,0.6,0.56,46
blast_c_427,1,0,1,no age norm
blast_c_428,1,0,1,no age norm
blast_c_429,0.3,0.3,0.5,no age norm
blast_c_438,1,0.1,0.88,no age norm
blast_c_439,1,0,1,112
blast_c_440,0.8,0.2,0.65,67
blast_c_444,0.8,0.2,0.65,67
blast_c_449,0.9,0.2,0.71,89
blast_c_450,1,0.3,0.71,69
blast_c_451,1,0.2,0.79,96
blast_c_452,1,0,1,no age norm
blast_c_454,0.9,0,0.88,94
blast_c_457,1,0.1,0.88,89
blast_c_461,0.8,0.1,0.71,69
blast_c_462,0.9,0.1,0.79,88
blast_c_469,1,0.2,0.79,88
blast_c_470,0.9,0,0.88,102
blast_c_471,1,0,1,112
blast_c_472,0.8,1,0.5,45
blast_c_474,1,0.8,0.51,70
blast_c_475,1,0.6,0.56,46
blast_c_476,1,0.1,0.88,105
blast_c_478,0.8,0,0.79,88
blast_c_479,1,0.2,0.79,70
blast_c_481,1,1,0.5,69
blast_c_483,1,0.2,0.79,88
blast_c_485,0.5,0.6,0.5,69
blast_c_487,1,0.1,0.88,102
blast_c_489,0.9,0,0.88,102
