"part_id","task","rsr_raw","rsr_std"
"blast_c_002","rsr1",10,50
"blast_c_016","rsr1",25,NA
"blast_c_017","rsr1",15,75
"blast_c_023","rsr1",20,101
"blast_c_025","rsr1",18,75
"blast_c_034","rsr1",29,114
"blast_c_035","rsr1",14,NA
"blast_c_036","rsr1",0,40
"blast_c_037","rsr1",25,97
"blast_c_038","rsr1",25,NA
"blast_c_045","rsr1",25,NA
"blast_c_046","rsr1",22,100
"blast_c_061","rsr1",30,118
"blast_c_071","rsr1",25,98
"blast_c_072","rsr1",13,93
"blast_c_084","rsr1",28,112
"blast_c_085","rsr1",23,76
"blast_c_089","rsr1",26,100
"blast_c_092","rsr1",22,111
"blast_c_101","rsr1",20,58
"blast_c_109","rsr1",19,79
"blast_c_110","rsr1",32,NA
"blast_c_112","rsr1",19,93
"blast_c_117","rsr1",32,119
"blast_c_118","rsr1",1,40
"blast_c_119","rsr1",30,112
"blast_c_121","rsr1",12,79
"blast_c_128","rsr1",30,NA
"blast_c_138","rsr1",24,116
"blast_c_146","rsr1",21,NA
"blast_c_148","rsr1",26,NA
"blast_c_149","rsr1",5,69
"blast_c_157","rsr1",9,65
"blast_c_186","rsr1",25,NA
"blast_c_193","rsr1",17,80
"blast_c_213","rsr1",29,NA
"blast_c_215","rsr1",31,116
"blast_c_224","rsr1",29,NA
"blast_c_229","rsr1",27,104
"blast_c_230","rsr1",27,104
"blast_c_232","rsr1",31,123
"blast_c_233","rsr1",29,NA
"blast_c_247","rsr1",22,NA
"blast_c_254","rsr1",16,NA
"blast_c_256","rsr1",7,73
"blast_c_261","rsr1",21,85
"blast_c_265","rsr1",31,116
"blast_c_268","rsr1",22,88
"blast_c_269","rsr1",11,89
"blast_c_404","rsr1",30,129
"blast_c_406","rsr1",23,103
"blast_c_409","rsr1",32,129
"blast_c_410","rsr1",13,93
"blast_c_423","rsr1",23,107
"blast_c_427","rsr1",31,NA
"blast_c_428","rsr1",32,NA
"blast_c_430","rsr1",26,94
"blast_c_431","rsr1",24,109
"blast_c_438","rsr1",31,131
"blast_c_440","rsr1",29,119
"blast_c_444","rsr1",28,118
"blast_c_447","rsr1",13,86
"blast_c_449","rsr1",28,112
"blast_c_450","rsr1",26,100
"blast_c_451","rsr1",31,119
"blast_c_452","rsr1",31,NA
"blast_c_454","rsr1",27,104
"blast_c_457","rsr1",30,117
"blast_c_461","rsr1",25,97
"blast_c_467","rsr1",25,NA
"blast_c_468","rsr1",21,103
"blast_c_469","rsr1",32,127
"blast_c_470","rsr1",24,116
"blast_c_471","rsr1",32,119
"blast_c_472","rsr1",25,111
"blast_c_473","rsr1",22,100
"blast_c_474","rsr1",24,101
"blast_c_475","rsr1",31,116
"blast_c_476","rsr1",21,92
"blast_c_478","rsr1",26,111
"blast_c_478","rsr2",28,117
"blast_c_479","rsr1",27,NA
"blast_c_479","rsr2",29,NA
