"","part_id","mean_entropy"
"1","blast_c_002",0.93
"2","blast_c_009",0.542
"3","blast_c_019",0.977
"4","blast_c_028",1
"5","blast_c_034",0.93
"6","blast_c_036",0.644
"7","blast_c_038",0.954
"8","blast_c_045",0.542
"9","blast_c_059",0.977
"10","blast_c_061",0.989
"11","blast_c_064",0.966
"12","blast_c_071",0.816
"13","blast_c_073",0.863
"14","blast_c_088",0.894
"15","blast_c_092",0.883
"16","blast_c_095",0.644
"17","blast_c_096",0.852
"18","blast_c_097",0.93
"19","blast_c_106",0.883
"20","blast_c_109",0.989
"21","blast_c_112",0.941
"22","blast_c_118",0.839
"23","blast_c_122",0.839
"24","blast_c_124",0.453
"25","blast_c_136",0.816
"26","blast_c_147",0.136
"27","blast_c_149",0.941
