"","part_id","mean_entropy"
"1","blast_c_150",0.75
"2","blast_c_211",0.977
"3","blast_c_220",0.441
"4","blast_c_230",0.644
"5","blast_c_232",0.406
"6","blast_c_233",0.136
"7","blast_c_265",0.677
"8","blast_c_267",0.406
"9","blast_c_268",0.852
"10","blast_c_269",0.852
"11","blast_c_403",0.858
"12","blast_c_406",0.863
"13","blast_c_409",0.941
"14","blast_c_410",0.919
"15","blast_c_412",0.966
"16","blast_c_418",0.966
"17","blast_c_423",0.93
"18","blast_c_427",0.816
"19","blast_c_428",0.93
"20","blast_c_429",0.977
"21","blast_c_438",0.272
"22","blast_c_439",0.542
"23","blast_c_440",0.792
"24","blast_c_444",0.919
"25","blast_c_449",0.68
"26","blast_c_450",0.339
"27","blast_c_451",0.644
"28","blast_c_454",0.863
"29","blast_c_457",0.886
"30","blast_c_461",0.966
"31","blast_c_462",0.906
"32","blast_c_467",0.883
"33","blast_c_469",0.93
"34","blast_c_470",0.977
"35","blast_c_471",0.51
"36","blast_c_475",0.93
"37","blast_c_476",0.406
"38","blast_c_168",0.612
"39","blast_c_170",0.936
"40","blast_c_193",0.85
"41","blast_c_198",0.869
"42","blast_c_204",0.964
"43","blast_c_206",0.994
"44","blast_c_209",0.869
"45","blast_c_210",0.82
"46","blast_c_213",0.657
"47","blast_c_216",0.983
