"","part_id","mean_entropy"
"1","blast_c_002",0.916
"2","blast_c_019",0.947
"3","blast_c_028",0.646
"4","blast_c_034",0.718
"5","blast_c_036",0.917
"6","blast_c_038",0.895
"7","blast_c_045",0.976
"8","blast_c_059",0.934
"9","blast_c_061",0.781
"10","blast_c_071",0.837
"11","blast_c_073",0.934
"12","blast_c_081",0.869
"13","blast_c_085",0.678
"14","blast_c_088",0.85
"15","blast_c_092",0.947
"16","blast_c_095",0.929
"17","blast_c_096",0.838
"18","blast_c_097",0.812
"19","blast_c_109",0.917
"20","blast_c_121",0.917
"21","blast_c_124",0.635
"22","blast_c_147",0.983
"23","blast_c_149",0.923
"24","blast_c_168",0.983
"25","blast_c_186",0.744
"26","blast_c_193",0.884
"27","blast_c_204",0.971
"28","blast_c_206",0.697
"29","blast_c_207",0.766
"30","blast_c_209",0.971
"31","blast_c_210",0.983
"32","blast_c_213",0.983
"33","blast_c_216",0.884
"34","blast_c_150",0.827
"35","blast_c_220",1
"36","blast_c_224",0.953
"37","blast_c_231",0.954
"38","blast_c_232",0.827
"39","blast_c_233",0.725
"40","blast_c_265",0.874
"41","blast_c_267",0.716
"42","blast_c_268",0.977
"43","blast_c_406",0.874
"44","blast_c_409",0.624
"45","blast_c_410",0.954
"46","blast_c_420",0.874
"47","blast_c_421",0.977
"48","blast_c_423",0.883
"49","blast_c_426",0.919
"50","blast_c_428",0.656
"51","blast_c_429",1
"52","blast_c_438",0.93
"53","blast_c_439",0.93
"54","blast_c_440",0.68
"55","blast_c_444",0.93
"56","blast_c_449",0.792
"57","blast_c_450",0.441
"58","blast_c_451",0.749
"59","blast_c_454",0.477
"60","blast_c_457",0.863
"61","blast_c_462",0.919
"62","blast_c_467",0.816
"63","blast_c_470",0.749
"64","blast_c_475",0.906
