"","par_id","mean_rt","scaled_rt_slope","d_prime","this_targets","hits","hit_rate","misses","miss_rate","corr_rej","corr_rej_rate","false_alarms","false_alarm_rate","distractors","total_disc","resp_acc","total_stimuli"
"1","blast_c_002","511.783","0.005","1.67833492734611","48","23","0.479","25","0.521","413","0.958","18","0.042","431","479","0.91","575"
"2","blast_c_011","334.649","-0.03","0.238156596237168","48","5","0.104","43","0.896","402","0.933","29","0.067","431","479","0.85","575"
"3","blast_c_019","436.532","-0.034","3.24322694554425","48","40","0.851","7","0.149","428","0.986","6","0.014","434","481","0.971","575"
"4","blast_c_028","645.333","0.02","1.27441947780957","48","16","0.333","32","0.667","412","0.956","19","0.044","431","479","0.894","575"
"5","blast_c_034","8.55","-0.013","0.549720429319577","48","20","0.426","27","0.574","334","0.77","100","0.23","434","481","0.734","575"
"6","blast_c_036","450.838","0.021","2.92301725531345","48","39","0.812","9","0.188","422","0.979","9","0.021","431","479","0.962","575"
"7","blast_c_038","551.402","-0.013","1.93585481961382","48","29","0.617","18","0.383","412","0.949","22","0.051","434","481","0.915","575"
"8","blast_c_045","547.822","0","3.15404147866882","48","45","0.957","2","0.043","401","0.924","33","0.076","434","481","0.925","575"
"9","blast_c_059","702.166","-0.008","1.65368181118191","48","16","0.333","32","0.667","423","0.981","8","0.019","431","479","0.916","575"
"10","blast_c_061","406.315","-0.01","1.6875531439457","48","32","0.667","16","0.333","386","0.896","45","0.104","431","479","0.873","575"
"11","blast_c_064","205.034","-0.056","0.769677648169186","48","4","0.085","43","0.915","427","0.984","7","0.016","434","481","0.894","575"
"12","blast_c_071","336.13","0.006","1.79030515103725","48","36","0.75","12","0.25","374","0.868","57","0.132","431","479","0.856","575"
"13","blast_c_073","-2","-0.016","0.595252846678037","48","12","0.25","36","0.75","387","0.898","44","0.102","431","479","0.833","575"
"14","blast_c_081","NaN","too few hits","NaN","48","0","0","47","1","434","1","0","0","434","481","0.9","575"
"15","blast_c_085","510.392","0.01","1.67202601008265","48","28","0.583","20","0.417","400","0.928","31","0.072","431","479","0.894","575"
"16","blast_c_088","283.253","-0.007","0.903853438644203","48","25","0.521","23","0.479","346","0.803","85","0.197","431","479","0.775","575"
"17","blast_c_092","336.036","-0.021","1.57721011006182","48","28","0.583","20","0.417","394","0.914","37","0.086","431","479","0.881","575"
