"","acc_id","subj_corr"
"1","blast_c_002",0.531
"2","blast_c_009",0.969
"3","blast_c_019",0.562
"4","blast_c_034",0.531
"5","blast_c_036",0.562
"6","blast_c_038",0.844
"7","blast_c_045",0.906
"8","blast_c_059",0.594
"9","blast_c_061",0.656
"10","blast_c_064",0.625
"11","blast_c_071",0.656
"12","blast_c_073",0.5
"13","blast_c_081",0.344
"14","blast_c_085",0.5
"15","blast_c_088",0.469
"16","blast_c_092",0.656
"17","blast_c_095",0.531
"18","blast_c_097",0.656
"19","blast_c_106",0.719
"20","blast_c_109",0.656
"21","blast_c_118",0.5
"22","blast_c_119",0.438
"23","blast_c_122",0.375
"24","blast_c_124",0.812
"25","blast_c_126",0.656
"26","blast_c_136",0.469
"27","blast_c_138",0.438
"28","blast_c_147",0.438
"29","blast_c_149",0.406
"30","blast_c_164",0.594
"31","blast_c_168",0.438
"32","blast_c_193",0.406
"33","blast_c_204",0.5
"34","blast_c_206",0.719
"35","blast_c_209",0.406
"36","blast_c_210",0.531
"37","blast_c_213",0.594
"38","blast_c_216",0.438
"39","blast_c_101",0.594
"40","blast_c_150",0.625
"41","blast_c_211",0.5
"42","blast_c_220",0.594
"43","blast_c_230",0.5
"44","blast_c_232",0.719
"45","blast_c_233",0.5
